,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,4.859375,-184.765625,-77.3994750977,梦,0,0,0,0,0.0
1,00:00.2,4.921875,-184.90625,-77.3299255371,梦,0,0,0,0,0.0
2,00:00.4,4.9921875,-184.921875,-77.2766723633,梦,0,0,0,0,0.0
3,00:00.6,5.046875,-184.9609375,-77.2114562988,梦,0,0,0,0,0.0
4,00:00.8,5.0703125,-185.015625,-77.1787719727,梦,0,0,0,0,0.0
5,00:00.10,5.078125,-185.0078125,-77.2131958008,梦,0,0,0,0,0.0
6,00:00.12,5.125,-184.953125,-77.2782287598,梦,0,0,0,0,0.0
7,00:00.14,5.25,-184.8359375,-77.3467712402,梦,0,0,0,0,0.0
8,00:00.16,5.4140625,-184.7890625,-77.3504333496,梦,0,0,0,0,0.0
9,00:00.18,5.5546875,-184.8046875,-77.3225097656,梦,0,0,0,0,0.0
10,00:00.20,5.65625,-184.890625,-77.2755432129,梦,0,0,0,0,0.0
11,00:00.22,5.765625,-184.9765625,-77.2240905762,梦,0,0,0,0,0.0
12,00:00.24,5.9375,-185.078125,-77.1583862305,梦,0,0,0,0,0.0
13,00:00.26,6.109375,-185.1640625,-77.0961608887,梦,0,0,0,0,0.0
14,00:00.28,6.265625,-185.28125,-77.0079345703,梦,0,0,0,0,0.0
15,00:00.30,6.34375,-185.515625,-76.8437805176,梦,0,0,0,0,0.0
16,00:00.32,6.375,-185.7578125,-76.6738586426,梦,0,0,0,0,0.0
17,00:00.34,6.3828125,-185.7890625,-76.6370544434,梦,0,0,0,0,0.0
18,00:00.36,6.359375,-185.7109375,-76.7065124512,梦,0,0,0,0,0.0
19,00:00.38,6.3125,-185.578125,-76.8471069336,梦,0,0,0,0,0.0
20,00:00.40,6.2265625,-185.515625,-76.95703125,梦,0,0,0,0,0.0
21,00:00.42,6.125,-185.59375,-76.9635314941,梦,0,0,0,0,0.0
22,00:00.44,6.03125,-185.71875,-76.88671875,梦,0,0,0,0,0.0
23,00:00.46,5.9375,-185.8125,-76.8081054688,梦,0,0,0,0,0.0
24,00:00.48,5.875,-185.78125,-76.826751709,梦,0,0,0,0,0.0
25,00:00.50,5.875,-185.671875,-76.9140014648,梦,0,0,0,0,0.0
26,00:00.52,5.9453125,-185.5625,-76.9955444336,梦,0,0,0,0,0.0
27,00:00.54,6.046875,-185.484375,-77.058013916,梦,0,0,0,0,0.0
28,00:00.56,6.171875,-185.390625,-77.1919555664,梦,0,0,0,0,0.0
29,00:00.58,6.359375,-185.1875,-77.4414978027,梦,0,0,0,0,0.0
30,00:00.60,6.6015625,-185.0546875,-77.6715698242,梦,0,0,0,0,0.0
31,00:00.62,6.8671875,-185.125,-77.7401428223,梦,0,0,0,0,0.0
32,00:00.64,7.09375,-185.3359375,-77.7171936035,梦,0,0,0,0,0.0
33,00:00.66,7.2734375,-185.4609375,-77.7496032715,梦,0,0,0,0,0.0
