,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,11.90625,-81.90625,-45.7389221191,梦,0,0,0,0,0.0
1,00:00.2,11.8125,-81.921875,-45.7302246094,梦,0,0,0,0,0.0
2,00:00.4,11.7578125,-81.9453125,-45.7440795898,梦,0,0,0,0,0.0
3,00:00.6,11.6953125,-82.03125,-45.7456359863,梦,0,0,0,0,0.0
4,00:00.8,11.6484375,-82.1171875,-45.760559082,梦,0,0,0,0,0.0
5,00:00.10,11.625,-82.21875,-45.7706298828,梦,0,0,0,0,0.0
6,00:00.12,11.6484375,-82.3046875,-45.7894897461,梦,0,0,0,0,0.0
7,00:00.14,11.7109375,-82.3828125,-45.7900390625,梦,0,0,0,0,0.0
8,00:00.16,11.796875,-82.3984375,-45.8034667969,梦,0,0,0,0,0.0
9,00:00.18,11.8828125,-82.421875,-45.7942199707,梦,0,0,0,0,0.0
10,00:00.20,11.953125,-82.4140625,-45.7803649902,梦,0,0,0,0,0.0
11,00:00.22,12.03125,-82.4296875,-45.7488708496,梦,0,0,0,0,0.0
12,00:00.24,12.0859375,-82.3984375,-45.7345275879,梦,0,0,0,0,0.0
13,00:00.26,12.1328125,-82.34375,-45.7383117676,梦,0,0,0,0,0.0
14,00:00.28,12.15625,-82.3203125,-45.7472229004,梦,0,0,0,0,0.0
15,00:00.30,12.1640625,-82.2890625,-45.7694702148,梦,0,0,0,0,0.0
16,00:00.32,12.1328125,-82.2421875,-45.7917480469,梦,0,0,0,0,0.0
17,00:00.34,12.078125,-82.1484375,-45.8174438477,梦,0,0,0,0,0.0
18,00:00.36,12.0,-82.1171875,-45.8086547852,梦,0,0,0,0,0.0
19,00:00.38,11.90625,-82.140625,-45.7731323242,梦,0,0,0,0,0.0
20,00:00.40,11.78125,-82.0859375,-45.7503662109,梦,0,0,0,0,0.0
21,00:00.42,11.6875,-82.03125,-45.718963623,梦,0,0,0,0,0.0
22,00:00.44,11.6328125,-81.9921875,-45.6828613281,梦,0,0,0,0,0.0
23,00:00.46,11.5859375,-82.0078125,-45.643371582,梦,0,0,0,0,0.0
24,00:00.48,11.578125,-82.0078125,-45.6741027832,梦,0,0,0,0,0.0
