,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,9.328125,-142.4453125,-60.9038085938,梦,0,0,0,0,0.0
1,00:00.2,9.1953125,-142.71875,-60.7841491699,梦,0,0,0,0,0.0
2,00:00.4,9.0703125,-142.90625,-60.6739196777,梦,0,0,0,0,0.0
3,00:00.6,8.9609375,-143.0859375,-60.5729675293,梦,0,0,0,0,0.0
4,00:00.8,8.890625,-143.1640625,-60.5728149414,梦,0,0,0,0,0.0
5,00:00.10,8.859375,-143.1640625,-60.6639709473,梦,0,0,0,0,0.0
6,00:00.12,8.8515625,-143.0625,-60.8269958496,梦,0,0,0,0,0.0
7,00:00.14,8.84375,-142.9296875,-60.9775085449,梦,0,0,0,0,0.0
8,00:00.16,8.8984375,-142.9453125,-61.018737793,梦,0,0,0,0,0.0
9,00:00.18,8.984375,-143.0234375,-60.9928894043,梦,0,0,0,0,0.0
10,00:00.20,9.1015625,-143.171875,-60.9118347168,梦,0,0,0,0,0.0
11,00:00.22,9.21875,-143.234375,-60.8395385742,梦,0,0,0,0,0.0
12,00:00.24,9.328125,-143.203125,-60.7994689941,梦,0,0,0,0,0.0
13,00:00.26,9.4453125,-143.1640625,-60.7637939453,梦,0,0,0,0,0.0
14,00:00.28,9.53125,-143.1484375,-60.7274475098,梦,0,0,0,0,0.0
15,00:00.30,9.640625,-143.0859375,-60.7319946289,梦,0,0,0,0,0.0
16,00:00.32,9.7265625,-142.9609375,-60.7825622559,梦,0,0,0,0,0.0
17,00:00.34,9.7890625,-142.8125,-60.8466491699,梦,0,0,0,0,0.0
18,00:00.36,9.78125,-142.703125,-60.8920898438,梦,0,0,0,0,0.0
19,00:00.38,9.734375,-142.6484375,-60.9058837891,梦,0,0,0,0,0.0
20,00:00.40,9.6484375,-142.6171875,-60.8927612305,梦,0,0,0,0,0.0
21,00:00.42,9.5546875,-142.71875,-60.8153381348,梦,0,0,0,0,0.0
22,00:00.44,9.46875,-142.8125,-60.7425537109,梦,0,0,0,0,0.0
23,00:00.46,9.3828125,-142.8984375,-60.691619873,梦,0,0,0,0,0.0
24,00:00.48,9.3046875,-142.9609375,-60.6817932129,梦,0,0,0,0,0.0
25,00:00.50,9.2109375,-142.96875,-60.7260131836,梦,0,0,0,0,0.0
26,00:00.52,9.1484375,-142.9765625,-60.7969360352,梦,0,0,0,0,0.0
27,00:00.54,9.1171875,-142.9296875,-60.8955383301,梦,0,0,0,0,0.0
28,00:00.56,9.078125,-142.84375,-61.0085144043,梦,0,0,0,0,0.0
29,00:00.58,9.0625,-142.9140625,-61.0349731445,梦,0,0,0,0,0.0
30,00:00.60,9.015625,-143.1484375,-60.9664611816,梦,0,0,0,0,0.0
31,00:00.62,8.9453125,-143.2734375,-60.9065856934,梦,0,0,0,0,0.0
32,00:00.64,8.90625,-143.3359375,-60.851776123,梦,0,0,0,0,0.0
33,00:00.66,8.8203125,-143.453125,-60.7598876953,梦,0,0,0,0,0.0
34,00:00.68,8.71875,-143.5625,-60.6912231445,梦,0,0,0,0,0.0
