,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,9.0078125,-81.359375,-85.0936279297,梦,0,0,0,0,0.0
1,00:00.2,9.0390625,-81.265625,-85.0778808594,梦,0,0,0,0,0.0
2,00:00.4,9.0625,-81.1640625,-85.0532531738,梦,0,0,0,0,0.0
3,00:00.6,9.0859375,-81.0625,-85.028503418,梦,0,0,0,0,0.0
4,00:00.8,9.125,-80.9609375,-84.9954223633,梦,0,0,0,0,0.0
5,00:00.10,9.15625,-80.8515625,-84.9705200195,梦,0,0,0,0,0.0
6,00:00.12,9.1796875,-80.75,-84.9418640137,梦,0,0,0,0,0.0
7,00:00.14,9.203125,-80.6484375,-84.9438781738,梦,0,0,0,0,0.0
8,00:00.16,9.1953125,-80.578125,-84.9381713867,梦,0,0,0,0,0.0
9,00:00.18,9.1875,-80.5078125,-84.9055480957,梦,0,0,0,0,0.0
10,00:00.20,9.1796875,-80.453125,-84.8635559082,梦,0,0,0,0,0.0
11,00:00.22,9.1796875,-80.4375,-84.7944641113,梦,0,0,0,0,0.0
12,00:00.24,9.171875,-80.4453125,-84.7443237305,梦,0,0,0,0,0.0
13,00:00.26,9.1484375,-80.46875,-84.7528991699,梦,0,0,0,0,0.0
14,00:00.28,9.1328125,-80.515625,-84.8072509766,梦,0,0,0,0,0.0
15,00:00.30,9.109375,-80.6015625,-84.8902587891,梦,0,0,0,0,0.0
16,00:00.32,9.0859375,-80.7109375,-84.9829101562,梦,0,0,0,0,0.0
17,00:00.34,9.078125,-80.8203125,-85.0758972168,梦,0,0,0,0,0.0
18,00:00.36,9.078125,-80.9609375,-85.133972168,梦,0,0,0,0,0.0
19,00:00.38,9.0703125,-81.09375,-85.1518859863,梦,0,0,0,0,0.0
20,00:00.40,9.0546875,-81.234375,-85.1381530762,梦,0,0,0,0,0.0
21,00:00.42,9.046875,-81.3671875,-85.0927124023,梦,0,0,0,0,0.0
22,00:00.44,9.0390625,-81.4765625,-85.0459594727,梦,0,0,0,0,0.0
23,00:00.46,9.03125,-81.546875,-85.0294799805,梦,0,0,0,0,0.0
24,00:00.48,9.0234375,-81.578125,-85.0295715332,梦,0,0,0,0,0.0
25,00:00.50,9.0078125,-81.5703125,-85.0466308594,梦,0,0,0,0,0.0
26,00:00.52,9.015625,-81.5546875,-85.0545959473,梦,0,0,0,0,0.0
27,00:00.54,9.0234375,-81.5078125,-85.0530395508,梦,0,0,0,0,0.0
28,00:00.56,9.03125,-81.4765625,-85.0288696289,梦,0,0,0,0,0.0
29,00:00.58,9.0390625,-81.4296875,-85.0098571777,梦,0,0,0,0,0.0
30,00:00.60,9.03125,-81.328125,-85.0168151855,梦,0,0,0,0,0.0
31,00:00.62,9.0,-81.1171875,-85.0719909668,梦,0,0,0,0,0.0
32,00:00.64,8.9296875,-80.859375,-85.154083252,梦,0,0,0,0,0.0
33,00:00.66,8.8828125,-80.640625,-85.241394043,梦,0,0,0,0,0.0
34,00:00.68,8.9140625,-80.5390625,-85.3209838867,梦,0,0,0,0,0.0
35,00:00.70,9.0078125,-80.5859375,-85.3736572266,梦,0,0,0,0,0.0
36,00:00.72,9.109375,-80.609375,-85.4452819824,梦,0,0,0,0,0.0
37,00:00.74,9.1796875,-80.4140625,-85.571472168,梦,0,0,0,0,0.0
38,00:00.76,9.1484375,-79.9609375,-85.761138916,梦,0,0,0,0,0.0
39,00:00.78,9.09375,-79.4921875,-85.8651428223,梦,0,0,0,0,0.0
40,00:00.80,9.046875,-79.0546875,-85.8443603516,梦,0,0,0,0,0.0
41,00:00.82,9.0234375,-78.6640625,-85.7394714355,梦,0,0,0,0,0.0
42,00:00.84,9.0078125,-78.3828125,-85.5715026855,梦,0,0,0,0,0.0
43,00:00.86,8.96875,-78.25,-85.399810791,梦,0,0,0,0,0.0
44,00:00.88,8.921875,-78.234375,-85.2713928223,梦,0,0,0,0,0.0
45,00:00.90,8.8671875,-78.265625,-85.2215270996,梦,0,0,0,0,0.0
46,00:00.92,8.7734375,-78.2734375,-85.2738037109,梦,0,0,0,0,0.0
47,00:00.94,8.6953125,-78.3125,-85.362487793,梦,0,0,0,0,0.0
48,00:00.96,8.671875,-78.5,-85.4118041992,梦,0,0,0,0,0.0
49,00:00.98,8.734375,-78.859375,-85.3738098145,梦,0,0,0,0,0.0
50,00:01.0,8.859375,-79.3828125,-85.2391357422,梦,0,0,0,0,0.0
51,00:01.2,9.0234375,-79.96875,-85.0748901367,梦,0,0,0,0,0.0
52,00:01.4,9.203125,-80.546875,-84.9302978516,梦,0,0,0,0,0.0
53,00:01.6,9.359375,-81.0546875,-84.8122558594,梦,0,0,0,0,0.0
54,00:01.8,9.4609375,-81.46875,-84.7568359375,梦,0,0,0,0,0.0
55,00:01.10,9.5234375,-81.765625,-84.7805175781,梦,0,0,0,0,0.0
56,00:01.12,9.5546875,-82.0,-84.8352355957,梦,0,0,0,0,0.0
57,00:01.14,9.5390625,-82.1796875,-84.9108276367,梦,0,0,0,0,0.0
58,00:01.16,9.484375,-82.359375,-84.9657592773,梦,0,0,0,0,0.0
59,00:01.18,9.4140625,-82.515625,-84.9977111816,梦,0,0,0,0,0.0
