,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-28.8359375,-82.96875,-62.4837036133,梦,0,0,0,0,0.0
1,00:00.2,-28.8671875,-82.9765625,-62.4239501953,梦,0,0,0,0,0.0
2,00:00.4,-28.8828125,-82.9609375,-62.3981628418,梦,0,0,0,0,0.0
3,00:00.6,-28.8828125,-82.921875,-62.4147949219,梦,0,0,0,0,0.0
4,00:00.8,-28.8828125,-82.8984375,-62.4484558105,梦,0,0,0,0,0.0
5,00:00.10,-28.8828125,-82.9140625,-62.4779968262,梦,0,0,0,0,0.0
6,00:00.12,-28.8828125,-82.9453125,-62.5036010742,梦,0,0,0,0,0.0
7,00:00.14,-28.90625,-83.0234375,-62.5125427246,梦,0,0,0,0,0.0
8,00:00.16,-28.9140625,-83.1015625,-62.5130615234,梦,0,0,0,0,0.0
9,00:00.18,-28.9296875,-83.171875,-62.5223693848,梦,0,0,0,0,0.0
10,00:00.20,-28.9453125,-83.2421875,-62.5145263672,梦,0,0,0,0,0.0
11,00:00.22,-28.9765625,-83.3046875,-62.5069885254,梦,0,0,0,0,0.0
12,00:00.24,-28.984375,-83.34375,-62.5073852539,梦,0,0,0,0,0.0
13,00:00.26,-28.9765625,-83.359375,-62.5161743164,梦,0,0,0,0,0.0
14,00:00.28,-28.9765625,-83.375,-62.5076599121,梦,0,0,0,0,0.0
15,00:00.30,-28.96875,-83.359375,-62.4990234375,梦,0,0,0,0,0.0
16,00:00.32,-28.96875,-83.3046875,-62.5026855469,梦,0,0,0,0,0.0
17,00:00.34,-28.953125,-83.2578125,-62.4937744141,梦,0,0,0,0,0.0
18,00:00.36,-28.9140625,-83.1796875,-62.4929199219,梦,0,0,0,0,0.0
19,00:00.38,-28.875,-83.1015625,-62.4967651367,梦,0,0,0,0,0.0
20,00:00.40,-28.8359375,-83.0390625,-62.4874267578,梦,0,0,0,0,0.0
21,00:00.42,-28.8203125,-82.984375,-62.4742431641,梦,0,0,0,0,0.0
22,00:00.44,-28.8203125,-82.9140625,-62.4739990234,梦,0,0,0,0,0.0
23,00:00.46,-28.828125,-82.8671875,-62.4781799316,梦,0,0,0,0,0.0
24,00:00.48,-28.84375,-82.8359375,-62.4780883789,梦,0,0,0,0,0.0
25,00:00.50,-28.8671875,-82.796875,-62.486541748,梦,0,0,0,0,0.0
26,00:00.52,-28.890625,-82.7890625,-62.4866333008,梦,0,0,0,0,0.0
27,00:00.54,-28.9140625,-82.7890625,-62.4781188965,梦,0,0,0,0,0.0
28,00:00.56,-28.9375,-82.8046875,-62.4781494141,梦,0,0,0,0,0.0
29,00:00.58,-28.953125,-82.8125,-62.4823608398,梦,0,0,0,0,0.0
30,00:00.60,-28.96875,-82.828125,-62.4868469238,梦,0,0,0,0,0.0
31,00:00.62,-28.984375,-82.8515625,-62.4909667969,梦,0,0,0,0,0.0
32,00:00.64,-29.015625,-82.8671875,-62.4995117188,梦,0,0,0,0,0.0
33,00:00.66,-29.0390625,-82.8984375,-62.4957275391,梦,0,0,0,0,0.0
34,00:00.68,-29.046875,-82.9296875,-62.4960021973,梦,0,0,0,0,0.0
35,00:00.70,-29.046875,-82.953125,-62.4961853027,梦,0,0,0,0,0.0
36,00:00.72,-29.0390625,-82.984375,-62.4922485352,梦,0,0,0,0,0.0
37,00:00.74,-29.03125,-83.0078125,-62.4922790527,梦,0,0,0,0,0.0
38,00:00.76,-29.015625,-83.0390625,-62.4879455566,梦,0,0,0,0,0.0
39,00:00.78,-28.9921875,-83.0390625,-62.4966430664,梦,0,0,0,0,0.0
40,00:00.80,-28.9765625,-83.046875,-62.500793457,梦,0,0,0,0,0.0
41,00:00.82,-28.9609375,-83.03125,-62.5049438477,梦,0,0,0,0,0.0
42,00:00.84,-28.953125,-83.0390625,-62.5006713867,梦,0,0,0,0,0.0
43,00:00.86,-28.9375,-83.0234375,-62.5006103516,梦,0,0,0,0,0.0
44,00:00.88,-28.9453125,-83.015625,-62.4963989258,梦,0,0,0,0,0.0
45,00:00.90,-28.953125,-83.0078125,-62.4877319336,梦,0,0,0,0,0.0
46,00:00.92,-28.953125,-83.0234375,-62.4788513184,梦,0,0,0,0,0.0
47,00:00.94,-28.9453125,-83.03125,-62.4749145508,梦,0,0,0,0,0.0
48,00:00.96,-28.9296875,-83.015625,-62.5093078613,梦,0,0,0,0,0.0
49,00:00.98,-28.890625,-83.0,-62.551940918,梦,0,0,0,0,0.0
50,00:01.0,-28.875,-82.9921875,-62.5690307617,梦,0,0,0,0,0.0
51,00:01.2,-28.859375,-82.9765625,-62.5648193359,梦,0,0,0,0,0.0
52,00:01.4,-28.875,-82.96875,-62.5180358887,梦,0,0,0,0,0.0
53,00:01.6,-28.9296875,-82.9765625,-62.4454956055,梦,0,0,0,0,0.0
54,00:01.8,-28.96875,-82.9609375,-62.3941650391,梦,0,0,0,0,0.0
55,00:01.10,-28.9765625,-82.9140625,-62.3891906738,梦,0,0,0,0,0.0
56,00:01.12,-28.9609375,-82.8671875,-62.4270935059,梦,0,0,0,0,0.0
57,00:01.14,-28.9453125,-82.8359375,-62.468963623,梦,0,0,0,0,0.0
58,00:01.16,-28.9375,-82.8359375,-62.5114746094,梦,0,0,0,0,0.0
59,00:01.18,-28.9453125,-82.875,-62.5244445801,梦,0,0,0,0,0.0
60,00:01.20,-28.9609375,-82.9375,-62.5291137695,梦,0,0,0,0,0.0
61,00:01.22,-28.9609375,-83.0078125,-62.5211486816,梦,0,0,0,0,0.0
62,00:01.24,-28.96875,-83.0859375,-62.5047912598,梦,0,0,0,0,0.0
63,00:01.26,-28.9765625,-83.1640625,-62.4886474609,梦,0,0,0,0,0.0
64,00:01.28,-28.984375,-83.2421875,-62.4722900391,梦,0,0,0,0,0.0
65,00:01.30,-28.9765625,-83.2890625,-62.481262207,梦,0,0,0,0,0.0
66,00:01.32,-28.9609375,-83.3125,-62.498840332,梦,0,0,0,0,0.0
67,00:01.34,-28.9609375,-83.34375,-62.4947509766,梦,0,0,0,0,0.0
68,00:01.36,-28.96875,-83.3515625,-62.4904174805,梦,0,0,0,0,0.0
69,00:01.38,-28.953125,-83.3359375,-62.4856872559,梦,0,0,0,0,0.0
70,00:01.40,-28.921875,-83.3125,-62.4809875488,梦,0,0,0,0,0.0
71,00:01.42,-28.828125,-83.28125,-62.4635620117,梦,0,0,0,0,0.0
72,00:01.44,-28.703125,-83.2421875,-62.436920166,梦,0,0,0,0,0.0
73,00:01.46,-28.578125,-83.2421875,-62.3896179199,梦,0,0,0,0,0.0
74,00:01.48,-28.5,-83.265625,-62.3553771973,梦,0,0,0,0,0.0
75,00:01.50,-28.4453125,-83.328125,-62.3473510742,梦,0,0,0,0,0.0
76,00:01.52,-28.4609375,-83.4375,-62.3612365723,梦,0,0,0,0,0.0
77,00:01.54,-28.53125,-83.609375,-62.3969421387,梦,0,0,0,0,0.0
78,00:01.56,-28.6640625,-83.8046875,-62.4289855957,梦,0,0,0,0,0.0
79,00:01.58,-28.9140625,-84.0625,-62.4317321777,梦,0,0,0,0,0.0
80,00:01.60,-29.234375,-84.2890625,-62.4515686035,梦,0,0,0,0,0.0
81,00:01.62,-29.6171875,-84.40625,-62.5175476074,梦,0,0,0,0,0.0
82,00:01.64,-29.984375,-84.359375,-62.6337280273,梦,0,0,0,0,0.0
83,00:01.66,-30.2578125,-84.1328125,-62.7484741211,梦,0,0,0,0,0.0
84,00:01.68,-30.375,-83.71875,-62.8224182129,梦,0,0,0,0,0.0
85,00:01.70,-30.359375,-83.203125,-62.7881469727,梦,0,0,0,0,0.0
86,00:01.72,-30.2578125,-82.6171875,-62.6667175293,梦,0,0,0,0,0.0
87,00:01.74,-30.140625,-82.03125,-62.493560791,梦,0,0,0,0,0.0
88,00:01.76,-30.015625,-81.4609375,-62.3593444824,梦,0,0,0,0,0.0
89,00:01.78,-29.90625,-80.9296875,-62.311706543,梦,0,0,0,0,0.0
90,00:01.80,-29.8046875,-80.5390625,-62.3129882812,梦,0,0,0,0,0.0
91,00:01.82,-29.6796875,-80.3515625,-62.3207397461,梦,0,0,0,0,0.0
92,00:01.84,-29.484375,-80.3828125,-62.3305053711,梦,0,0,0,0,0.0
93,00:01.86,-29.140625,-80.59375,-62.3466186523,梦,0,0,0,0,0.0
94,00:01.88,-28.7265625,-80.90625,-62.3882446289,梦,0,0,0,0,0.0
95,00:01.90,-28.2890625,-81.3046875,-62.4344787598,梦,0,0,0,0,0.0
96,00:01.92,-27.921875,-81.734375,-62.4804077148,梦,0,0,0,0,0.0
97,00:01.94,-27.6640625,-82.2109375,-62.5005493164,梦,0,0,0,0,0.0
98,00:01.96,-27.53125,-82.6796875,-62.5243835449,梦,0,0,0,0,0.0
99,00:01.98,-27.4921875,-83.1015625,-62.5735168457,梦,0,0,0,0,0.0
100,00:02.0,-27.5,-83.453125,-62.6308898926,梦,0,0,0,0,0.0
101,00:02.2,-27.5234375,-83.7265625,-62.6709899902,梦,0,0,0,0,0.0
102,00:02.4,-27.5546875,-83.8984375,-62.6765441895,梦,0,0,0,0,0.0
103,00:02.6,-27.5859375,-84.0,-62.6476745605,梦,0,0,0,0,0.0
104,00:02.8,-27.6640625,-84.0234375,-62.5970153809,梦,0,0,0,0,0.0
105,00:02.10,-27.78125,-83.9765625,-62.5454101562,梦,0,0,0,0,0.0
106,00:02.12,-27.953125,-83.8984375,-62.4847412109,梦,0,0,0,0,0.0
107,00:02.14,-28.1171875,-83.8203125,-62.4412231445,梦,0,0,0,0,0.0
108,00:02.16,-28.2734375,-83.734375,-62.4272766113,梦,0,0,0,0,0.0
109,00:02.18,-28.3984375,-83.671875,-62.4391784668,梦,0,0,0,0,0.0
110,00:02.20,-28.5,-83.6171875,-62.4814147949,梦,0,0,0,0,0.0
111,00:02.22,-28.59375,-83.5546875,-62.5370483398,梦,0,0,0,0,0.0
112,00:02.24,-28.6953125,-83.5078125,-62.5798034668,梦,0,0,0,0,0.0
113,00:02.26,-28.828125,-83.4453125,-62.5882568359,梦,0,0,0,0,0.0
114,00:02.28,-28.9140625,-83.3671875,-62.5878601074,梦,0,0,0,0,0.0
115,00:02.30,-28.984375,-83.265625,-62.5661621094,梦,0,0,0,0,0.0
116,00:02.32,-28.9921875,-83.140625,-62.5353393555,梦,0,0,0,0,0.0
117,00:02.34,-28.9375,-83.015625,-62.5003051758,梦,0,0,0,0,0.0
118,00:02.36,-28.8359375,-82.890625,-62.4691772461,梦,0,0,0,0,0.0
119,00:02.38,-28.71875,-82.765625,-62.4599304199,梦,0,0,0,0,0.0
120,00:02.40,-28.5859375,-82.6640625,-62.4679870605,梦,0,0,0,0,0.0
121,00:02.42,-28.4609375,-82.5703125,-62.4934082031,梦,0,0,0,0,0.0
122,00:02.44,-28.3515625,-82.5078125,-62.5061340332,梦,0,0,0,0,0.0
123,00:02.46,-28.265625,-82.4921875,-62.5107116699,梦,0,0,0,0,0.0
124,00:02.48,-28.1953125,-82.515625,-62.4937438965,梦,0,0,0,0,0.0
125,00:02.50,-28.171875,-82.5546875,-62.4768676758,梦,0,0,0,0,0.0
126,00:02.52,-28.171875,-82.6015625,-62.4642333984,梦,0,0,0,0,0.0
127,00:02.54,-28.1953125,-82.6640625,-62.4641723633,梦,0,0,0,0,0.0
128,00:02.56,-28.25,-82.765625,-62.4602661133,梦,0,0,0,0,0.0
129,00:02.58,-28.3359375,-82.8671875,-62.4820556641,梦,0,0,0,0,0.0
130,00:02.60,-28.4375,-82.9921875,-62.5128479004,梦,0,0,0,0,0.0
131,00:02.62,-28.546875,-83.109375,-62.5566101074,梦,0,0,0,0,0.0
132,00:02.64,-28.65625,-83.2265625,-62.5874023438,梦,0,0,0,0,0.0
133,00:02.66,-28.765625,-83.3203125,-62.6097412109,梦,0,0,0,0,0.0
134,00:02.68,-28.859375,-83.375,-62.606048584,梦,0,0,0,0,0.0
135,00:02.70,-28.9375,-83.375,-62.6023254395,梦,0,0,0,0,0.0
136,00:02.72,-28.984375,-83.3203125,-62.5934143066,梦,0,0,0,0,0.0
137,00:02.74,-29.0078125,-83.2265625,-62.5715332031,梦,0,0,0,0,0.0
138,00:02.76,-28.9921875,-83.1015625,-62.5493774414,梦,0,0,0,0,0.0
139,00:02.78,-28.9453125,-82.9375,-62.5352172852,梦,0,0,0,0,0.0
140,00:02.80,-28.8671875,-82.7578125,-62.5255126953,梦,0,0,0,0,0.0
141,00:02.82,-28.7734375,-82.578125,-62.5111999512,梦,0,0,0,0,0.0
142,00:02.84,-28.6640625,-82.421875,-62.4928894043,梦,0,0,0,0,0.0
143,00:02.86,-28.5546875,-82.2734375,-62.4831542969,梦,0,0,0,0,0.0
144,00:02.88,-28.453125,-82.1640625,-62.4613647461,梦,0,0,0,0,0.0
145,00:02.90,-28.359375,-82.078125,-62.4521484375,梦,0,0,0,0,0.0
146,00:02.92,-28.25,-82.0078125,-62.4689025879,梦,0,0,0,0,0.0
147,00:02.94,-28.140625,-81.953125,-62.5157470703,梦,0,0,0,0,0.0
148,00:02.96,-28.046875,-81.9296875,-62.549987793,梦,0,0,0,0,0.0
149,00:02.98,-28.0,-81.9609375,-62.5373535156,梦,0,0,0,0,0.0
150,00:03.0,-27.984375,-82.015625,-62.4952392578,梦,0,0,0,0,0.0
151,00:03.2,-28.0,-82.0546875,-62.4616699219,梦,0,0,0,0,0.0
152,00:03.4,-28.0234375,-82.0625,-62.4410705566,梦,0,0,0,0,0.0
153,00:03.6,-28.0546875,-82.0625,-62.441192627,梦,0,0,0,0,0.0
154,00:03.8,-28.0859375,-82.0546875,-62.4624938965,梦,0,0,0,0,0.0
155,00:03.10,-28.1171875,-82.015625,-62.5175476074,梦,0,0,0,0,0.0
156,00:03.12,-28.171875,-82.0078125,-62.538482666,梦,0,0,0,0,0.0
157,00:03.14,-28.2109375,-81.9921875,-62.5507507324,梦,0,0,0,0,0.0
158,00:03.16,-28.25,-82.0,-62.5377807617,梦,0,0,0,0,0.0
159,00:03.18,-28.2578125,-82.0078125,-62.5246582031,梦,0,0,0,0,0.0
160,00:03.20,-28.25,-82.03125,-62.5032043457,梦,0,0,0,0,0.0
161,00:03.22,-28.2421875,-82.046875,-62.490814209,梦,0,0,0,0,0.0
162,00:03.24,-28.21875,-82.0625,-62.4869995117,梦,0,0,0,0,0.0
