,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-0.7421875,-119.8671875,-72.6293640137,梦,0,0,0,0,0.0
1,00:00.2,-0.6796875,-119.859375,-72.6262817383,梦,0,0,0,0,0.0
2,00:00.4,-0.6171875,-119.96875,-72.5693969727,梦,0,0,0,0,0.0
3,00:00.6,-0.578125,-120.078125,-72.4941711426,梦,0,0,0,0,0.0
4,00:00.8,-0.5625,-120.15625,-72.4155578613,梦,0,0,0,0,0.0
5,00:00.10,-0.546875,-120.28125,-72.3320617676,梦,0,0,0,0,0.0
6,00:00.12,-0.5234375,-120.4140625,-72.2743530273,梦,0,0,0,0,0.0
7,00:00.14,-0.484375,-120.5,-72.2623901367,梦,0,0,0,0,0.0
8,00:00.16,-0.4296875,-120.484375,-72.3110351562,梦,0,0,0,0,0.0
9,00:00.18,-0.3671875,-120.515625,-72.3480834961,梦,0,0,0,0,0.0
10,00:00.20,-0.28125,-120.5859375,-72.3740844727,梦,0,0,0,0,0.0
11,00:00.22,-0.1953125,-120.703125,-72.3845214844,梦,0,0,0,0,0.0
12,00:00.24,-0.09375,-120.796875,-72.4179382324,梦,0,0,0,0,0.0
13,00:00.26,-0.0234375,-120.8515625,-72.4666137695,梦,0,0,0,0,0.0
14,00:00.28,0.046875,-120.9140625,-72.5004272461,梦,0,0,0,0,0.0
15,00:00.30,0.09375,-120.984375,-72.5149230957,梦,0,0,0,0,0.0
16,00:00.32,0.1171875,-121.0703125,-72.4995422363,梦,0,0,0,0,0.0
17,00:00.34,0.1328125,-121.125,-72.4879150391,梦,0,0,0,0,0.0
18,00:00.36,0.1328125,-121.2109375,-72.4493103027,梦,0,0,0,0,0.0
19,00:00.38,0.1328125,-121.265625,-72.418762207,梦,0,0,0,0,0.0
20,00:00.40,0.125,-121.2421875,-72.4078674316,梦,0,0,0,0,0.0
21,00:00.42,0.1171875,-121.1875,-72.419708252,梦,0,0,0,0,0.0
22,00:00.44,0.109375,-121.125,-72.427947998,梦,0,0,0,0,0.0
23,00:00.46,0.0859375,-121.109375,-72.4162597656,梦,0,0,0,0,0.0
24,00:00.48,0.0546875,-121.109375,-72.4010009766,梦,0,0,0,0,0.0
25,00:00.50,0.03125,-121.1328125,-72.381652832,梦,0,0,0,0,0.0
26,00:00.52,0.015625,-121.140625,-72.3740539551,梦,0,0,0,0,0.0
27,00:00.54,0.0078125,-121.125,-72.3783569336,梦,0,0,0,0,0.0
28,00:00.56,0.0,-121.109375,-72.382232666,梦,0,0,0,0,0.0
29,00:00.58,-0.0078125,-121.1640625,-72.3668212891,梦,0,0,0,0,0.0
30,00:00.60,-0.0078125,-121.2265625,-72.3734741211,梦,0,0,0,0,0.0
31,00:00.62,0.0234375,-121.2890625,-72.3915100098,梦,0,0,0,0,0.0
32,00:00.64,0.078125,-121.4296875,-72.3866577148,梦,0,0,0,0,0.0
33,00:00.66,0.15625,-121.5859375,-72.3817138672,梦,0,0,0,0,0.0
34,00:00.68,0.234375,-121.6640625,-72.3927001953,梦,0,0,0,0,0.0
35,00:00.70,0.3046875,-121.6640625,-72.4386291504,梦,0,0,0,0,0.0
36,00:00.72,0.359375,-121.625,-72.488067627,梦,0,0,0,0,0.0
37,00:00.74,0.421875,-121.6484375,-72.4961547852,梦,0,0,0,0,0.0
38,00:00.76,0.4609375,-121.7734375,-72.4393920898,梦,0,0,0,0,0.0
39,00:00.78,0.5,-121.953125,-72.3450317383,梦,0,0,0,0,0.0
40,00:00.80,0.5078125,-122.09375,-72.2724304199,梦,0,0,0,0,0.0
41,00:00.82,0.5078125,-122.109375,-72.2714538574,梦,0,0,0,0,0.0
42,00:00.84,0.4921875,-121.984375,-72.3352661133,梦,0,0,0,0,0.0
43,00:00.86,0.453125,-121.796875,-72.4336547852,梦,0,0,0,0,0.0
44,00:00.88,0.421875,-121.6875,-72.4716796875,梦,0,0,0,0,0.0
45,00:00.90,0.390625,-121.6796875,-72.4448852539,梦,0,0,0,0,0.0
46,00:00.92,0.3515625,-121.7109375,-72.388885498,梦,0,0,0,0,0.0
47,00:00.94,0.3046875,-121.71875,-72.3471374512,梦,0,0,0,0,0.0
48,00:00.96,0.25,-121.671875,-72.3475036621,梦,0,0,0,0,0.0
49,00:00.98,0.1875,-121.6171875,-72.3549804688,梦,0,0,0,0,0.0
50,00:01.0,0.1171875,-121.546875,-72.3775939941,梦,0,0,0,0,0.0
51,00:01.2,0.0390625,-121.453125,-72.4124450684,梦,0,0,0,0,0.0
52,00:01.4,-0.03125,-121.3984375,-72.424041748,梦,0,0,0,0,0.0
53,00:01.6,-0.09375,-121.3671875,-72.4239501953,梦,0,0,0,0,0.0
54,00:01.8,-0.1484375,-121.3125,-72.4317321777,梦,0,0,0,0,0.0
55,00:01.10,-0.1875,-121.2265625,-72.458404541,梦,0,0,0,0,0.0
