,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,7.828125,-130.5625,-54.6590576172,梦,0,0,0,0,0.0
1,00:00.2,7.875,-130.65625,-54.617401123,梦,0,0,0,0,0.0
2,00:00.4,7.9140625,-130.734375,-54.5713806152,梦,0,0,0,0,0.0
3,00:00.6,7.9375,-130.7734375,-54.536315918,梦,0,0,0,0,0.0
4,00:00.8,7.9609375,-130.8203125,-54.5062561035,梦,0,0,0,0,0.0
5,00:00.10,7.9765625,-130.7890625,-54.5148620605,梦,0,0,0,0,0.0
6,00:00.12,8.0,-130.6953125,-54.561920166,梦,0,0,0,0,0.0
7,00:00.14,8.0234375,-130.6328125,-54.5880126953,梦,0,0,0,0,0.0
8,00:00.16,8.0390625,-130.5703125,-54.6027526855,梦,0,0,0,0,0.0
9,00:00.18,8.046875,-130.5234375,-54.597442627,梦,0,0,0,0,0.0
10,00:00.20,8.0703125,-130.484375,-54.5874023438,梦,0,0,0,0,0.0
11,00:00.22,8.046875,-130.4296875,-54.5807189941,梦,0,0,0,0,0.0
12,00:00.24,8.015625,-130.3984375,-54.5706787109,梦,0,0,0,0,0.0
13,00:00.26,7.9609375,-130.359375,-54.5732727051,梦,0,0,0,0,0.0
14,00:00.28,7.9140625,-130.359375,-54.5546875,梦,0,0,0,0,0.0
15,00:00.30,7.875,-130.328125,-54.5547790527,梦,0,0,0,0,0.0
16,00:00.32,7.8515625,-130.34375,-54.5380554199,梦,0,0,0,0,0.0
17,00:00.34,7.828125,-130.34375,-54.5381469727,梦,0,0,0,0,0.0
18,00:00.36,7.8046875,-130.328125,-54.5552062988,梦,0,0,0,0,0.0
19,00:00.38,7.7890625,-130.3125,-54.5726318359,梦,0,0,0,0,0.0
20,00:00.40,7.7890625,-130.3046875,-54.5899963379,梦,0,0,0,0,0.0
21,00:00.42,7.7890625,-130.3359375,-54.5910949707,梦,0,0,0,0,0.0
22,00:00.44,7.8046875,-130.3515625,-54.5875244141,梦,0,0,0,0,0.0
23,00:00.46,7.8203125,-130.3671875,-54.5830078125,梦,0,0,0,0,0.0
24,00:00.48,7.859375,-130.3671875,-54.5744628906,梦,0,0,0,0,0.0
25,00:00.50,7.90625,-130.328125,-54.5723876953,梦,0,0,0,0,0.0
26,00:00.52,7.9609375,-130.2890625,-54.5687561035,梦,0,0,0,0,0.0
27,00:00.54,8.0,-130.2421875,-54.5661621094,梦,0,0,0,0,0.0
28,00:00.56,8.03125,-130.1953125,-54.5735778809,梦,0,0,0,0,0.0
29,00:00.58,8.0390625,-130.1640625,-54.5688476562,梦,0,0,0,0,0.0
30,00:00.60,8.046875,-130.15625,-54.5633544922,梦,0,0,0,0,0.0
31,00:00.62,8.0546875,-130.078125,-54.5790100098,梦,0,0,0,0,0.0
32,00:00.64,8.0859375,-129.9140625,-54.6311645508,梦,0,0,0,0,0.0
33,00:00.66,8.1015625,-129.828125,-54.6475830078,梦,0,0,0,0,0.0
34,00:00.68,8.1171875,-129.9140625,-54.595916748,梦,0,0,0,0,0.0
35,00:00.70,8.1171875,-129.96875,-54.5536804199,梦,0,0,0,0,0.0
36,00:00.72,8.1015625,-129.9921875,-54.5179748535,梦,0,0,0,0,0.0
37,00:00.74,8.0859375,-130.0078125,-54.4889526367,梦,0,0,0,0,0.0
38,00:00.76,8.0546875,-130.046875,-54.4676208496,梦,0,0,0,0,0.0
39,00:00.78,8.0390625,-130.09375,-54.473815918,梦,0,0,0,0,0.0
40,00:00.80,8.015625,-130.09375,-54.5140075684,梦,0,0,0,0,0.0
41,00:00.82,8.015625,-130.015625,-54.5905456543,梦,0,0,0,0,0.0
42,00:00.84,8.0,-129.9765625,-54.6517944336,梦,0,0,0,0,0.0
43,00:00.86,7.9921875,-130.0078125,-54.6695251465,梦,0,0,0,0,0.0
44,00:00.88,8.03125,-130.046875,-54.6524658203,梦,0,0,0,0,0.0
45,00:00.90,8.078125,-130.1171875,-54.6017150879,梦,0,0,0,0,0.0
46,00:00.92,8.1015625,-130.140625,-54.5670776367,梦,0,0,0,0,0.0
47,00:00.94,8.109375,-130.1640625,-54.5364074707,梦,0,0,0,0,0.0
48,00:00.96,8.109375,-130.1328125,-54.5352783203,梦,0,0,0,0,0.0
49,00:00.98,8.125,-130.0625,-54.5478820801,梦,0,0,0,0,0.0
50,00:01.0,8.125,-130.015625,-54.5607910156,梦,0,0,0,0,0.0
51,00:01.2,8.1171875,-129.9609375,-54.5637207031,梦,0,0,0,0,0.0
52,00:01.4,8.109375,-129.890625,-54.574432373,梦,0,0,0,0,0.0
53,00:01.6,8.1015625,-129.796875,-54.5849914551,梦,0,0,0,0,0.0
54,00:01.8,8.0859375,-129.7109375,-54.5962219238,梦,0,0,0,0,0.0
55,00:01.10,8.0625,-129.6796875,-54.5849914551,梦,0,0,0,0,0.0
56,00:01.12,8.03125,-129.6328125,-54.5785217285,梦,0,0,0,0,0.0
57,00:01.14,7.9765625,-129.6171875,-54.568939209,梦,0,0,0,0,0.0
58,00:01.16,7.9453125,-129.59375,-54.5596618652,梦,0,0,0,0,0.0
59,00:01.18,7.90625,-129.625,-54.5417785645,梦,0,0,0,0,0.0
60,00:01.20,7.8828125,-129.625,-54.5343017578,梦,0,0,0,0,0.0
61,00:01.22,7.8671875,-129.6484375,-54.533782959,梦,0,0,0,0,0.0
62,00:01.24,7.8671875,-129.6171875,-54.5553894043,梦,0,0,0,0,0.0
63,00:01.26,7.875,-129.609375,-54.5777893066,梦,0,0,0,0,0.0
64,00:01.28,7.875,-129.625,-54.5868225098,梦,0,0,0,0,0.0
65,00:01.30,7.8828125,-129.671875,-54.583984375,梦,0,0,0,0,0.0
66,00:01.32,7.8828125,-129.6953125,-54.5758972168,梦,0,0,0,0,0.0
67,00:01.34,7.890625,-129.7109375,-54.5674743652,梦,0,0,0,0,0.0
68,00:01.36,7.9140625,-129.7421875,-54.5420227051,梦,0,0,0,0,0.0
69,00:01.38,7.921875,-129.7421875,-54.5322265625,梦,0,0,0,0,0.0
70,00:01.40,7.9375,-129.7265625,-54.531829834,梦,0,0,0,0,0.0
71,00:01.42,7.9375,-129.7265625,-54.5355834961,梦,0,0,0,0,0.0
72,00:01.44,7.9296875,-129.75,-54.5374145508,梦,0,0,0,0,0.0
73,00:01.46,7.8984375,-129.7578125,-54.5599060059,梦,0,0,0,0,0.0
74,00:01.48,7.8671875,-129.734375,-54.6033630371,梦,0,0,0,0,0.0
75,00:01.50,7.8359375,-129.6484375,-54.6713256836,梦,0,0,0,0,0.0
76,00:01.52,7.7890625,-129.640625,-54.6988525391,梦,0,0,0,0,0.0
77,00:01.54,7.734375,-129.8046875,-54.646484375,梦,0,0,0,0,0.0
78,00:01.56,7.703125,-129.9609375,-54.5749206543,梦,0,0,0,0,0.0
