,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,7.5859375,-98.875,-67.4188537598,梦,0,0,0,0,0.0
1,00:00.2,7.609375,-98.8828125,-67.4414367676,梦,0,0,0,0,0.0
2,00:00.4,7.625,-98.8515625,-67.4546203613,梦,0,0,0,0,0.0
3,00:00.6,7.6171875,-98.8359375,-67.4414367676,梦,0,0,0,0,0.0
4,00:00.8,7.59375,-98.796875,-67.4272460938,梦,0,0,0,0,0.0
5,00:00.10,7.5703125,-98.734375,-67.4221801758,梦,0,0,0,0,0.0
6,00:00.12,7.546875,-98.6484375,-67.4169006348,梦,0,0,0,0,0.0
7,00:00.14,7.515625,-98.5625,-67.4015808105,梦,0,0,0,0,0.0
8,00:00.16,7.484375,-98.515625,-67.3781738281,梦,0,0,0,0,0.0
9,00:00.18,7.4453125,-98.4453125,-67.3831787109,梦,0,0,0,0,0.0
10,00:00.20,7.390625,-98.390625,-67.3860168457,梦,0,0,0,0,0.0
11,00:00.22,7.3515625,-98.328125,-67.4001159668,梦,0,0,0,0,0.0
12,00:00.24,7.3046875,-98.3125,-67.3952331543,梦,0,0,0,0,0.0
13,00:00.26,7.2734375,-98.3046875,-67.3859558105,梦,0,0,0,0,0.0
14,00:00.28,7.2734375,-98.3125,-67.3767700195,梦,0,0,0,0,0.0
15,00:00.30,7.265625,-98.3046875,-67.409576416,梦,0,0,0,0,0.0
16,00:00.32,7.265625,-98.28125,-67.4644775391,梦,0,0,0,0,0.0
17,00:00.34,7.2578125,-98.28125,-67.4652099609,梦,0,0,0,0,0.0
18,00:00.36,7.2421875,-98.3046875,-67.4272460938,梦,0,0,0,0,0.0
19,00:00.38,7.25,-98.3671875,-67.3500671387,梦,0,0,0,0,0.0
20,00:00.40,7.2734375,-98.3984375,-67.3176269531,梦,0,0,0,0,0.0
21,00:00.42,7.296875,-98.375,-67.340057373,梦,0,0,0,0,0.0
22,00:00.44,7.3203125,-98.359375,-67.3681030273,梦,0,0,0,0,0.0
23,00:00.46,7.359375,-98.3515625,-67.3865661621,梦,0,0,0,0,0.0
24,00:00.48,7.40625,-98.40625,-67.3869018555,梦,0,0,0,0,0.0
25,00:00.50,7.4609375,-98.453125,-67.3927612305,梦,0,0,0,0,0.0
26,00:00.52,7.5234375,-98.5703125,-67.3744506836,梦,0,0,0,0,0.0
27,00:00.54,7.5859375,-98.6484375,-67.3924865723,梦,0,0,0,0,0.0
28,00:00.56,7.6484375,-98.734375,-67.4165344238,梦,0,0,0,0,0.0
29,00:00.58,7.6953125,-98.7890625,-67.4498596191,梦,0,0,0,0,0.0
30,00:00.60,7.7109375,-98.8515625,-67.4631652832,梦,0,0,0,0,0.0
31,00:00.62,7.7265625,-98.921875,-67.4592895508,梦,0,0,0,0,0.0
32,00:00.64,7.7421875,-98.9453125,-67.4503479004,梦,0,0,0,0,0.0
33,00:00.66,7.75,-98.9375,-67.4409179688,梦,0,0,0,0,0.0
34,00:00.68,7.7578125,-98.9375,-67.4226379395,梦,0,0,0,0,0.0
35,00:00.70,7.75,-98.890625,-67.4274291992,梦,0,0,0,0,0.0
36,00:00.72,7.734375,-98.828125,-67.4448852539,梦,0,0,0,0,0.0
37,00:00.74,7.6953125,-98.7578125,-67.4580078125,梦,0,0,0,0,0.0
38,00:00.76,7.6328125,-98.6875,-67.4529724121,梦,0,0,0,0,0.0
39,00:00.78,7.5703125,-98.609375,-67.4385070801,梦,0,0,0,0,0.0
40,00:00.80,7.5078125,-98.5546875,-67.4285583496,梦,0,0,0,0,0.0
41,00:00.82,7.4375,-98.5078125,-67.4194946289,梦,0,0,0,0,0.0
42,00:00.84,7.3828125,-98.4609375,-67.4143066406,梦,0,0,0,0,0.0
43,00:00.86,7.328125,-98.4375,-67.4091796875,梦,0,0,0,0,0.0
44,00:00.88,7.28125,-98.421875,-67.4000244141,梦,0,0,0,0,0.0
45,00:00.90,7.2421875,-98.4140625,-67.400970459,梦,0,0,0,0,0.0
46,00:00.92,7.2265625,-98.421875,-67.4100952148,梦,0,0,0,0,0.0
47,00:00.94,7.2265625,-98.4375,-67.4061584473,梦,0,0,0,0,0.0
48,00:00.96,7.2421875,-98.4765625,-67.4011535645,梦,0,0,0,0,0.0
49,00:00.98,7.2734375,-98.484375,-67.428527832,梦,0,0,0,0,0.0
50,00:01.0,7.3046875,-98.4765625,-67.4937133789,梦,0,0,0,0,0.0
51,00:01.2,7.3671875,-98.4921875,-67.5074157715,梦,0,0,0,0,0.0
52,00:01.4,7.421875,-98.546875,-67.4613342285,梦,0,0,0,0,0.0
53,00:01.6,7.4765625,-98.6015625,-67.391784668,梦,0,0,0,0,0.0
54,00:01.8,7.53125,-98.6484375,-67.3316345215,梦,0,0,0,0,0.0
55,00:01.10,7.5703125,-98.6484375,-67.3226623535,梦,0,0,0,0,0.0
56,00:01.12,7.609375,-98.609375,-67.3554382324,梦,0,0,0,0,0.0
57,00:01.14,7.6484375,-98.6015625,-67.3781738281,梦,0,0,0,0,0.0
58,00:01.16,7.6875,-98.6484375,-67.3786315918,梦,0,0,0,0,0.0
59,00:01.18,7.7421875,-98.7109375,-67.374420166,梦,0,0,0,0,0.0
60,00:01.20,7.8046875,-98.828125,-67.3611755371,梦,0,0,0,0,0.0
61,00:01.22,7.8515625,-98.90625,-67.3763122559,梦,0,0,0,0,0.0
62,00:01.24,7.8828125,-99.0234375,-67.3803405762,梦,0,0,0,0,0.0
63,00:01.26,7.9140625,-99.0859375,-67.4085693359,梦,0,0,0,0,0.0
64,00:01.28,7.9140625,-99.15625,-67.4230651855,梦,0,0,0,0,0.0
65,00:01.30,7.90625,-99.203125,-67.428314209,梦,0,0,0,0,0.0
66,00:01.32,7.90625,-99.21875,-67.433380127,梦,0,0,0,0,0.0
67,00:01.34,7.8984375,-99.2265625,-67.4246826172,梦,0,0,0,0,0.0
68,00:01.36,7.8984375,-99.2265625,-67.4011535645,梦,0,0,0,0,0.0
69,00:01.38,7.8671875,-99.2109375,-67.3818664551,梦,0,0,0,0,0.0
