,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-6.1171875,-137.9921875,-58.8333435059,梦,0,0,0,0,0.0
1,00:00.2,-6.125,-137.9921875,-58.8189086914,梦,0,0,0,0,0.0
2,00:00.4,-6.140625,-138.015625,-58.8035583496,梦,0,0,0,0,0.0
3,00:00.6,-6.15625,-138.0,-58.8109436035,梦,0,0,0,0,0.0
4,00:00.8,-6.1796875,-137.9765625,-58.8295898438,梦,0,0,0,0,0.0
5,00:00.10,-6.1875,-137.96875,-58.8475952148,梦,0,0,0,0,0.0
6,00:00.12,-6.203125,-137.9921875,-58.8437805176,梦,0,0,0,0,0.0
7,00:00.14,-6.21875,-138.0078125,-58.8396911621,梦,0,0,0,0,0.0
8,00:00.16,-6.2265625,-138.0546875,-58.8246154785,梦,0,0,0,0,0.0
9,00:00.18,-6.25,-138.0859375,-58.8126831055,梦,0,0,0,0,0.0
10,00:00.20,-6.2734375,-138.09375,-58.8201599121,梦,0,0,0,0,0.0
11,00:00.22,-6.265625,-138.0859375,-58.8458862305,梦,0,0,0,0,0.0
12,00:00.24,-6.2421875,-138.015625,-58.9026184082,梦,0,0,0,0,0.0
13,00:00.26,-6.2109375,-137.859375,-58.9933776855,梦,0,0,0,0,0.0
14,00:00.28,-6.1875,-137.84375,-58.989440918,梦,0,0,0,0,0.0
15,00:00.30,-6.1875,-137.9140625,-58.9300231934,梦,0,0,0,0,0.0
16,00:00.32,-6.203125,-137.921875,-58.8711853027,梦,0,0,0,0,0.0
17,00:00.34,-6.1953125,-137.8671875,-58.8094177246,梦,0,0,0,0,0.0
18,00:00.36,-6.2109375,-137.8671875,-58.7315673828,梦,0,0,0,0,0.0
19,00:00.38,-6.2421875,-137.9296875,-58.6637268066,梦,0,0,0,0,0.0
20,00:00.40,-6.2578125,-137.9296875,-58.6626586914,梦,0,0,0,0,0.0
21,00:00.42,-6.28125,-137.8203125,-58.7301940918,梦,0,0,0,0,0.0
22,00:00.44,-6.28125,-137.640625,-58.8463439941,梦,0,0,0,0,0.0
23,00:00.46,-6.28125,-137.5546875,-58.9287414551,梦,0,0,0,0,0.0
24,00:00.48,-6.2890625,-137.609375,-58.9466552734,梦,0,0,0,0,0.0
25,00:00.50,-6.28125,-137.671875,-58.9389343262,梦,0,0,0,0,0.0
26,00:00.52,-6.2578125,-137.75,-58.8945617676,梦,0,0,0,0,0.0
27,00:00.54,-6.21875,-137.84375,-58.8313598633,梦,0,0,0,0,0.0
28,00:00.56,-6.1953125,-137.9375,-58.7790222168,梦,0,0,0,0,0.0
29,00:00.58,-6.1796875,-137.9609375,-58.7678222656,梦,0,0,0,0,0.0
30,00:00.60,-6.171875,-137.90625,-58.7831726074,梦,0,0,0,0,0.0
31,00:00.62,-6.15625,-137.8515625,-58.8130493164,梦,0,0,0,0,0.0
32,00:00.64,-6.140625,-137.7890625,-58.8428344727,梦,0,0,0,0,0.0
33,00:00.66,-6.1328125,-137.703125,-58.8694458008,梦,0,0,0,0,0.0
34,00:00.68,-6.1328125,-137.640625,-58.8702392578,梦,0,0,0,0,0.0
35,00:00.70,-6.1484375,-137.6015625,-58.8486633301,梦,0,0,0,0,0.0
