,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-9.1875,-104.3828125,-39.9584350586,梦,0,0,0,0,0.0
1,00:00.2,-9.234375,-104.296875,-39.9784240723,梦,0,0,0,0,0.0
2,00:00.4,-9.265625,-104.2109375,-40.0073242188,梦,0,0,0,0,0.0
3,00:00.6,-9.25,-104.1015625,-40.0462341309,梦,0,0,0,0,0.0
4,00:00.8,-9.1796875,-104.0625,-40.0648193359,梦,0,0,0,0,0.0
5,00:00.10,-9.046875,-104.0546875,-40.0704956055,梦,0,0,0,0,0.0
6,00:00.12,-8.890625,-104.0625,-40.0729980469,梦,0,0,0,0,0.0
7,00:00.14,-8.765625,-104.125,-40.0634460449,梦,0,0,0,0,0.0
8,00:00.16,-8.7109375,-104.1953125,-40.0433349609,梦,0,0,0,0,0.0
9,00:00.18,-8.6796875,-104.265625,-40.0241088867,梦,0,0,0,0,0.0
10,00:00.20,-8.6484375,-104.3046875,-40.0249023438,梦,0,0,0,0,0.0
11,00:00.22,-8.6015625,-104.2890625,-40.0302429199,梦,0,0,0,0,0.0
12,00:00.24,-8.625,-104.3125,-40.0205383301,梦,0,0,0,0,0.0
13,00:00.26,-8.6484375,-104.2421875,-40.0412597656,梦,0,0,0,0,0.0
14,00:00.28,-8.6484375,-104.2109375,-40.0492858887,梦,0,0,0,0,0.0
15,00:00.30,-8.671875,-104.1484375,-40.0567016602,梦,0,0,0,0,0.0
16,00:00.32,-8.71875,-104.0546875,-40.0675048828,梦,0,0,0,0,0.0
17,00:00.34,-8.7421875,-103.9609375,-40.0711975098,梦,0,0,0,0,0.0
18,00:00.36,-8.796875,-103.90625,-40.0566101074,梦,0,0,0,0,0.0
19,00:00.38,-8.8125,-103.890625,-40.0322265625,梦,0,0,0,0,0.0
20,00:00.40,-8.84375,-103.8984375,-40.0140991211,梦,0,0,0,0,0.0
21,00:00.42,-8.8515625,-103.921875,-39.9974060059,梦,0,0,0,0,0.0
22,00:00.44,-8.8359375,-103.8828125,-40.0190429688,梦,0,0,0,0,0.0
23,00:00.46,-8.8125,-103.8671875,-40.0313110352,梦,0,0,0,0,0.0
24,00:00.48,-8.796875,-103.90625,-40.0365600586,梦,0,0,0,0,0.0
25,00:00.50,-8.78125,-103.921875,-40.040435791,梦,0,0,0,0,0.0
26,00:00.52,-8.78125,-103.9375,-40.0369262695,梦,0,0,0,0,0.0
27,00:00.54,-8.7890625,-103.90625,-40.0486755371,梦,0,0,0,0,0.0
28,00:00.56,-8.765625,-103.84375,-40.0653076172,梦,0,0,0,0,0.0
29,00:00.58,-8.75,-103.796875,-40.0651550293,梦,0,0,0,0,0.0
30,00:00.60,-8.734375,-103.7890625,-40.0451049805,梦,0,0,0,0,0.0
31,00:00.62,-8.7578125,-103.828125,-40.0031738281,梦,0,0,0,0,0.0
32,00:00.64,-8.765625,-103.7890625,-39.9980773926,梦,0,0,0,0,0.0
33,00:00.66,-8.7890625,-103.765625,-40.0058288574,梦,0,0,0,0,0.0
34,00:00.68,-8.7890625,-103.734375,-40.0308227539,梦,0,0,0,0,0.0
35,00:00.70,-8.7890625,-103.6484375,-40.0888366699,梦,0,0,0,0,0.0
36,00:00.72,-8.78125,-103.625,-40.1187438965,梦,0,0,0,0,0.0
37,00:00.74,-8.765625,-103.6796875,-40.0857849121,梦,0,0,0,0,0.0
38,00:00.76,-8.8125,-103.6875,-40.0302124023,梦,0,0,0,0,0.0
39,00:00.78,-8.8828125,-103.703125,-39.9669799805,梦,0,0,0,0,0.0
40,00:00.80,-8.984375,-103.71875,-39.9189147949,梦,0,0,0,0,0.0
41,00:00.82,-9.0546875,-103.6640625,-39.9219970703,梦,0,0,0,0,0.0
42,00:00.84,-9.09375,-103.5703125,-39.9674072266,梦,0,0,0,0,0.0
43,00:00.86,-9.1015625,-103.53125,-40.007598877,梦,0,0,0,0,0.0
44,00:00.88,-9.078125,-103.5390625,-40.0415649414,梦,0,0,0,0,0.0
45,00:00.90,-9.0078125,-103.53125,-40.0675964355,梦,0,0,0,0,0.0
