,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-11.09375,-47.265625,-136.655822754,梦,0,0,0,0,0.0
1,00:00.2,-11.09375,-47.1875,-136.688171387,梦,0,0,0,0,0.0
2,00:00.4,-11.1171875,-47.0078125,-136.844421387,梦,0,0,0,0,0.0
3,00:00.6,-11.140625,-46.7421875,-137.066711426,梦,0,0,0,0,0.0
4,00:00.8,-11.1640625,-46.4453125,-137.264129639,梦,0,0,0,0,0.0
5,00:00.10,-11.1796875,-46.234375,-137.320861816,梦,0,0,0,0,0.0
6,00:00.12,-11.15625,-46.109375,-137.285583496,梦,0,0,0,0,0.0
7,00:00.14,-11.09375,-45.9140625,-137.343048096,梦,0,0,0,0,0.0
8,00:00.16,-11.0546875,-45.671875,-137.452636719,梦,0,0,0,0,0.0
9,00:00.18,-11.0546875,-45.46875,-137.455047607,梦,0,0,0,0,0.0
10,00:00.20,-11.0703125,-45.3828125,-137.250488281,梦,0,0,0,0,0.0
11,00:00.22,-11.0390625,-45.3359375,-137.006988525,梦,0,0,0,0,0.0
12,00:00.24,-10.9609375,-45.171875,-136.878723145,梦,0,0,0,0,0.0
13,00:00.26,-10.859375,-44.8125,-136.971862793,梦,0,0,0,0,0.0
14,00:00.28,-10.78125,-44.328125,-137.195709229,梦,0,0,0,0,0.0
15,00:00.30,-10.7265625,-43.875,-137.423919678,梦,0,0,0,0,0.0
16,00:00.32,-10.7265625,-43.5625,-137.563262939,梦,0,0,0,0,0.0
17,00:00.34,-10.78125,-43.40625,-137.611480713,梦,0,0,0,0,0.0
18,00:00.36,-10.828125,-43.3515625,-137.573760986,梦,0,0,0,0,0.0
19,00:00.38,-10.828125,-43.359375,-137.437469482,梦,0,0,0,0,0.0
20,00:00.40,-10.7734375,-43.3828125,-137.303009033,梦,0,0,0,0,0.0
21,00:00.42,-10.703125,-43.390625,-137.233825684,梦,0,0,0,0,0.0
22,00:00.44,-10.6640625,-43.375,-137.243774414,梦,0,0,0,0,0.0
23,00:00.46,-10.6484375,-43.296875,-137.32699585,梦,0,0,0,0,0.0
24,00:00.48,-10.6484375,-43.171875,-137.420318604,梦,0,0,0,0,0.0
25,00:00.50,-10.65625,-43.03125,-137.546630859,梦,0,0,0,0,0.0
26,00:00.52,-10.703125,-42.8984375,-137.710540771,梦,0,0,0,0,0.0
27,00:00.54,-10.734375,-42.78125,-137.872070312,梦,0,0,0,0,0.0
28,00:00.56,-10.7265625,-42.65625,-138.01071167,梦,0,0,0,0,0.0
29,00:00.58,-10.625,-42.453125,-138.171783447,梦,0,0,0,0,0.0
30,00:00.60,-10.4609375,-42.2265625,-138.373352051,梦,0,0,0,0,0.0
31,00:00.62,-10.328125,-42.0859375,-138.481964111,梦,0,0,0,0,0.0
32,00:00.64,-10.2421875,-41.9375,-138.492828369,梦,0,0,0,0,0.0
33,00:00.66,-10.203125,-41.6640625,-138.548461914,梦,0,0,0,0,0.0
34,00:00.68,-10.1953125,-41.3359375,-138.691619873,梦,0,0,0,0,0.0
35,00:00.70,-10.2578125,-41.0625,-138.852722168,梦,0,0,0,0,0.0
36,00:00.72,-10.3515625,-40.9296875,-138.874938965,梦,0,0,0,0,0.0
37,00:00.74,-10.5234375,-40.9140625,-138.768005371,梦,0,0,0,0,0.0
38,00:00.76,-10.6953125,-41.046875,-138.546051025,梦,0,0,0,0,0.0
39,00:00.78,-10.8125,-41.3203125,-138.303497314,梦,0,0,0,0,0.0
40,00:00.80,-10.859375,-41.6328125,-138.108856201,梦,0,0,0,0,0.0
41,00:00.82,-10.90625,-41.8671875,-138.078094482,梦,0,0,0,0,0.0
42,00:00.84,-11.0234375,-42.0,-138.168182373,梦,0,0,0,0,0.0
43,00:00.86,-11.25,-42.109375,-138.321502686,梦,0,0,0,0,0.0
44,00:00.88,-11.59375,-42.25,-138.476928711,梦,0,0,0,0,0.0
45,00:00.90,-11.9453125,-42.40625,-138.575195312,梦,0,0,0,0,0.0
46,00:00.92,-12.2109375,-42.609375,-138.569396973,梦,0,0,0,0,0.0
47,00:00.94,-12.3515625,-42.859375,-138.477844238,梦,0,0,0,0,0.0
48,00:00.96,-12.3515625,-43.1171875,-138.36050415,梦,0,0,0,0,0.0
49,00:00.98,-12.2578125,-43.4375,-138.219421387,梦,0,0,0,0,0.0
50,00:01.0,-12.171875,-43.84375,-138.060455322,梦,0,0,0,0,0.0
51,00:01.2,-12.1015625,-44.3046875,-137.851837158,梦,0,0,0,0,0.0
52,00:01.4,-12.0390625,-44.7421875,-137.686889648,梦,0,0,0,0,0.0
53,00:01.6,-11.9453125,-45.140625,-137.592651367,梦,0,0,0,0,0.0
54,00:01.8,-11.8203125,-45.5,-137.621643066,梦,0,0,0,0,0.0
55,00:01.10,-11.6640625,-45.859375,-137.678894043,梦,0,0,0,0,0.0
56,00:01.12,-11.4921875,-46.25,-137.649505615,梦,0,0,0,0,0.0
57,00:01.14,-11.328125,-46.671875,-137.513885498,梦,0,0,0,0,0.0
58,00:01.16,-11.1953125,-47.0546875,-137.378509521,梦,0,0,0,0,0.0
59,00:01.18,-11.125,-47.421875,-137.253173828,梦,0,0,0,0,0.0
60,00:01.20,-11.1015625,-47.703125,-137.195129395,梦,0,0,0,0,0.0
61,00:01.22,-11.078125,-47.8359375,-137.217285156,梦,0,0,0,0,0.0
62,00:01.24,-11.0546875,-47.8203125,-137.314941406,梦,0,0,0,0,0.0
63,00:01.26,-11.03125,-47.7578125,-137.427490234,梦,0,0,0,0,0.0
64,00:01.28,-11.03125,-47.734375,-137.477233887,梦,0,0,0,0,0.0
65,00:01.30,-11.0390625,-47.75,-137.448577881,梦,0,0,0,0,0.0
66,00:01.32,-11.0625,-47.75,-137.360168457,梦,0,0,0,0,0.0
67,00:01.34,-11.09375,-47.6796875,-137.264434814,梦,0,0,0,0,0.0
68,00:01.36,-11.1328125,-47.546875,-137.19418335,梦,0,0,0,0,0.0
69,00:01.38,-11.1640625,-47.421875,-137.142333984,梦,0,0,0,0,0.0
70,00:01.40,-11.203125,-47.2890625,-137.11026001,梦,0,0,0,0,0.0
71,00:01.42,-11.25,-47.1484375,-137.020050049,梦,0,0,0,0,0.0
72,00:01.44,-11.3046875,-46.96875,-136.872039795,梦,0,0,0,0,0.0
73,00:01.46,-11.375,-46.7265625,-136.740600586,梦,0,0,0,0,0.0
74,00:01.48,-11.4296875,-46.3984375,-136.739624023,梦,0,0,0,0,0.0
75,00:01.50,-11.4453125,-46.015625,-136.832305908,梦,0,0,0,0,0.0
76,00:01.52,-11.421875,-45.5625,-137.033447266,梦,0,0,0,0,0.0
77,00:01.54,-11.3828125,-45.0625,-137.24810791,梦,0,0,0,0,0.0
78,00:01.56,-11.359375,-44.6171875,-137.374481201,梦,0,0,0,0,0.0
79,00:01.58,-11.3671875,-44.2734375,-137.387969971,梦,0,0,0,0,0.0
80,00:01.60,-11.3828125,-43.96875,-137.358764648,梦,0,0,0,0,0.0
81,00:01.62,-11.3828125,-43.7109375,-137.300292969,梦,0,0,0,0,0.0
82,00:01.64,-11.375,-43.484375,-137.186584473,梦,0,0,0,0,0.0
83,00:01.66,-11.375,-43.3125,-137.07522583,梦,0,0,0,0,0.0
84,00:01.68,-11.3671875,-43.1484375,-137.013793945,梦,0,0,0,0,0.0
85,00:01.70,-11.3515625,-42.9765625,-137.047088623,梦,0,0,0,0,0.0
86,00:01.72,-11.3359375,-42.8046875,-137.144195557,梦,0,0,0,0,0.0
87,00:01.74,-11.3125,-42.6796875,-137.231903076,梦,0,0,0,0,0.0
88,00:01.76,-11.28125,-42.6015625,-137.316131592,梦,0,0,0,0,0.0
89,00:01.78,-11.234375,-42.546875,-137.432769775,梦,0,0,0,0,0.0
90,00:01.80,-11.171875,-42.5,-137.556427002,梦,0,0,0,0,0.0
91,00:01.82,-11.125,-42.5,-137.607391357,梦,0,0,0,0,0.0
92,00:01.84,-11.109375,-42.5546875,-137.589416504,梦,0,0,0,0,0.0
93,00:01.86,-11.1171875,-42.59375,-137.591247559,梦,0,0,0,0,0.0
94,00:01.88,-11.15625,-42.6171875,-137.609191895,梦,0,0,0,0,0.0
95,00:01.90,-11.203125,-42.6484375,-137.578887939,梦,0,0,0,0,0.0
96,00:01.92,-11.25,-42.703125,-137.47479248,梦,0,0,0,0,0.0
97,00:01.94,-11.2890625,-42.765625,-137.379150391,梦,0,0,0,0,0.0
98,00:01.96,-11.328125,-42.8046875,-137.372894287,梦,0,0,0,0,0.0
99,00:01.98,-11.3671875,-42.84375,-137.404602051,梦,0,0,0,0,0.0
100,00:02.0,-11.3984375,-42.9140625,-137.442321777,梦,0,0,0,0,0.0
101,00:02.2,-11.3984375,-43.0234375,-137.499023438,梦,0,0,0,0,0.0
102,00:02.4,-11.3984375,-43.1328125,-137.565979004,梦,0,0,0,0,0.0
103,00:02.6,-11.375,-43.234375,-137.634979248,梦,0,0,0,0,0.0
104,00:02.8,-11.3359375,-43.328125,-137.659820557,梦,0,0,0,0,0.0
105,00:02.10,-11.3046875,-43.390625,-137.738006592,梦,0,0,0,0,0.0
106,00:02.12,-11.28125,-43.4375,-137.8046875,梦,0,0,0,0,0.0
107,00:02.14,-11.2578125,-43.4296875,-137.838195801,梦,0,0,0,0,0.0
108,00:02.16,-11.234375,-43.375,-137.834442139,梦,0,0,0,0,0.0
109,00:02.18,-11.234375,-43.3203125,-137.795898438,梦,0,0,0,0,0.0
110,00:02.20,-11.2421875,-43.2578125,-137.735351562,梦,0,0,0,0,0.0
111,00:02.22,-11.25,-43.21875,-137.640380859,梦,0,0,0,0,0.0
112,00:02.24,-11.2578125,-43.1953125,-137.549194336,梦,0,0,0,0,0.0
113,00:02.26,-11.2734375,-43.1484375,-137.512176514,梦,0,0,0,0,0.0
114,00:02.28,-11.28125,-43.09375,-137.488067627,梦,0,0,0,0,0.0
115,00:02.30,-11.2734375,-43.015625,-137.49810791,梦,0,0,0,0,0.0
116,00:02.32,-11.265625,-42.9375,-137.533508301,梦,0,0,0,0,0.0
117,00:02.34,-11.265625,-42.84375,-137.611328125,梦,0,0,0,0,0.0
118,00:02.36,-11.265625,-42.765625,-137.662445068,梦,0,0,0,0,0.0
119,00:02.38,-11.265625,-42.734375,-137.659454346,梦,0,0,0,0,0.0
120,00:02.40,-11.2421875,-42.7734375,-137.585845947,梦,0,0,0,0,0.0
121,00:02.42,-11.2109375,-42.8359375,-137.549621582,梦,0,0,0,0,0.0
122,00:02.44,-11.15625,-42.875,-137.564086914,梦,0,0,0,0,0.0
123,00:02.46,-11.109375,-42.90625,-137.587554932,梦,0,0,0,0,0.0
124,00:02.48,-11.078125,-42.953125,-137.566558838,梦,0,0,0,0,0.0
125,00:02.50,-11.0546875,-43.0234375,-137.543243408,梦,0,0,0,0,0.0
126,00:02.52,-11.0546875,-43.0859375,-137.590301514,梦,0,0,0,0,0.0
