,time,X,Y,Z,marker,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-3.796875,-116.34375,-67.4630126953,Marker 0,梦,0,0,0,0,0.0
1,00:00.2,-3.8203125,-116.21875,-67.4630432129,Marker 0,梦,0,0,0,0,0.0
2,00:00.4,-3.84375,-116.1171875,-67.4527587891,Marker 0,梦,0,0,0,0,0.0
3,00:00.6,-3.8671875,-116.046875,-67.4383239746,Marker 0,梦,0,0,0,0,0.0
4,00:00.8,-3.8671875,-116.0390625,-67.3973388672,Marker 0,梦,0,0,0,0,0.0
5,00:00.10,-3.8671875,-116.078125,-67.3553771973,Marker 0,梦,0,0,0,0,0.0
6,00:00.12,-3.8515625,-116.09375,-67.3456420898,Marker 0,梦,0,0,0,0,0.0
7,00:00.14,-3.8359375,-116.1015625,-67.3541870117,Marker 0,梦,0,0,0,0,0.0
8,00:00.16,-3.8046875,-116.09375,-67.3903198242,Marker 0,梦,0,0,0,0,0.0
9,00:00.18,-3.7734375,-116.078125,-67.4233093262,Marker 0,梦,0,0,0,0,0.0
10,00:00.20,-3.75,-116.109375,-67.4237365723,Marker 0,梦,0,0,0,0,0.0
11,00:00.22,-3.734375,-116.125,-67.4191589355,Marker 0,梦,0,0,0,0,0.0
12,00:00.24,-3.7265625,-116.125,-67.4153442383,Marker 0,梦,0,0,0,0,0.0
13,00:00.26,-3.71875,-116.1171875,-67.4103393555,Marker 0,梦,0,0,0,0,0.0
14,00:00.28,-3.6953125,-116.125,-67.396270752,Marker 0,梦,0,0,0,0,0.0
15,00:00.30,-3.671875,-116.1640625,-67.3678283691,Marker 0,梦,0,0,0,0,0.0
16,00:00.32,-3.625,-116.21875,-67.3411254883,Marker 0,梦,0,0,0,0,0.0
17,00:00.34,-3.59375,-116.25,-67.3369140625,Marker 0,梦,0,0,0,0,0.0
18,00:00.36,-3.5625,-116.265625,-67.3547973633,Marker 0,梦,0,0,0,0,0.0
19,00:00.38,-3.53125,-116.2734375,-67.3729553223,Marker 0,梦,0,0,0,0,0.0
20,00:00.40,-3.4921875,-116.28125,-67.3962402344,Marker 0,梦,0,0,0,0,0.0
21,00:00.42,-3.453125,-116.296875,-67.4053955078,Marker 0,梦,0,0,0,0,0.0
