,time,X,Y,Z,marker,stad,Profit,TP,LP,Sum,TH
0,00:00.0,10.6796875,-135.984375,-55.4925842285,Marker 0,梦,0,0,0,0,0.0
1,00:00.2,10.7421875,-136.09375,-55.5217895508,Marker 0,梦,0,0,0,0,0.0
2,00:00.4,10.8046875,-136.171875,-55.5685424805,Marker 0,梦,0,0,0,0,0.0
3,00:00.6,10.84375,-136.2578125,-55.5971374512,Marker 0,梦,0,0,0,0,0.0
4,00:00.8,10.890625,-136.328125,-55.6157836914,Marker 0,梦,0,0,0,0,0.0
5,00:00.10,10.9375,-136.3828125,-55.6069641113,Marker 0,梦,0,0,0,0,0.0
6,00:00.12,10.9609375,-136.4375,-55.5757751465,Marker 0,梦,0,0,0,0,0.0
7,00:00.14,10.9609375,-136.5,-55.5227050781,Marker 0,梦,0,0,0,0,0.0
8,00:00.16,10.9453125,-136.4765625,-55.4996337891,Marker 0,梦,0,0,0,0,0.0
9,00:00.18,10.9609375,-136.390625,-55.4848632812,Marker 0,梦,0,0,0,0,0.0
10,00:00.20,10.9609375,-136.1953125,-55.4992370605,Marker 0,梦,0,0,0,0,0.0
11,00:00.22,10.96875,-136.0078125,-55.5009765625,Marker 0,梦,0,0,0,0,0.0
12,00:00.24,10.96875,-135.78125,-55.4925231934,Marker 0,梦,0,0,0,0,0.0
13,00:00.26,10.9765625,-135.609375,-55.4729003906,Marker 0,梦,0,0,0,0,0.0
14,00:00.28,10.984375,-135.4453125,-55.4526977539,Marker 0,梦,0,0,0,0,0.0
15,00:00.30,10.9921875,-135.2890625,-55.4418945312,Marker 0,梦,0,0,0,0,0.0
16,00:00.32,10.9921875,-135.15625,-55.4405822754,Marker 0,梦,0,0,0,0,0.0
17,00:00.34,11.015625,-135.0546875,-55.4436645508,Marker 0,梦,0,0,0,0,0.0
18,00:00.36,11.0546875,-134.9375,-55.477722168,Marker 0,梦,0,0,0,0,0.0
19,00:00.38,11.0859375,-134.796875,-55.5347595215,Marker 0,梦,0,0,0,0,0.0
20,00:00.40,11.0859375,-134.734375,-55.5699157715,Marker 0,梦,0,0,0,0,0.0
21,00:00.42,11.078125,-134.7421875,-55.5701599121,Marker 0,梦,0,0,0,0,0.0
22,00:00.44,11.0625,-134.8125,-55.5348815918,Marker 0,梦,0,0,0,0,0.0
23,00:00.46,11.03125,-134.890625,-55.4854431152,Marker 0,梦,0,0,0,0,0.0
24,00:00.48,11.0,-134.90625,-55.4588623047,Marker 0,梦,0,0,0,0,0.0
25,00:00.50,10.9609375,-134.890625,-55.4588928223,Marker 0,梦,0,0,0,0,0.0
26,00:00.52,10.9296875,-134.84375,-55.48046875,Marker 0,梦,0,0,0,0,0.0
27,00:00.54,10.90625,-134.8125,-55.5026245117,Marker 0,梦,0,0,0,0,0.0
28,00:00.56,10.875,-134.7734375,-55.5206298828,Marker 0,梦,0,0,0,0,0.0
29,00:00.58,10.8125,-134.8203125,-55.5127563477,Marker 0,梦,0,0,0,0,0.0
30,00:00.60,10.7734375,-134.8515625,-55.5094299316,Marker 0,梦,0,0,0,0,0.0
31,00:00.62,10.7734375,-134.9296875,-55.4927368164,Marker 0,梦,0,0,0,0,0.0
32,00:00.64,10.78125,-135.0390625,-55.4626159668,Marker 0,梦,0,0,0,0,0.0
33,00:00.66,10.7890625,-135.1328125,-55.4503479004,Marker 0,梦,0,0,0,0,0.0
34,00:00.68,10.78125,-135.2109375,-55.4606933594,Marker 0,梦,0,0,0,0,0.0
35,00:00.70,10.765625,-135.265625,-55.4797668457,Marker 0,梦,0,0,0,0,0.0
36,00:00.72,10.734375,-135.3046875,-55.5022583008,Marker 0,梦,0,0,0,0,0.0
37,00:00.74,10.71875,-135.375,-55.5030822754,Marker 0,梦,0,0,0,0,0.0
38,00:00.76,10.6953125,-135.359375,-55.5112915039,Marker 0,梦,0,0,0,0,0.0
39,00:00.78,10.6796875,-135.328125,-55.5155334473,Marker 0,梦,0,0,0,0,0.0
40,00:00.80,10.671875,-135.2734375,-55.5140075684,Marker 0,梦,0,0,0,0,0.0
41,00:00.82,10.671875,-135.2421875,-55.4912109375,Marker 0,梦,0,0,0,0,0.0
42,00:00.84,10.65625,-135.28125,-55.4464111328,Marker 0,梦,0,0,0,0,0.0
43,00:00.86,10.640625,-135.2421875,-55.4291381836,Marker 0,梦,0,0,0,0,0.0
44,00:00.88,10.6171875,-135.1796875,-55.4375305176,Marker 0,梦,0,0,0,0,0.0
45,00:00.90,10.59375,-135.1796875,-55.4375610352,Marker 0,梦,0,0,0,0,0.0
46,00:00.92,10.578125,-135.203125,-55.4373168945,Marker 0,梦,0,0,0,0,0.0
47,00:00.94,10.5703125,-135.28125,-55.4328308105,Marker 0,梦,0,0,0,0,0.0
48,00:00.96,10.5546875,-135.328125,-55.4469604492,Marker 0,梦,0,0,0,0,0.0
49,00:00.98,10.546875,-135.3515625,-55.4788208008,Marker 0,梦,0,0,0,0,0.0
50,00:01.0,10.5234375,-135.375,-55.5115661621,Marker 0,梦,0,0,0,0,0.0
51,00:01.2,10.5078125,-135.359375,-55.5517578125,Marker 0,梦,0,0,0,0,0.0
52,00:01.4,10.5078125,-135.3828125,-55.5610656738,Marker 0,梦,0,0,0,0,0.0
53,00:01.6,10.5234375,-135.390625,-55.5524902344,Marker 0,梦,0,0,0,0,0.0
54,00:01.8,10.5390625,-135.3671875,-55.538269043,Marker 0,梦,0,0,0,0,0.0
55,00:01.10,10.546875,-135.3515625,-55.4976501465,Marker 0,梦,0,0,0,0,0.0
56,00:01.12,10.5546875,-135.234375,-55.4829711914,Marker 0,梦,0,0,0,0,0.0
57,00:01.14,10.5625,-135.1171875,-55.4633483887,Marker 0,梦,0,0,0,0,0.0
58,00:01.16,10.5703125,-135.03125,-55.4348144531,Marker 0,梦,0,0,0,0,0.0
59,00:01.18,10.5703125,-134.9140625,-55.4190673828,Marker 0,梦,0,0,0,0,0.0
60,00:01.20,10.578125,-134.7578125,-55.4260864258,Marker 0,梦,0,0,0,0,0.0
61,00:01.22,10.59375,-134.59375,-55.4599914551,Marker 0,梦,0,0,0,0,0.0
62,00:01.24,10.6171875,-134.375,-55.5202636719,Marker 0,梦,0,0,0,0,0.0
63,00:01.26,10.6484375,-134.2421875,-55.5408935547,Marker 0,梦,0,0,0,0,0.0
64,00:01.28,10.6796875,-134.1796875,-55.5173950195,Marker 0,梦,0,0,0,0,0.0
65,00:01.30,10.6953125,-134.1796875,-55.4541015625,Marker 0,梦,0,0,0,0,0.0
66,00:01.32,10.6796875,-134.1640625,-55.3945007324,Marker 0,梦,0,0,0,0,0.0
67,00:01.34,10.6953125,-134.125,-55.3486328125,Marker 0,梦,0,0,0,0,0.0
68,00:01.36,10.7109375,-134.0859375,-55.343536377,Marker 0,梦,0,0,0,0,0.0
69,00:01.38,10.71875,-134.0390625,-55.3651428223,Marker 0,梦,0,0,0,0,0.0
70,00:01.40,10.7109375,-133.96875,-55.4235534668,Marker 0,梦,0,0,0,0,0.0
71,00:01.42,10.671875,-133.9453125,-55.4696350098,Marker 0,梦,0,0,0,0,0.0
72,00:01.44,10.6484375,-133.96875,-55.5068054199,Marker 0,梦,0,0,0,0,0.0
73,00:01.46,10.65625,-134.0546875,-55.5171813965,Marker 0,梦,0,0,0,0,0.0
74,00:01.48,10.6640625,-134.1640625,-55.5140075684,Marker 0,梦,0,0,0,0,0.0
75,00:01.50,10.671875,-134.3046875,-55.4982910156,Marker 0,梦,0,0,0,0,0.0
76,00:01.52,10.671875,-134.46875,-55.4866638184,Marker 0,梦,0,0,0,0,0.0
77,00:01.54,10.6640625,-134.59375,-55.4892272949,Marker 0,梦,0,0,0,0,0.0
78,00:01.56,10.6640625,-134.7421875,-55.4914550781,Marker 0,梦,0,0,0,0,0.0
79,00:01.58,10.671875,-134.8515625,-55.4976806641,Marker 0,梦,0,0,0,0,0.0
80,00:01.60,10.65625,-134.9609375,-55.499206543,Marker 0,梦,0,0,0,0,0.0
81,00:01.62,10.6171875,-134.984375,-55.5223999023,Marker 0,梦,0,0,0,0,0.0
82,00:01.64,10.5546875,-135.0625,-55.510345459,Marker 0,梦,0,0,0,0,0.0
83,00:01.66,10.515625,-135.0625,-55.5200195312,Marker 0,梦,0,0,0,0,0.0
84,00:01.68,10.5,-135.1015625,-55.5111999512,Marker 0,梦,0,0,0,0,0.0
85,00:01.70,10.453125,-135.1171875,-55.502166748,Marker 0,梦,0,0,0,0,0.0
86,00:01.72,10.4140625,-135.1328125,-55.4928283691,Marker 0,梦,0,0,0,0,0.0
87,00:01.74,10.3671875,-135.1640625,-55.4748840332,Marker 0,梦,0,0,0,0,0.0
88,00:01.76,10.3515625,-135.125,-55.4820556641,Marker 0,梦,0,0,0,0,0.0
89,00:01.78,10.3359375,-135.125,-55.47265625,Marker 0,梦,0,0,0,0,0.0
90,00:01.80,10.3359375,-135.109375,-55.4676818848,Marker 0,梦,0,0,0,0,0.0
91,00:01.82,10.3671875,-135.0546875,-55.4754943848,Marker 0,梦,0,0,0,0,0.0
92,00:01.84,10.4140625,-135.046875,-55.470123291,Marker 0,梦,0,0,0,0,0.0
93,00:01.86,10.46875,-135.0234375,-55.4702148438,Marker 0,梦,0,0,0,0,0.0
94,00:01.88,10.5234375,-135.0,-55.4655761719,Marker 0,梦,0,0,0,0,0.0
95,00:01.90,10.5703125,-134.921875,-55.474029541,Marker 0,梦,0,0,0,0,0.0
96,00:01.92,10.59375,-134.890625,-55.4609069824,Marker 0,梦,0,0,0,0,0.0
97,00:01.94,10.6328125,-134.8828125,-55.4471130371,Marker 0,梦,0,0,0,0,0.0
98,00:01.96,10.65625,-134.8671875,-55.4331665039,Marker 0,梦,0,0,0,0,0.0
99,00:01.98,10.671875,-134.8671875,-55.4150695801,Marker 0,梦,0,0,0,0,0.0
100,00:02.0,10.6796875,-134.8359375,-55.4145202637,Marker 0,梦,0,0,0,0,0.0
101,00:02.2,10.671875,-134.8046875,-55.4230041504,Marker 0,梦,0,0,0,0,0.0
102,00:02.4,10.6484375,-134.796875,-55.4363708496,Marker 0,梦,0,0,0,0,0.0
103,00:02.6,10.640625,-134.796875,-55.4592895508,Marker 0,梦,0,0,0,0,0.0
104,00:02.8,10.625,-134.734375,-55.5081176758,Marker 0,梦,0,0,0,0,0.0
105,00:02.10,10.625,-134.7109375,-55.5434875488,Marker 0,梦,0,0,0,0,0.0
106,00:02.12,10.6015625,-134.671875,-55.5615234375,Marker 0,梦,0,0,0,0,0.0
107,00:02.14,10.5625,-134.7578125,-55.5168151855,Marker 0,梦,0,0,0,0,0.0
108,00:02.16,10.5234375,-134.8046875,-55.4631652832,Marker 0,梦,0,0,0,0,0.0
109,00:02.18,10.46875,-134.8125,-55.4184570312,Marker 0,梦,0,0,0,0,0.0
110,00:02.20,10.40625,-134.765625,-55.4042358398,Marker 0,梦,0,0,0,0,0.0
111,00:02.22,10.390625,-134.703125,-55.4167785645,Marker 0,梦,0,0,0,0,0.0
112,00:02.24,10.375,-134.671875,-55.4384155273,Marker 0,梦,0,0,0,0,0.0
113,00:02.26,10.34375,-134.6640625,-55.4609680176,Marker 0,梦,0,0,0,0,0.0
114,00:02.28,10.3046875,-134.6328125,-55.4928283691,Marker 0,梦,0,0,0,0,0.0
115,00:02.30,10.265625,-134.6640625,-55.5079956055,Marker 0,梦,0,0,0,0,0.0
116,00:02.32,10.265625,-134.7265625,-55.5090942383,Marker 0,梦,0,0,0,0,0.0
117,00:02.34,10.2734375,-134.84375,-55.4924316406,Marker 0,梦,0,0,0,0,0.0
118,00:02.36,10.3046875,-134.953125,-55.4796142578,Marker 0,梦,0,0,0,0,0.0
119,00:02.38,10.34375,-135.0390625,-55.4760742188,Marker 0,梦,0,0,0,0,0.0
120,00:02.40,10.3671875,-135.078125,-55.4940185547,Marker 0,梦,0,0,0,0,0.0
121,00:02.42,10.4140625,-135.1328125,-55.5085144043,Marker 0,梦,0,0,0,0,0.0
122,00:02.44,10.4375,-135.125,-55.5355224609,Marker 0,梦,0,0,0,0,0.0
123,00:02.46,10.4609375,-135.140625,-55.5314025879,Marker 0,梦,0,0,0,0,0.0
124,00:02.48,10.515625,-135.140625,-55.5175170898,Marker 0,梦,0,0,0,0,0.0
125,00:02.50,10.59375,-135.15625,-55.4903564453,Marker 0,梦,0,0,0,0,0.0
126,00:02.52,10.65625,-135.09375,-55.4852905273,Marker 0,梦,0,0,0,0,0.0
127,00:02.54,10.6875,-135.078125,-55.4629516602,Marker 0,梦,0,0,0,0,0.0
128,00:02.56,10.6953125,-135.015625,-55.4668884277,Marker 0,梦,0,0,0,0,0.0
129,00:02.58,10.703125,-135.0,-55.4621582031,Marker 0,梦,0,0,0,0,0.0
130,00:02.60,10.7578125,-134.9765625,-55.4654541016,Marker 0,梦,0,0,0,0,0.0
131,00:02.62,10.796875,-134.921875,-55.4762878418,Marker 0,梦,0,0,0,0,0.0
132,00:02.64,10.796875,-134.9296875,-55.4713134766,Marker 0,梦,0,0,0,0,0.0
133,00:02.66,10.765625,-134.9453125,-55.4721679688,Marker 0,梦,0,0,0,0,0.0
134,00:02.68,10.7421875,-134.9609375,-55.4776916504,Marker 0,梦,0,0,0,0,0.0
135,00:02.70,10.7421875,-134.96875,-55.4871826172,Marker 0,梦,0,0,0,0,0.0
136,00:02.72,10.75,-135.015625,-55.4886474609,Marker 0,梦,0,0,0,0,0.0
137,00:02.74,10.765625,-134.9765625,-55.5201721191,Marker 0,梦,0,0,0,0,0.0
138,00:02.76,10.765625,-134.96875,-55.5299682617,Marker 0,梦,0,0,0,0,0.0
139,00:02.78,10.765625,-134.9609375,-55.5350646973,Marker 0,梦,0,0,0,0,0.0
140,00:02.80,10.7421875,-134.953125,-55.5316162109,Marker 0,梦,0,0,0,0,0.0
141,00:02.82,10.6953125,-134.9296875,-55.5182495117,Marker 0,梦,0,0,0,0,0.0
142,00:02.84,10.6328125,-134.90625,-55.5001831055,Marker 0,梦,0,0,0,0,0.0
143,00:02.86,10.5546875,-134.8359375,-55.494354248,Marker 0,梦,0,0,0,0,0.0
144,00:02.88,10.46875,-134.8125,-55.4758300781,Marker 0,梦,0,0,0,0,0.0
145,00:02.90,10.3828125,-134.78125,-55.4702453613,Marker 0,梦,0,0,0,0,0.0
146,00:02.92,10.3359375,-134.734375,-55.4736938477,Marker 0,梦,0,0,0,0,0.0
147,00:02.94,10.28125,-134.671875,-55.4908447266,Marker 0,梦,0,0,0,0,0.0
148,00:02.96,10.25,-134.65625,-55.5000610352,Marker 0,梦,0,0,0,0,0.0
149,00:02.98,10.2421875,-134.6796875,-55.5057067871,Marker 0,梦,0,0,0,0,0.0
150,00:03.0,10.25,-134.7109375,-55.5247802734,Marker 0,梦,0,0,0,0,0.0
151,00:03.2,10.2734375,-134.7109375,-55.5610351562,Marker 0,梦,0,0,0,0,0.0
152,00:03.4,10.3046875,-134.703125,-55.5880737305,Marker 0,梦,0,0,0,0,0.0
153,00:03.6,10.3125,-134.7265625,-55.592376709,Marker 0,梦,0,0,0,0,0.0
154,00:03.8,10.3046875,-134.796875,-55.5481567383,Marker 0,梦,0,0,0,0,0.0
155,00:03.10,10.3203125,-134.859375,-55.4895629883,Marker 0,梦,0,0,0,0,0.0
156,00:03.12,10.3359375,-134.890625,-55.4396057129,Marker 0,梦,0,0,0,0,0.0
157,00:03.14,10.359375,-134.84375,-55.4384765625,Marker 0,梦,0,0,0,0,0.0
158,00:03.16,10.375,-134.828125,-55.4514160156,Marker 0,梦,0,0,0,0,0.0
159,00:03.18,10.390625,-134.8046875,-55.4784545898,Marker 0,梦,0,0,0,0,0.0
160,00:03.20,10.40625,-134.7890625,-55.5059814453,Marker 0,梦,0,0,0,0,0.0
161,00:03.22,10.4296875,-134.8046875,-55.525177002,Marker 0,梦,0,0,0,0,0.0
162,00:03.24,10.46875,-134.8671875,-55.5312805176,Marker 0,梦,0,0,0,0,0.0
163,00:03.26,10.53125,-134.9453125,-55.52734375,Marker 0,梦,0,0,0,0,0.0
164,00:03.28,10.5859375,-135.078125,-55.5015258789,Marker 0,梦,0,0,0,0,0.0
165,00:03.30,10.6484375,-135.1875,-55.4846801758,Marker 0,梦,0,0,0,0,0.0
166,00:03.32,10.71875,-135.2578125,-55.4809265137,Marker 0,梦,0,0,0,0,0.0
167,00:03.34,10.7734375,-135.3125,-55.4846191406,Marker 0,梦,0,0,0,0,0.0
168,00:03.36,10.796875,-135.3515625,-55.4944152832,Marker 0,梦,0,0,0,0,0.0
169,00:03.38,10.8125,-135.375,-55.4948120117,Marker 0,梦,0,0,0,0,0.0
170,00:03.40,10.84375,-135.375,-55.4988708496,Marker 0,梦,0,0,0,0,0.0
171,00:03.42,10.875,-135.3828125,-55.4934997559,Marker 0,梦,0,0,0,0,0.0
172,00:03.44,10.90625,-135.3203125,-55.5010681152,Marker 0,梦,0,0,0,0,0.0
173,00:03.46,10.8984375,-135.2265625,-55.5001525879,Marker 0,梦,0,0,0,0,0.0
174,00:03.48,10.8671875,-135.1640625,-55.4855651855,Marker 0,梦,0,0,0,0,0.0
175,00:03.50,10.796875,-135.09375,-55.4623718262,Marker 0,梦,0,0,0,0,0.0
176,00:03.52,10.7265625,-135.0078125,-55.4476928711,Marker 0,梦,0,0,0,0,0.0
177,00:03.54,10.65625,-134.9140625,-55.4377746582,Marker 0,梦,0,0,0,0,0.0
178,00:03.56,10.6015625,-134.8515625,-55.4318847656,Marker 0,梦,0,0,0,0,0.0
179,00:03.58,10.578125,-134.75,-55.4427185059,Marker 0,梦,0,0,0,0,0.0
180,00:03.60,10.5625,-134.671875,-55.458984375,Marker 0,梦,0,0,0,0,0.0
181,00:03.62,10.5390625,-134.6484375,-55.4589233398,Marker 0,梦,0,0,0,0,0.0
182,00:03.64,10.5,-134.59375,-55.4764099121,Marker 0,梦,0,0,0,0,0.0
183,00:03.66,10.484375,-134.6015625,-55.4721984863,Marker 0,梦,0,0,0,0,0.0
184,00:03.68,10.5,-134.59375,-55.475982666,Marker 0,梦,0,0,0,0,0.0
185,00:03.70,10.5,-134.59375,-55.480682373,Marker 0,梦,0,0,0,0,0.0
186,00:03.72,10.515625,-134.59375,-55.4850158691,Marker 0,梦,0,0,0,0,0.0
187,00:03.74,10.5390625,-134.6171875,-55.4766845703,Marker 0,梦,0,0,0,0,0.0
188,00:03.76,10.546875,-134.625,-55.4811706543,Marker 0,梦,0,0,0,0,0.0
189,00:03.78,10.5546875,-134.6484375,-55.4858398438,Marker 0,梦,0,0,0,0,0.0
190,00:03.80,10.5625,-134.6484375,-55.4905700684,Marker 0,梦,0,0,0,0,0.0
191,00:03.82,10.578125,-134.6640625,-55.4904785156,Marker 0,梦,0,0,0,0,0.0
192,00:03.84,10.5859375,-134.6875,-55.4815979004,Marker 0,梦,0,0,0,0,0.0
193,00:03.86,10.5859375,-134.75,-55.4736328125,Marker 0,梦,0,0,0,0,0.0
194,00:03.88,10.59375,-134.796875,-55.4695739746,Marker 0,梦,0,0,0,0,0.0
195,00:03.90,10.6171875,-134.828125,-55.4699401855,Marker 0,梦,0,0,0,0,0.0
