,time,X,Y,Z,marker,stad,Profit,TP,LP,Sum,TH
0,00:00.0,13.8671875,-103.546875,-67.7481384277,Marker 0,梦,0,0,0,0,0.0
1,00:00.2,13.9375,-103.546875,-67.7977600098,Marker 0,梦,0,0,0,0,0.0
2,00:00.4,14.0234375,-103.625,-67.752166748,Marker 0,梦,0,0,0,0,0.0
3,00:00.6,14.0703125,-103.6953125,-67.6747741699,Marker 0,梦,0,0,0,0,0.0
4,00:00.8,14.0703125,-103.7578125,-67.5829162598,Marker 0,梦,0,0,0,0,0.0
5,00:00.10,14.0703125,-103.7890625,-67.4923095703,Marker 0,梦,0,0,0,0,0.0
6,00:00.12,14.0546875,-103.7265625,-67.4780883789,Marker 0,梦,0,0,0,0,0.0
7,00:00.14,14.0390625,-103.609375,-67.5419921875,Marker 0,梦,0,0,0,0,0.0
8,00:00.16,13.9921875,-103.484375,-67.6416320801,Marker 0,梦,0,0,0,0,0.0
9,00:00.18,13.9296875,-103.4453125,-67.7093200684,Marker 0,梦,0,0,0,0,0.0
10,00:00.20,13.8515625,-103.484375,-67.7277526855,Marker 0,梦,0,0,0,0,0.0
11,00:00.22,13.765625,-103.625,-67.6956481934,Marker 0,梦,0,0,0,0,0.0
12,00:00.24,13.6953125,-103.7734375,-67.6816101074,Marker 0,梦,0,0,0,0,0.0
13,00:00.26,13.640625,-103.9140625,-67.6946716309,Marker 0,梦,0,0,0,0,0.0
14,00:00.28,13.59375,-104.046875,-67.716583252,Marker 0,梦,0,0,0,0,0.0
15,00:00.30,13.578125,-104.125,-67.7293395996,Marker 0,梦,0,0,0,0,0.0
16,00:00.32,13.5859375,-104.1640625,-67.7375183105,Marker 0,梦,0,0,0,0,0.0
17,00:00.34,13.6171875,-104.15625,-67.718963623,Marker 0,梦,0,0,0,0,0.0
18,00:00.36,13.671875,-104.1015625,-67.7235412598,Marker 0,梦,0,0,0,0,0.0
19,00:00.38,13.734375,-104.0234375,-67.7192993164,Marker 0,梦,0,0,0,0,0.0
20,00:00.40,13.796875,-103.9140625,-67.7198486328,Marker 0,梦,0,0,0,0,0.0
21,00:00.42,13.8671875,-103.84375,-67.6755981445,Marker 0,梦,0,0,0,0,0.0
22,00:00.44,13.90625,-103.765625,-67.6443481445,Marker 0,梦,0,0,0,0,0.0
23,00:00.46,13.9375,-103.703125,-67.6225891113,Marker 0,梦,0,0,0,0,0.0
24,00:00.48,13.953125,-103.65625,-67.6144104004,Marker 0,梦,0,0,0,0,0.0
25,00:00.50,13.96875,-103.6171875,-67.6333312988,Marker 0,梦,0,0,0,0,0.0
26,00:00.52,13.96875,-103.6171875,-67.6518249512,Marker 0,梦,0,0,0,0,0.0
27,00:00.54,13.96875,-103.671875,-67.6560974121,Marker 0,梦,0,0,0,0,0.0
28,00:00.56,13.953125,-103.7421875,-67.6694335938,Marker 0,梦,0,0,0,0,0.0
29,00:00.58,13.953125,-103.8515625,-67.6784362793,Marker 0,梦,0,0,0,0,0.0
30,00:00.60,13.921875,-103.9375,-67.7006530762,Marker 0,梦,0,0,0,0,0.0
31,00:00.62,13.8984375,-104.03125,-67.7180480957,Marker 0,梦,0,0,0,0,0.0
32,00:00.64,13.859375,-104.09375,-67.7303466797,Marker 0,梦,0,0,0,0,0.0
33,00:00.66,13.8046875,-104.140625,-67.7429504395,Marker 0,梦,0,0,0,0,0.0
34,00:00.68,13.7421875,-104.1484375,-67.7694396973,Marker 0,梦,0,0,0,0,0.0
35,00:00.70,13.703125,-104.1171875,-67.8150939941,Marker 0,梦,0,0,0,0,0.0
36,00:00.72,13.703125,-104.0625,-67.8701477051,Marker 0,梦,0,0,0,0,0.0
37,00:00.74,13.71875,-104.0078125,-67.8889465332,Marker 0,梦,0,0,0,0,0.0
38,00:00.76,13.75,-104.015625,-67.8306274414,Marker 0,梦,0,0,0,0,0.0
39,00:00.78,13.765625,-103.984375,-67.7451171875,Marker 0,梦,0,0,0,0,0.0
40,00:00.80,13.7734375,-103.90625,-67.6452026367,Marker 0,梦,0,0,0,0,0.0
41,00:00.82,13.796875,-103.78125,-67.5455627441,Marker 0,梦,0,0,0,0,0.0
42,00:00.84,13.8515625,-103.6328125,-67.4501037598,Marker 0,梦,0,0,0,0,0.0
43,00:00.86,13.890625,-103.4140625,-67.4140625,Marker 0,梦,0,0,0,0,0.0
44,00:00.88,13.9375,-103.1640625,-67.4368286133,Marker 0,梦,0,0,0,0,0.0
45,00:00.90,14.0,-102.9921875,-67.4692993164,Marker 0,梦,0,0,0,0,0.0
46,00:00.92,14.078125,-102.9375,-67.502532959,Marker 0,梦,0,0,0,0,0.0
47,00:00.94,14.140625,-102.9921875,-67.532043457,Marker 0,梦,0,0,0,0,0.0
48,00:00.96,14.1953125,-103.140625,-67.5787658691,Marker 0,梦,0,0,0,0,0.0
49,00:00.98,14.21875,-103.3984375,-67.6338500977,Marker 0,梦,0,0,0,0,0.0
50,00:01.0,14.203125,-103.671875,-67.6971130371,Marker 0,梦,0,0,0,0,0.0
51,00:01.2,14.15625,-103.9609375,-67.7556152344,Marker 0,梦,0,0,0,0,0.0
52,00:01.4,14.09375,-104.203125,-67.7857666016,Marker 0,梦,0,0,0,0,0.0
53,00:01.6,14.0234375,-104.40625,-67.7882995605,Marker 0,梦,0,0,0,0,0.0
54,00:01.8,13.921875,-104.4921875,-67.7864990234,Marker 0,梦,0,0,0,0,0.0
55,00:01.10,13.8359375,-104.484375,-67.7938232422,Marker 0,梦,0,0,0,0,0.0
56,00:01.12,13.7421875,-104.3828125,-67.8106079102,Marker 0,梦,0,0,0,0,0.0
57,00:01.14,13.65625,-104.265625,-67.786895752,Marker 0,梦,0,0,0,0,0.0
58,00:01.16,13.59375,-104.125,-67.745300293,Marker 0,梦,0,0,0,0,0.0
59,00:01.18,13.5546875,-104.03125,-67.6726989746,Marker 0,梦,0,0,0,0,0.0
60,00:01.20,13.53125,-103.96875,-67.6003417969,Marker 0,梦,0,0,0,0,0.0
