,time,X,Y,Z,marker,stad,Profit,TP,LP,Sum,TH
0,00:00.0,4.0390625,-107.953125,-75.7966308594,Marker 0,梦,0,0,0,0,0.0
1,00:00.2,4.375,-107.4453125,-75.6957702637,Marker 0,梦,0,0,0,0,0.0
2,00:00.4,4.65625,-106.84375,-75.5914916992,Marker 0,梦,0,0,0,0,0.0
3,00:00.6,4.9140625,-106.1328125,-75.5614929199,Marker 0,梦,0,0,0,0,0.0
4,00:00.8,5.0546875,-105.2578125,-75.741394043,Marker 0,梦,0,0,0,0,0.0
5,00:00.10,4.8671875,-104.1015625,-76.1722106934,Marker 0,梦,0,0,0,0,0.0
6,00:00.12,4.3203125,-102.796875,-76.6664123535,Marker 0,梦,0,0,0,0,0.0
7,00:00.14,3.7109375,-101.640625,-76.924621582,Marker 0,梦,0,0,0,0,0.0
8,00:00.16,3.4375,-100.6796875,-76.8840332031,Marker 0,梦,0,0,0,0,0.0
9,00:00.18,3.671875,-99.7265625,-76.7132263184,Marker 0,梦,0,0,0,0,0.0
10,00:00.20,4.3203125,-98.7421875,-76.4322814941,Marker 0,梦,0,0,0,0,0.0
11,00:00.22,5.0859375,-97.640625,-76.1478881836,Marker 0,梦,0,0,0,0,0.0
12,00:00.24,5.875,-96.375,-75.9988708496,Marker 0,梦,0,0,0,0,0.0
13,00:00.26,6.7265625,-95.0859375,-75.9526367188,Marker 0,梦,0,0,0,0,0.0
14,00:00.28,7.5625,-93.8671875,-75.9311523438,Marker 0,梦,0,0,0,0,0.0
15,00:00.30,8.2734375,-92.703125,-75.9824523926,Marker 0,梦,0,0,0,0,0.0
16,00:00.32,8.765625,-91.578125,-76.1164855957,Marker 0,梦,0,0,0,0,0.0
17,00:00.34,8.9921875,-90.59375,-76.2190246582,Marker 0,梦,0,0,0,0,0.0
18,00:00.36,9.03125,-89.7578125,-76.232421875,Marker 0,梦,0,0,0,0,0.0
19,00:00.38,8.8828125,-89.078125,-76.1320495605,Marker 0,梦,0,0,0,0,0.0
20,00:00.40,8.5703125,-88.5859375,-75.9260864258,Marker 0,梦,0,0,0,0,0.0
21,00:00.42,8.171875,-88.2421875,-75.7227783203,Marker 0,梦,0,0,0,0,0.0
22,00:00.44,7.7265625,-88.0234375,-75.5839233398,Marker 0,梦,0,0,0,0,0.0
23,00:00.46,7.2734375,-87.9296875,-75.5092773438,Marker 0,梦,0,0,0,0,0.0
24,00:00.48,6.8203125,-87.921875,-75.5017089844,Marker 0,梦,0,0,0,0,0.0
25,00:00.50,6.375,-88.0,-75.5459899902,Marker 0,梦,0,0,0,0,0.0
26,00:00.52,5.9765625,-88.203125,-75.6202392578,Marker 0,梦,0,0,0,0,0.0
27,00:00.54,5.640625,-88.5078125,-75.738861084,Marker 0,梦,0,0,0,0,0.0
28,00:00.56,5.34375,-88.8515625,-75.9186401367,Marker 0,梦,0,0,0,0,0.0
29,00:00.58,5.0390625,-89.1796875,-76.113861084,Marker 0,梦,0,0,0,0,0.0
