,time,X,Y,Z,marker,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-6.5546875,-64.515625,-64.3347167969,Marker 0,梦,0,0,0,0,0.0
1,00:00.2,-6.546875,-64.453125,-64.3639831543,Marker 0,梦,0,0,0,0,0.0
2,00:00.4,-6.546875,-64.3984375,-64.3634338379,Marker 0,梦,0,0,0,0,0.0
3,00:00.6,-6.5625,-64.34375,-64.3500061035,Marker 0,梦,0,0,0,0,0.0
4,00:00.8,-6.5703125,-64.2890625,-64.3456420898,Marker 0,梦,0,0,0,0,0.0
5,00:00.10,-6.5546875,-64.21875,-64.3581542969,Marker 0,梦,0,0,0,0,0.0
6,00:00.12,-6.53125,-64.21875,-64.3409729004,Marker 0,梦,0,0,0,0,0.0
7,00:00.14,-6.53125,-64.234375,-64.3197021484,Marker 0,梦,0,0,0,0,0.0
8,00:00.16,-6.546875,-64.265625,-64.3156738281,Marker 0,梦,0,0,0,0,0.0
9,00:00.18,-6.578125,-64.3046875,-64.3374938965,Marker 0,梦,0,0,0,0,0.0
10,00:00.20,-6.5859375,-64.3125,-64.3805541992,Marker 0,梦,0,0,0,0,0.0
11,00:00.22,-6.578125,-64.2890625,-64.4401245117,Marker 0,梦,0,0,0,0,0.0
12,00:00.24,-6.5546875,-64.28125,-64.457244873,Marker 0,梦,0,0,0,0,0.0
13,00:00.26,-6.546875,-64.296875,-64.4233398438,Marker 0,梦,0,0,0,0,0.0
14,00:00.28,-6.5546875,-64.2734375,-64.3592529297,Marker 0,梦,0,0,0,0,0.0
15,00:00.30,-6.5703125,-64.21875,-64.2951049805,Marker 0,梦,0,0,0,0,0.0
16,00:00.32,-6.5859375,-64.125,-64.2688598633,Marker 0,梦,0,0,0,0,0.0
17,00:00.34,-6.5859375,-64.0390625,-64.268371582,Marker 0,梦,0,0,0,0,0.0
18,00:00.36,-6.5625,-64.0,-64.2846374512,Marker 0,梦,0,0,0,0,0.0
19,00:00.38,-6.5234375,-64.0078125,-64.3180847168,Marker 0,梦,0,0,0,0,0.0
20,00:00.40,-6.4921875,-64.0625,-64.3692321777,Marker 0,梦,0,0,0,0,0.0
21,00:00.42,-6.46875,-64.125,-64.4120788574,Marker 0,梦,0,0,0,0,0.0
22,00:00.44,-6.453125,-64.2109375,-64.4339599609,Marker 0,梦,0,0,0,0,0.0
23,00:00.46,-6.40625,-64.296875,-64.4261779785,Marker 0,梦,0,0,0,0,0.0
24,00:00.48,-6.375,-64.375,-64.4057312012,Marker 0,梦,0,0,0,0,0.0
25,00:00.50,-6.359375,-64.4609375,-64.3682556152,Marker 0,梦,0,0,0,0,0.0
26,00:00.52,-6.3515625,-64.515625,-64.3391418457,Marker 0,梦,0,0,0,0,0.0
27,00:00.54,-6.328125,-64.53125,-64.3310852051,Marker 0,梦,0,0,0,0,0.0
28,00:00.56,-6.3125,-64.546875,-64.314239502,Marker 0,梦,0,0,0,0,0.0
29,00:00.58,-6.2734375,-64.5703125,-64.2755737305,Marker 0,梦,0,0,0,0,0.0
30,00:00.60,-6.2578125,-64.6015625,-64.2494812012,Marker 0,梦,0,0,0,0,0.0
31,00:00.62,-6.25,-64.6328125,-64.2746582031,Marker 0,梦,0,0,0,0,0.0
32,00:00.64,-6.2421875,-64.6640625,-64.3252868652,Marker 0,梦,0,0,0,0,0.0
33,00:00.66,-6.2578125,-64.7421875,-64.3678894043,Marker 0,梦,0,0,0,0,0.0
34,00:00.68,-6.3125,-64.8203125,-64.3938903809,Marker 0,梦,0,0,0,0,0.0
35,00:00.70,-6.3984375,-64.8828125,-64.402923584,Marker 0,梦,0,0,0,0,0.0
36,00:00.72,-6.5078125,-64.8984375,-64.4037780762,Marker 0,梦,0,0,0,0,0.0
37,00:00.74,-6.6015625,-64.890625,-64.3915405273,Marker 0,梦,0,0,0,0,0.0
38,00:00.76,-6.6640625,-64.8828125,-64.3708190918,Marker 0,梦,0,0,0,0,0.0
39,00:00.78,-6.71875,-64.875,-64.3452453613,Marker 0,梦,0,0,0,0,0.0
40,00:00.80,-6.765625,-64.875,-64.3199157715,Marker 0,梦,0,0,0,0,0.0
41,00:00.82,-6.796875,-64.84375,-64.3069152832,Marker 0,梦,0,0,0,0,0.0
42,00:00.84,-6.8125,-64.796875,-64.3193359375,Marker 0,梦,0,0,0,0,0.0
43,00:00.86,-6.7890625,-64.7265625,-64.3442382812,Marker 0,梦,0,0,0,0,0.0
44,00:00.88,-6.7578125,-64.6328125,-64.3645629883,Marker 0,梦,0,0,0,0,0.0
45,00:00.90,-6.7265625,-64.546875,-64.3724365234,Marker 0,梦,0,0,0,0,0.0
46,00:00.92,-6.7421875,-64.453125,-64.3761291504,Marker 0,梦,0,0,0,0,0.0
47,00:00.94,-6.7578125,-64.3984375,-64.3545227051,Marker 0,梦,0,0,0,0,0.0
48,00:00.96,-6.765625,-64.34375,-64.3329467773,Marker 0,梦,0,0,0,0,0.0
49,00:00.98,-6.7578125,-64.3046875,-64.3153381348,Marker 0,梦,0,0,0,0,0.0
50,00:01.0,-6.75,-64.2734375,-64.3110961914,Marker 0,梦,0,0,0,0,0.0
51,00:01.2,-6.734375,-64.2421875,-64.3241271973,Marker 0,梦,0,0,0,0,0.0
52,00:01.4,-6.71875,-64.2109375,-64.3712768555,Marker 0,梦,0,0,0,0,0.0
53,00:01.6,-6.7109375,-64.1953125,-64.418182373,Marker 0,梦,0,0,0,0,0.0
54,00:01.8,-6.671875,-64.203125,-64.4223327637,Marker 0,梦,0,0,0,0,0.0
55,00:01.10,-6.6328125,-64.21875,-64.379486084,Marker 0,梦,0,0,0,0,0.0
56,00:01.12,-6.625,-64.1875,-64.3239440918,Marker 0,梦,0,0,0,0,0.0
57,00:01.14,-6.625,-64.09375,-64.2980651855,Marker 0,梦,0,0,0,0,0.0
58,00:01.16,-6.640625,-64.0078125,-64.2978820801,Marker 0,梦,0,0,0,0,0.0
59,00:01.18,-6.625,-63.9921875,-64.3019714355,Marker 0,梦,0,0,0,0,0.0
60,00:01.20,-6.59375,-64.0234375,-64.309967041,Marker 0,梦,0,0,0,0,0.0
61,00:01.22,-6.546875,-64.0703125,-64.3267211914,Marker 0,梦,0,0,0,0,0.0
62,00:01.24,-6.515625,-64.09375,-64.3693237305,Marker 0,梦,0,0,0,0,0.0
63,00:01.26,-6.484375,-64.109375,-64.424987793,Marker 0,梦,0,0,0,0,0.0
64,00:01.28,-6.421875,-64.1640625,-64.446685791,Marker 0,梦,0,0,0,0,0.0
