,time,X,Y,Z,marker,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-11.6875,-114.3828125,-49.8137207031,Marker 0,梦,0,0,0,0,0.0
1,00:00.2,-11.671875,-114.453125,-49.779510498,Marker 0,梦,0,0,0,0,0.0
2,00:00.4,-11.6484375,-114.5078125,-49.7421264648,Marker 0,梦,0,0,0,0,0.0
3,00:00.6,-11.640625,-114.546875,-49.7084655762,Marker 0,梦,0,0,0,0,0.0
4,00:00.8,-11.6640625,-114.5,-49.709564209,Marker 0,梦,0,0,0,0,0.0
5,00:00.10,-11.6796875,-114.4609375,-49.706451416,Marker 0,梦,0,0,0,0,0.0
6,00:00.12,-11.703125,-114.4921875,-49.6880493164,Marker 0,梦,0,0,0,0,0.0
7,00:00.14,-11.7421875,-114.59375,-49.6611022949,Marker 0,梦,0,0,0,0,0.0
8,00:00.16,-11.75,-114.6875,-49.66015625,Marker 0,梦,0,0,0,0,0.0
9,00:00.18,-11.71875,-114.703125,-49.7077331543,Marker 0,梦,0,0,0,0,0.0
10,00:00.20,-11.7109375,-114.703125,-49.7672119141,Marker 0,梦,0,0,0,0,0.0
11,00:00.22,-11.71875,-114.71875,-49.8076477051,Marker 0,梦,0,0,0,0,0.0
12,00:00.24,-11.7734375,-114.7109375,-49.8297119141,Marker 0,梦,0,0,0,0,0.0
13,00:00.26,-11.8359375,-114.6875,-49.8332824707,Marker 0,梦,0,0,0,0,0.0
14,00:00.28,-11.8828125,-114.703125,-49.7955627441,Marker 0,梦,0,0,0,0,0.0
15,00:00.30,-11.921875,-114.65625,-49.7630615234,Marker 0,梦,0,0,0,0,0.0
16,00:00.32,-11.96875,-114.6015625,-49.7369995117,Marker 0,梦,0,0,0,0,0.0
17,00:00.34,-12.0,-114.5078125,-49.7230834961,Marker 0,梦,0,0,0,0,0.0
18,00:00.36,-12.015625,-114.40625,-49.7236328125,Marker 0,梦,0,0,0,0,0.0
19,00:00.38,-12.015625,-114.296875,-49.7276916504,Marker 0,梦,0,0,0,0,0.0
20,00:00.40,-12.015625,-114.2109375,-49.7286376953,Marker 0,梦,0,0,0,0,0.0
21,00:00.42,-11.9921875,-114.1171875,-49.740447998,Marker 0,梦,0,0,0,0,0.0
22,00:00.44,-11.984375,-114.078125,-49.7292785645,Marker 0,梦,0,0,0,0,0.0
23,00:00.46,-11.984375,-114.0546875,-49.7222900391,Marker 0,梦,0,0,0,0,0.0
24,00:00.48,-11.984375,-114.0234375,-49.7225341797,Marker 0,梦,0,0,0,0,0.0
25,00:00.50,-11.984375,-114.0078125,-49.7342529297,Marker 0,梦,0,0,0,0,0.0
26,00:00.52,-11.984375,-114.0,-49.7524719238,Marker 0,梦,0,0,0,0,0.0
27,00:00.54,-11.984375,-114.0234375,-49.7562255859,Marker 0,梦,0,0,0,0,0.0
