,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,51.5546875,0.0234375,-38.3053894043,Extract per1 start,4,0,120,0,0.0
1,00:00.2,51.4453125,-0.0390625,-38.293182373,Extract per1 start,4,0,120,0,0.0
2,00:00.4,51.34375,-0.046875,-38.2881774902,Extract per1 start,4,0,120,0,0.0
3,00:00.6,51.265625,-0.046875,-38.2953796387,Extract per1 start,4,0,120,0,0.0
4,00:00.8,51.2109375,-0.0546875,-38.2984619141,Extract per1 start,4,0,120,0,0.0
5,00:00.10,51.203125,-0.1015625,-38.305267334,Extract per1 start,4,0,120,0,0.0
6,00:00.12,51.2578125,-0.203125,-38.30859375,Extract per1 start,4,0,120,0,0.0
7,00:00.14,51.3125,-0.3359375,-38.304107666,Extract per1 start,4,0,120,0,0.0
8,00:00.16,51.390625,-0.4765625,-38.2882995605,Extract per1 start,4,0,120,0,0.0
9,00:00.18,51.4609375,-0.53125,-38.299987793,Extract per1 start,4,0,120,0,0.0
10,00:00.20,51.5390625,-0.53125,-38.3008422852,Extract per1 start,4,0,120,0,0.0
11,00:00.22,51.578125,-0.5,-38.2858886719,Extract per1 start,4,0,120,0,0.0
12,00:00.24,51.5390625,-0.4765625,-38.2739868164,Extract per1 start,4,0,120,0,0.0
13,00:00.26,51.5234375,-0.46875,-38.2578125,Extract per1 start,4,0,120,0,0.0
14,00:00.28,51.453125,-0.4765625,-38.245513916,Extract per1 start,4,0,120,0,0.0
15,00:00.30,51.375,-0.5546875,-38.256072998,Extract per1 start,4,0,120,0,0.0
16,00:00.32,51.2265625,-0.6875,-38.292388916,Extract per1 start,4,0,120,0,0.0
17,00:00.34,51.1484375,-0.8515625,-38.3104553223,Extract per1 start,4,0,120,0,0.0
18,00:00.36,51.109375,-0.9765625,-38.3018493652,Extract per1 start,4,0,120,0,0.0
19,00:00.38,51.140625,-1.03125,-38.2721252441,Extract per1 start,4,0,120,0,0.0
20,00:00.40,51.1171875,-1.1015625,-38.2791442871,Extract per1 start,4,0,120,0,0.0
21,00:00.42,51.1328125,-1.1328125,-38.2789306641,Extract per1 start,4,0,120,0,0.0
22,00:00.44,51.3359375,-1.1015625,-38.2799682617,Extract per1 start,4,0,120,0,0.0
23,00:00.46,51.703125,-0.96875,-38.2639465332,Extract per1 start,4,0,120,0,0.0
24,00:00.48,52.1015625,-0.7734375,-38.2399597168,Extract per1 start,4,0,120,0,0.0
25,00:00.50,52.359375,-0.578125,-38.2155456543,Extract per1 start,4,0,120,0,0.0
26,00:00.52,52.53125,-0.3984375,-38.1945800781,Extract per1 start,4,0,120,0,0.0
27,00:00.54,52.734375,-0.296875,-38.2077331543,Extract per1 start,4,0,120,0,0.0
28,00:00.56,53.09375,-0.25,-38.1912231445,Extract per1 start,4,0,120,0,0.0
29,00:00.58,53.421875,-0.2421875,-38.1703186035,Extract per1 start,4,0,120,0,0.0
30,00:00.60,53.5625,-0.203125,-38.1604614258,Extract per1 start,4,0,120,0,0.0
31,00:00.62,53.5390625,-0.1484375,-38.1648864746,Extract per1 start,4,0,120,0,0.0
32,00:00.64,53.4765625,-0.1328125,-38.1874694824,Extract per1 start,4,0,120,0,0.0
33,00:00.66,53.53125,-0.15625,-38.1953735352,Extract per1 start,4,0,120,0,0.0
