,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,2.671875,-36.71875,-50.3270874023,Extract per1 start,4,0,120,0,0.0
1,00:00.2,2.5859375,-36.8203125,-50.3818969727,Extract per1 start,4,0,120,0,0.0
2,00:00.4,2.484375,-36.890625,-50.397277832,Extract per1 start,4,0,120,0,0.0
3,00:00.6,2.390625,-36.9296875,-50.3995666504,Extract per1 start,4,0,120,0,0.0
4,00:00.8,2.2734375,-36.9765625,-50.4210205078,Extract per1 start,4,0,120,0,0.0
5,00:00.10,2.140625,-36.9765625,-50.4543151855,Extract per1 start,4,0,120,0,0.0
6,00:00.12,2.015625,-36.9609375,-50.4280090332,Extract per1 start,4,0,120,0,0.0
7,00:00.14,1.90625,-36.921875,-50.4179992676,Extract per1 start,4,0,120,0,0.0
8,00:00.16,1.8203125,-36.8828125,-50.4410400391,Extract per1 start,4,0,120,0,0.0
9,00:00.18,1.765625,-36.859375,-50.4566040039,Extract per1 start,4,0,120,0,0.0
10,00:00.20,1.75,-36.828125,-50.4298706055,Extract per1 start,4,0,120,0,0.0
11,00:00.22,1.7734375,-36.796875,-50.3857727051,Extract per1 start,4,0,120,0,0.0
12,00:00.24,1.8125,-36.796875,-50.3519897461,Extract per1 start,4,0,120,0,0.0
13,00:00.26,1.84375,-36.796875,-50.3565063477,Extract per1 start,4,0,120,0,0.0
14,00:00.28,1.890625,-36.7890625,-50.3682250977,Extract per1 start,4,0,120,0,0.0
15,00:00.30,1.9296875,-36.7734375,-50.4017944336,Extract per1 start,4,0,120,0,0.0
16,00:00.32,1.9453125,-36.765625,-50.4194335938,Extract per1 start,4,0,120,0,0.0
17,00:00.34,1.9296875,-36.734375,-50.3972167969,Extract per1 start,4,0,120,0,0.0
18,00:00.36,1.890625,-36.7265625,-50.3458557129,Extract per1 start,4,0,120,0,0.0
19,00:00.38,1.8671875,-36.796875,-50.4080200195,Extract per1 start,4,0,120,0,0.0
20,00:00.40,1.8828125,-36.9296875,-50.5561218262,Extract per1 start,4,0,120,0,0.0
21,00:00.42,1.8671875,-37.03125,-50.5921020508,Extract per1 start,4,0,120,0,0.0
22,00:00.44,1.796875,-37.1328125,-50.5055236816,Extract per1 start,4,0,120,0,0.0
23,00:00.46,1.6875,-37.265625,-50.419342041,Extract per1 start,4,0,120,0,0.0
24,00:00.48,1.625,-37.3203125,-50.4006958008,Extract per1 start,4,0,120,0,0.0
25,00:00.50,1.6015625,-37.296875,-50.4085693359,Extract per1 start,4,0,120,0,0.0
