,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,1.8515625,-143.8046875,-56.8663330078,Extract per1 start,4,0,120,0,0.0
1,00:00.2,2.0859375,-143.3203125,-56.902923584,Extract per1 start,4,0,120,0,0.0
2,00:00.4,2.3515625,-142.59375,-57.0043640137,Extract per1 start,4,0,120,0,0.0
3,00:00.6,2.609375,-141.7734375,-57.1025390625,Extract per1 start,4,0,120,0,0.0
4,00:00.8,2.8359375,-141.171875,-57.0578613281,Extract per1 start,4,0,120,0,0.0
5,00:00.10,3.03125,-140.65625,-56.9365539551,Extract per1 start,4,0,120,0,0.0
6,00:00.12,3.2421875,-140.2109375,-56.8175964355,Extract per1 start,4,0,120,0,0.0
7,00:00.14,3.453125,-140.0078125,-56.6918334961,Extract per1 start,4,0,120,0,0.0
8,00:00.16,3.6484375,-140.0625,-56.5812683105,Extract per1 start,4,0,120,0,0.0
9,00:00.18,3.8203125,-140.3359375,-56.5843811035,Extract per1 start,4,0,120,0,0.0
10,00:00.20,3.890625,-140.625,-56.7857971191,Extract per1 start,4,0,120,0,0.0
11,00:00.22,3.8984375,-140.8984375,-57.1293334961,Extract per1 start,4,0,120,0,0.0
12,00:00.24,3.90625,-141.3984375,-57.4024353027,Extract per1 start,4,0,120,0,0.0
13,00:00.26,3.9296875,-142.109375,-57.5387878418,Extract per1 start,4,0,120,0,0.0
14,00:00.28,4.0078125,-142.9296875,-57.5409851074,Extract per1 start,4,0,120,0,0.0
15,00:00.30,4.125,-143.546875,-57.5178222656,Extract per1 start,4,0,120,0,0.0
16,00:00.32,4.28125,-143.953125,-57.4541015625,Extract per1 start,4,0,120,0,0.0
17,00:00.34,4.453125,-144.140625,-57.3596496582,Extract per1 start,4,0,120,0,0.0
18,00:00.36,4.6015625,-144.078125,-57.2483215332,Extract per1 start,4,0,120,0,0.0
19,00:00.38,4.7734375,-143.71875,-57.1227111816,Extract per1 start,4,0,120,0,0.0
20,00:00.40,4.9296875,-143.1484375,-56.9634094238,Extract per1 start,4,0,120,0,0.0
21,00:00.42,5.0703125,-142.40625,-56.8085327148,Extract per1 start,4,0,120,0,0.0
22,00:00.44,5.1015625,-141.765625,-56.6034240723,Extract per1 start,4,0,120,0,0.0
23,00:00.46,5.0078125,-141.2578125,-56.4050292969,Extract per1 start,4,0,120,0,0.0
24,00:00.48,4.8359375,-140.9453125,-56.2283325195,Extract per1 start,4,0,120,0,0.0
25,00:00.50,4.6953125,-140.9453125,-56.0946044922,Extract per1 start,4,0,120,0,0.0
26,00:00.52,4.5859375,-141.15625,-56.0353393555,Extract per1 start,4,0,120,0,0.0
27,00:00.54,4.5078125,-141.59375,-56.0635375977,Extract per1 start,4,0,120,0,0.0
28,00:00.56,4.4453125,-142.265625,-56.1477050781,Extract per1 start,4,0,120,0,0.0
29,00:00.58,4.3359375,-143.1875,-56.2314758301,Extract per1 start,4,0,120,0,0.0
30,00:00.60,4.1796875,-144.21875,-56.3093566895,Extract per1 start,4,0,120,0,0.0
31,00:00.62,4.0546875,-145.1796875,-56.4534301758,Extract per1 start,4,0,120,0,0.0
32,00:00.64,4.0078125,-145.8984375,-56.6863098145,Extract per1 start,4,0,120,0,0.0
33,00:00.66,4.015625,-146.6484375,-56.8208312988,Extract per1 start,4,0,120,0,0.0
34,00:00.68,3.9609375,-147.4453125,-56.7879333496,Extract per1 start,4,0,120,0,0.0
35,00:00.70,3.796875,-147.9765625,-56.6765441895,Extract per1 start,4,0,120,0,0.0
36,00:00.72,3.5703125,-148.328125,-56.4970703125,Extract per1 start,4,0,120,0,0.0
37,00:00.74,3.3046875,-148.5,-56.2872009277,Extract per1 start,4,0,120,0,0.0
38,00:00.76,3.0078125,-148.390625,-56.1325378418,Extract per1 start,4,0,120,0,0.0
39,00:00.78,2.7109375,-148.0078125,-56.0844726562,Extract per1 start,4,0,120,0,0.0
40,00:00.80,2.4765625,-147.46875,-56.1129760742,Extract per1 start,4,0,120,0,0.0
41,00:00.82,2.3203125,-147.0859375,-56.1308898926,Extract per1 start,4,0,120,0,0.0
42,00:00.84,2.125,-146.8828125,-56.161529541,Extract per1 start,4,0,120,0,0.0
43,00:00.86,1.8828125,-146.59375,-56.2580566406,Extract per1 start,4,0,120,0,0.0
44,00:00.88,1.609375,-146.3125,-56.346862793,Extract per1 start,4,0,120,0,0.0
45,00:00.90,1.375,-146.09375,-56.3695373535,Extract per1 start,4,0,120,0,0.0
46,00:00.92,1.1953125,-146.0234375,-56.2989807129,Extract per1 start,4,0,120,0,0.0
47,00:00.94,1.0625,-146.15625,-56.158203125,Extract per1 start,4,0,120,0,0.0
48,00:00.96,0.96875,-146.2578125,-56.0497131348,Extract per1 start,4,0,120,0,0.0
49,00:00.98,0.9375,-146.2265625,-56.0184936523,Extract per1 start,4,0,120,0,0.0
50,00:01.0,0.9296875,-146.1171875,-56.0413818359,Extract per1 start,4,0,120,0,0.0
51,00:01.2,1.0,-145.96875,-56.1085205078,Extract per1 start,4,0,120,0,0.0
52,00:01.4,1.1484375,-145.8203125,-56.2095336914,Extract per1 start,4,0,120,0,0.0
53,00:01.6,1.2890625,-145.7890625,-56.2882995605,Extract per1 start,4,0,120,0,0.0
54,00:01.8,1.390625,-145.9140625,-56.3052368164,Extract per1 start,4,0,120,0,0.0
55,00:01.10,1.4765625,-146.078125,-56.2874755859,Extract per1 start,4,0,120,0,0.0
56,00:01.12,1.5859375,-146.2109375,-56.2749938965,Extract per1 start,4,0,120,0,0.0
57,00:01.14,1.7109375,-146.3203125,-56.2591247559,Extract per1 start,4,0,120,0,0.0
58,00:01.16,1.7734375,-146.4921875,-56.2165222168,Extract per1 start,4,0,120,0,0.0
59,00:01.18,1.7578125,-146.6484375,-56.168548584,Extract per1 start,4,0,120,0,0.0
60,00:01.20,1.7109375,-146.6640625,-56.2047119141,Extract per1 start,4,0,120,0,0.0
61,00:01.22,1.6796875,-146.375,-56.3584594727,Extract per1 start,4,0,120,0,0.0
62,00:01.24,1.6953125,-146.1640625,-56.4428100586,Extract per1 start,4,0,120,0,0.0
63,00:01.26,1.6640625,-146.171875,-56.3803710938,Extract per1 start,4,0,120,0,0.0
64,00:01.28,1.59375,-146.203125,-56.2634887695,Extract per1 start,4,0,120,0,0.0
65,00:01.30,1.4921875,-146.2578125,-56.130645752,Extract per1 start,4,0,120,0,0.0
66,00:01.32,1.3671875,-146.296875,-56.0202636719,Extract per1 start,4,0,120,0,0.0
67,00:01.34,1.265625,-146.328125,-55.9510803223,Extract per1 start,4,0,120,0,0.0
68,00:01.36,1.2109375,-146.28125,-55.9583435059,Extract per1 start,4,0,120,0,0.0
69,00:01.38,1.2421875,-146.1328125,-56.0470275879,Extract per1 start,4,0,120,0,0.0
70,00:01.40,1.3828125,-145.9765625,-56.1767883301,Extract per1 start,4,0,120,0,0.0
