,time,X,Y,Z,marker,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-6.59375,-57.1015625,44.4672851562,Marker 0,梦,0,0,0,0,0.0
1,00:00.2,-6.5625,-57.0703125,44.4293212891,Marker 0,梦,0,0,0,0,0.0
2,00:00.4,-6.609375,-56.953125,44.4254455566,Marker 0,梦,0,0,0,0,0.0
3,00:00.6,-6.6953125,-56.7890625,44.4394836426,Marker 0,梦,0,0,0,0,0.0
4,00:00.8,-6.8125,-56.6171875,44.4481201172,Marker 0,梦,0,0,0,0,0.0
5,00:00.10,-6.9453125,-56.390625,44.4655456543,Marker 0,梦,0,0,0,0,0.0
6,00:00.12,-7.0859375,-56.203125,44.4508361816,Marker 0,梦,0,0,0,0,0.0
7,00:00.14,-7.1796875,-56.0,44.4460449219,Marker 0,梦,0,0,0,0,0.0
8,00:00.16,-7.2265625,-55.796875,44.4496765137,Marker 0,梦,0,0,0,0,0.0
9,00:00.18,-7.234375,-55.59375,44.48046875,Marker 0,梦,0,0,0,0,0.0
10,00:00.20,-7.234375,-55.4375,44.5293884277,Marker 0,梦,0,0,0,0,0.0
11,00:00.22,-7.2265625,-55.3046875,44.5609436035,Marker 0,梦,0,0,0,0,0.0
12,00:00.24,-7.3046875,-55.28125,44.5513916016,Marker 0,梦,0,0,0,0,0.0
13,00:00.26,-7.3828125,-55.2578125,44.5333557129,Marker 0,梦,0,0,0,0,0.0
14,00:00.28,-7.5078125,-55.1875,44.516418457,Marker 0,梦,0,0,0,0,0.0
15,00:00.30,-7.6015625,-55.0625,44.511932373,Marker 0,梦,0,0,0,0,0.0
16,00:00.32,-7.625,-54.90625,44.5527954102,Marker 0,梦,0,0,0,0,0.0
17,00:00.34,-7.5625,-54.75,44.6523742676,Marker 0,梦,0,0,0,0,0.0
18,00:00.36,-7.4609375,-54.671875,44.7342529297,Marker 0,梦,0,0,0,0,0.0
19,00:00.38,-7.34375,-54.6015625,44.8076171875,Marker 0,梦,0,0,0,0,0.0
20,00:00.40,-7.21875,-54.546875,44.9032592773,Marker 0,梦,0,0,0,0,0.0
21,00:00.42,-7.0234375,-54.3671875,45.0480041504,Marker 0,梦,0,0,0,0,0.0
22,00:00.44,-6.671875,-54.0625,45.2321777344,Marker 0,梦,0,0,0,0,0.0
23,00:00.46,-6.1796875,-53.578125,45.4475402832,Marker 0,梦,0,0,0,0,0.0
24,00:00.48,-5.6015625,-52.890625,45.7012939453,Marker 0,梦,0,0,0,0,0.0
25,00:00.50,-5.0234375,-51.9375,45.9526977539,Marker 0,梦,0,0,0,0,0.0
26,00:00.52,-4.4140625,-50.734375,46.1937866211,Marker 0,梦,0,0,0,0,0.0
27,00:00.54,-3.765625,-49.3203125,46.4084777832,Marker 0,梦,0,0,0,0,0.0
28,00:00.56,-3.0703125,-47.7421875,46.6138305664,Marker 0,梦,0,0,0,0,0.0
29,00:00.58,-2.328125,-46.1484375,46.8225708008,Marker 0,梦,0,0,0,0,0.0
30,00:00.60,-1.625,-44.7734375,47.0146789551,Marker 0,梦,0,0,0,0,0.0
31,00:00.62,-1.046875,-43.8125,47.1432189941,Marker 0,梦,0,0,0,0,0.0
32,00:00.64,-0.6484375,-43.3046875,47.2322998047,Marker 0,梦,0,0,0,0,0.0
33,00:00.66,-0.3828125,-43.140625,47.3523864746,Marker 0,梦,0,0,0,0,0.0
34,00:00.68,-0.1875,-43.21875,47.5271911621,Marker 0,梦,0,0,0,0,0.0
35,00:00.70,-0.0703125,-43.46875,47.6620788574,Marker 0,梦,0,0,0,0,0.0
36,00:00.72,-0.0625,-43.5546875,47.8217163086,Marker 0,梦,0,0,0,0,0.0
37,00:00.74,-0.0390625,-43.09375,48.0928649902,Marker 0,梦,0,0,0,0,0.0
38,00:00.76,0.09375,-41.8359375,48.5508422852,Marker 0,梦,0,0,0,0,0.0
39,00:00.78,0.359375,-39.765625,49.1748046875,Marker 0,梦,0,0,0,0,0.0
40,00:00.80,0.53125,-36.9765625,49.8084716797,Marker 0,梦,0,0,0,0,0.0
41,00:00.82,0.4375,-33.7890625,50.3192443848,Marker 0,梦,0,0,0,0,0.0
42,00:00.84,0.1953125,-30.59375,50.5921325684,Marker 0,梦,0,0,0,0,0.0
43,00:00.86,0.1328125,-27.75,50.6047973633,Marker 0,梦,0,0,0,0,0.0
44,00:00.88,0.46875,-25.5234375,50.3923950195,Marker 0,梦,0,0,0,0,0.0
45,00:00.90,1.2421875,-23.9296875,49.9532775879,Marker 0,梦,0,0,0,0,0.0
46,00:00.92,2.2890625,-22.8046875,49.4990539551,Marker 0,梦,0,0,0,0,0.0
47,00:00.94,3.4609375,-22.0546875,49.2402954102,Marker 0,梦,0,0,0,0,0.0
48,00:00.96,4.6171875,-21.6953125,49.2639465332,Marker 0,梦,0,0,0,0,0.0
49,00:00.98,5.6328125,-21.796875,49.5487670898,Marker 0,梦,0,0,0,0,0.0
50,00:01.0,6.484375,-22.3046875,49.9147949219,Marker 0,梦,0,0,0,0,0.0
51,00:01.2,7.0234375,-22.96875,50.1557312012,Marker 0,梦,0,0,0,0,0.0
52,00:01.4,7.125,-23.4765625,50.3029785156,Marker 0,梦,0,0,0,0,0.0
53,00:01.6,6.78125,-23.78125,50.4545898438,Marker 0,梦,0,0,0,0,0.0
54,00:01.8,6.1328125,-24.078125,50.5845947266,Marker 0,梦,0,0,0,0,0.0
55,00:01.10,5.3515625,-24.5859375,50.5467834473,Marker 0,梦,0,0,0,0,0.0
56,00:01.12,4.546875,-25.1328125,50.3763427734,Marker 0,梦,0,0,0,0,0.0
57,00:01.14,3.8984375,-25.5078125,50.1842956543,Marker 0,梦,0,0,0,0,0.0
58,00:01.16,3.5234375,-25.5859375,49.9628601074,Marker 0,梦,0,0,0,0,0.0
59,00:01.18,3.3671875,-25.4453125,49.7376403809,Marker 0,梦,0,0,0,0,0.0
60,00:01.20,3.2265625,-25.09375,49.6899108887,Marker 0,梦,0,0,0,0,0.0
61,00:01.22,3.0703125,-24.6640625,49.924041748,Marker 0,梦,0,0,0,0,0.0
62,00:01.24,2.9296875,-24.40625,50.2333374023,Marker 0,梦,0,0,0,0,0.0
63,00:01.26,2.640625,-24.3125,50.425567627,Marker 0,梦,0,0,0,0,0.0
64,00:01.28,2.1953125,-24.2734375,50.5015563965,Marker 0,梦,0,0,0,0,0.0
65,00:01.30,1.734375,-24.0,50.5841064453,Marker 0,梦,0,0,0,0,0.0
66,00:01.32,1.5390625,-23.5703125,50.7011108398,Marker 0,梦,0,0,0,0,0.0
67,00:01.34,1.6796875,-23.109375,50.747253418,Marker 0,梦,0,0,0,0,0.0
68,00:01.36,1.90625,-22.6015625,50.7474060059,Marker 0,梦,0,0,0,0,0.0
69,00:01.38,1.96875,-22.0,50.7162475586,Marker 0,梦,0,0,0,0,0.0
70,00:01.40,1.6640625,-21.203125,50.6776733398,Marker 0,梦,0,0,0,0,0.0
71,00:01.42,1.1015625,-20.2421875,50.7201538086,Marker 0,梦,0,0,0,0,0.0
72,00:01.44,0.5546875,-19.0546875,50.963104248,Marker 0,梦,0,0,0,0,0.0
73,00:01.46,0.2890625,-17.8203125,51.2641601562,Marker 0,梦,0,0,0,0,0.0
74,00:01.48,0.390625,-16.890625,51.1889648438,Marker 0,梦,0,0,0,0,0.0
75,00:01.50,0.671875,-16.4453125,50.6143798828,Marker 0,梦,0,0,0,0,0.0
76,00:01.52,1.0078125,-16.4609375,49.9953918457,Marker 0,梦,0,0,0,0,0.0
77,00:01.54,1.484375,-16.9140625,49.6666259766,Marker 0,梦,0,0,0,0,0.0
78,00:01.56,2.296875,-17.765625,49.6711120605,Marker 0,梦,0,0,0,0,0.0
79,00:01.58,3.4296875,-18.9765625,49.866607666,Marker 0,梦,0,0,0,0,0.0
80,00:01.60,4.71875,-20.40625,50.0595092773,Marker 0,梦,0,0,0,0,0.0
81,00:01.62,5.8359375,-21.875,50.1585693359,Marker 0,梦,0,0,0,0,0.0
82,00:01.64,6.40625,-23.1484375,50.1407470703,Marker 0,梦,0,0,0,0,0.0
83,00:01.66,6.265625,-23.96875,50.0623779297,Marker 0,梦,0,0,0,0,0.0
84,00:01.68,5.546875,-24.3828125,49.9638977051,Marker 0,梦,0,0,0,0,0.0
85,00:01.70,4.5,-24.46875,49.8702392578,Marker 0,梦,0,0,0,0,0.0
86,00:01.72,3.3359375,-24.3671875,49.8226318359,Marker 0,梦,0,0,0,0,0.0
87,00:01.74,2.296875,-24.25,49.7593688965,Marker 0,梦,0,0,0,0,0.0
88,00:01.76,1.46875,-24.1328125,49.6258850098,Marker 0,梦,0,0,0,0,0.0
89,00:01.78,0.765625,-24.078125,49.4508666992,Marker 0,梦,0,0,0,0,0.0
90,00:01.80,0.1953125,-24.1171875,49.2532348633,Marker 0,梦,0,0,0,0,0.0
91,00:01.82,-0.265625,-24.2734375,49.0368347168,Marker 0,梦,0,0,0,0,0.0
92,00:01.84,-0.6171875,-24.640625,48.781036377,Marker 0,梦,0,0,0,0,0.0
93,00:01.86,-0.96875,-25.234375,48.5075683594,Marker 0,梦,0,0,0,0,0.0
94,00:01.88,-1.2734375,-26.0,48.3734741211,Marker 0,梦,0,0,0,0,0.0
95,00:01.90,-1.5078125,-26.9375,48.4039916992,Marker 0,梦,0,0,0,0,0.0
96,00:01.92,-1.6484375,-27.9296875,48.5221557617,Marker 0,梦,0,0,0,0,0.0
97,00:01.94,-1.6796875,-28.859375,48.7319641113,Marker 0,梦,0,0,0,0,0.0
98,00:01.96,-1.65625,-29.9375,48.8864746094,Marker 0,梦,0,0,0,0,0.0
99,00:01.98,-1.7109375,-31.3671875,48.7524108887,Marker 0,梦,0,0,0,0,0.0
100,00:02.0,-1.875,-33.140625,48.4164733887,Marker 0,梦,0,0,0,0,0.0
101,00:02.2,-2.078125,-34.9609375,48.120513916,Marker 0,梦,0,0,0,0,0.0
102,00:02.4,-2.2109375,-36.59375,47.9907226562,Marker 0,梦,0,0,0,0,0.0
103,00:02.6,-2.359375,-38.0390625,47.979095459,Marker 0,梦,0,0,0,0,0.0
104,00:02.8,-2.6796875,-39.421875,47.8872680664,Marker 0,梦,0,0,0,0,0.0
105,00:02.10,-3.3046875,-40.5546875,47.5975341797,Marker 0,梦,0,0,0,0,0.0
106,00:02.12,-4.125,-41.203125,47.2358093262,Marker 0,梦,0,0,0,0,0.0
107,00:02.14,-4.7890625,-41.28125,46.9739074707,Marker 0,梦,0,0,0,0,0.0
108,00:02.16,-4.9765625,-40.9375,46.8214416504,Marker 0,梦,0,0,0,0,0.0
109,00:02.18,-4.640625,-40.4921875,46.7252197266,Marker 0,梦,0,0,0,0,0.0
110,00:02.20,-4.015625,-40.2109375,46.5914611816,Marker 0,梦,0,0,0,0,0.0
111,00:02.22,-3.4609375,-40.109375,46.4772949219,Marker 0,梦,0,0,0,0,0.0
112,00:02.24,-3.015625,-40.2734375,46.4998168945,Marker 0,梦,0,0,0,0,0.0
113,00:02.26,-2.6015625,-40.6796875,46.6473083496,Marker 0,梦,0,0,0,0,0.0
114,00:02.28,-2.1953125,-41.40625,46.8063659668,Marker 0,梦,0,0,0,0,0.0
115,00:02.30,-1.84375,-42.34375,46.9285888672,Marker 0,梦,0,0,0,0,0.0
116,00:02.32,-1.65625,-43.3984375,47.0268859863,Marker 0,梦,0,0,0,0,0.0
117,00:02.34,-1.6796875,-44.3984375,47.1125793457,Marker 0,梦,0,0,0,0,0.0
118,00:02.36,-1.8828125,-45.28125,47.1528930664,Marker 0,梦,0,0,0,0,0.0
119,00:02.38,-2.2578125,-45.890625,47.1232299805,Marker 0,梦,0,0,0,0,0.0
120,00:02.40,-2.6953125,-46.1796875,46.9807739258,Marker 0,梦,0,0,0,0,0.0
121,00:02.42,-3.15625,-46.140625,46.791015625,Marker 0,梦,0,0,0,0,0.0
122,00:02.44,-3.6328125,-45.9140625,46.6315612793,Marker 0,梦,0,0,0,0,0.0
123,00:02.46,-4.0703125,-45.578125,46.591217041,Marker 0,梦,0,0,0,0,0.0
124,00:02.48,-4.421875,-45.328125,46.6335754395,Marker 0,梦,0,0,0,0,0.0
125,00:02.50,-4.5859375,-45.25,46.6893615723,Marker 0,梦,0,0,0,0,0.0
126,00:02.52,-4.5859375,-45.3828125,46.7266845703,Marker 0,梦,0,0,0,0,0.0
127,00:02.54,-4.4375,-45.6796875,46.7277832031,Marker 0,梦,0,0,0,0,0.0
128,00:02.56,-4.2265625,-46.1171875,46.7004699707,Marker 0,梦,0,0,0,0,0.0
129,00:02.58,-3.984375,-46.671875,46.6619567871,Marker 0,梦,0,0,0,0,0.0
130,00:02.60,-3.7578125,-47.203125,46.645111084,Marker 0,梦,0,0,0,0,0.0
131,00:02.62,-3.5546875,-47.5859375,46.6618041992,Marker 0,梦,0,0,0,0,0.0
132,00:02.64,-3.40625,-47.75,46.7451171875,Marker 0,梦,0,0,0,0,0.0
133,00:02.66,-3.28125,-47.7421875,46.7854309082,Marker 0,梦,0,0,0,0,0.0
134,00:02.68,-3.171875,-47.7109375,46.7372741699,Marker 0,梦,0,0,0,0,0.0
135,00:02.70,-3.0703125,-47.609375,46.6767883301,Marker 0,梦,0,0,0,0,0.0
136,00:02.72,-3.046875,-47.4453125,46.6474914551,Marker 0,梦,0,0,0,0,0.0
137,00:02.74,-3.0703125,-47.2890625,46.5961303711,Marker 0,梦,0,0,0,0,0.0
