,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-15.46875,-122.953125,-57.7027282715,梦,0,0,0,0,0.0
1,00:00.2,-15.4453125,-123.0390625,-57.6571960449,梦,0,0,0,0,0.0
2,00:00.4,-15.4375,-123.046875,-57.6455993652,梦,0,0,0,0,0.0
3,00:00.6,-15.453125,-122.96875,-57.6697387695,梦,0,0,0,0,0.0
4,00:00.8,-15.46875,-122.875,-57.6952514648,梦,0,0,0,0,0.0
5,00:00.10,-15.4921875,-122.765625,-57.729095459,梦,0,0,0,0,0.0
6,00:00.12,-15.5234375,-122.6875,-57.7460327148,梦,0,0,0,0,0.0
7,00:00.14,-15.5546875,-122.625,-57.7436828613,梦,0,0,0,0,0.0
8,00:00.16,-15.5859375,-122.625,-57.7091369629,梦,0,0,0,0,0.0
9,00:00.18,-15.625,-122.640625,-57.6695251465,梦,0,0,0,0,0.0
10,00:00.20,-15.625,-122.6328125,-57.6492614746,梦,0,0,0,0,0.0
11,00:00.22,-15.6171875,-122.5859375,-57.6507568359,梦,0,0,0,0,0.0
12,00:00.24,-15.5703125,-122.5546875,-57.6616210938,梦,0,0,0,0,0.0
13,00:00.26,-15.53125,-122.546875,-57.6672363281,梦,0,0,0,0,0.0
14,00:00.28,-15.484375,-122.546875,-57.6708984375,梦,0,0,0,0,0.0
15,00:00.30,-15.4609375,-122.53125,-57.6742553711,梦,0,0,0,0,0.0
16,00:00.32,-15.4453125,-122.5078125,-57.6798400879,梦,0,0,0,0,0.0
17,00:00.34,-15.4375,-122.53125,-57.659576416,梦,0,0,0,0,0.0
18,00:00.36,-15.4765625,-122.515625,-57.6641845703,梦,0,0,0,0,0.0
19,00:00.38,-15.5234375,-122.515625,-57.6688232422,梦,0,0,0,0,0.0
20,00:00.40,-15.578125,-122.4921875,-57.6990966797,梦,0,0,0,0,0.0
21,00:00.42,-15.640625,-122.5078125,-57.7237548828,梦,0,0,0,0,0.0
22,00:00.44,-15.6875,-122.4609375,-57.7659912109,梦,0,0,0,0,0.0
23,00:00.46,-15.7578125,-122.4140625,-57.7940673828,梦,0,0,0,0,0.0
24,00:00.48,-15.828125,-122.359375,-57.8120117188,梦,0,0,0,0,0.0
25,00:00.50,-15.875,-122.3984375,-57.7860717773,梦,0,0,0,0,0.0
26,00:00.52,-15.9375,-122.46875,-57.7310791016,梦,0,0,0,0,0.0
27,00:00.54,-15.9921875,-122.4375,-57.7105407715,梦,0,0,0,0,0.0
28,00:00.56,-16.015625,-122.4375,-57.6577453613,梦,0,0,0,0,0.0
29,00:00.58,-16.0390625,-122.4921875,-57.5777282715,梦,0,0,0,0,0.0
30,00:00.60,-16.0546875,-122.5625,-57.5065307617,梦,0,0,0,0,0.0
31,00:00.62,-16.046875,-122.5703125,-57.4912414551,梦,0,0,0,0,0.0
32,00:00.64,-16.015625,-122.484375,-57.5403137207,梦,0,0,0,0,0.0
33,00:00.66,-15.9609375,-122.3828125,-57.6083679199,梦,0,0,0,0,0.0
34,00:00.68,-15.890625,-122.34375,-57.6714782715,梦,0,0,0,0,0.0
35,00:00.70,-15.828125,-122.34375,-57.701965332,梦,0,0,0,0,0.0
36,00:00.72,-15.765625,-122.390625,-57.719329834,梦,0,0,0,0,0.0
37,00:00.74,-15.71875,-122.4765625,-57.7193908691,梦,0,0,0,0,0.0
38,00:00.76,-15.65625,-122.578125,-57.7135009766,梦,0,0,0,0,0.0
39,00:00.78,-15.6015625,-122.671875,-57.719329834,梦,0,0,0,0,0.0
40,00:00.80,-15.5625,-122.7421875,-57.7285766602,梦,0,0,0,0,0.0
41,00:00.82,-15.53125,-122.8515625,-57.7102355957,梦,0,0,0,0,0.0
42,00:00.84,-15.53125,-122.984375,-57.6699829102,梦,0,0,0,0,0.0
43,00:00.86,-15.546875,-123.03125,-57.6602172852,梦,0,0,0,0,0.0
44,00:00.88,-15.578125,-123.015625,-57.668548584,梦,0,0,0,0,0.0
45,00:00.90,-15.625,-122.953125,-57.6987915039,梦,0,0,0,0,0.0
46,00:00.92,-15.6640625,-122.8671875,-57.7325439453,梦,0,0,0,0,0.0
47,00:00.94,-15.7109375,-122.7578125,-57.7642211914,梦,0,0,0,0,0.0
48,00:00.96,-15.78125,-122.671875,-57.7686157227,梦,0,0,0,0,0.0
49,00:00.98,-15.84375,-122.59375,-57.7491455078,梦,0,0,0,0,0.0
50,00:01.0,-15.8984375,-122.5390625,-57.7144470215,梦,0,0,0,0,0.0
51,00:01.2,-15.9140625,-122.4609375,-57.6833496094,梦,0,0,0,0,0.0
52,00:01.4,-15.90625,-122.40625,-57.6493835449,梦,0,0,0,0,0.0
53,00:01.6,-15.8828125,-122.328125,-57.6276855469,梦,0,0,0,0,0.0
54,00:01.8,-15.84375,-122.2265625,-57.6301269531,梦,0,0,0,0,0.0
55,00:01.10,-15.796875,-122.1640625,-57.6287841797,梦,0,0,0,0,0.0
56,00:01.12,-15.7421875,-122.109375,-57.638092041,梦,0,0,0,0,0.0
57,00:01.14,-15.6640625,-122.046875,-57.6511535645,梦,0,0,0,0,0.0
58,00:01.16,-15.609375,-122.078125,-57.6263427734,梦,0,0,0,0,0.0
59,00:01.18,-15.5625,-122.1015625,-57.6202087402,梦,0,0,0,0,0.0
60,00:01.20,-15.5390625,-122.125,-57.6257324219,梦,0,0,0,0,0.0
61,00:01.22,-15.546875,-122.15625,-57.6407165527,梦,0,0,0,0,0.0
62,00:01.24,-15.5390625,-122.1953125,-57.6680908203,梦,0,0,0,0,0.0
63,00:01.26,-15.5390625,-122.265625,-57.688079834,梦,0,0,0,0,0.0
64,00:01.28,-15.515625,-122.25,-57.7394104004,梦,0,0,0,0,0.0
65,00:01.30,-15.515625,-122.2265625,-57.7903137207,梦,0,0,0,0,0.0
66,00:01.32,-15.515625,-122.2578125,-57.802154541,梦,0,0,0,0,0.0
67,00:01.34,-15.5234375,-122.3828125,-57.7643127441,梦,0,0,0,0,0.0
68,00:01.36,-15.546875,-122.46875,-57.7196350098,梦,0,0,0,0,0.0
69,00:01.38,-15.5546875,-122.484375,-57.6826477051,梦,0,0,0,0,0.0
70,00:01.40,-15.5703125,-122.5234375,-57.6115112305,梦,0,0,0,0,0.0
71,00:01.42,-15.59375,-122.6171875,-57.5096130371,梦,0,0,0,0,0.0
72,00:01.44,-15.625,-122.609375,-57.4809875488,梦,0,0,0,0,0.0
73,00:01.46,-15.640625,-122.4921875,-57.5298461914,梦,0,0,0,0,0.0
74,00:01.48,-15.6484375,-122.359375,-57.600769043,梦,0,0,0,0,0.0
75,00:01.50,-15.65625,-122.2734375,-57.6664123535,梦,0,0,0,0,0.0
76,00:01.52,-15.6640625,-122.2578125,-57.6894836426,梦,0,0,0,0,0.0
77,00:01.54,-15.6640625,-122.3046875,-57.689239502,梦,0,0,0,0,0.0
78,00:01.56,-15.671875,-122.3203125,-57.6993713379,梦,0,0,0,0,0.0
79,00:01.58,-15.671875,-122.3515625,-57.6992492676,梦,0,0,0,0,0.0
80,00:01.60,-15.6640625,-122.4453125,-57.6853942871,梦,0,0,0,0,0.0
81,00:01.62,-15.65625,-122.4609375,-57.704498291,梦,0,0,0,0,0.0
82,00:01.64,-15.640625,-122.5078125,-57.7013549805,梦,0,0,0,0,0.0
83,00:01.66,-15.6328125,-122.59375,-57.6662902832,梦,0,0,0,0,0.0
84,00:01.68,-15.6328125,-122.6484375,-57.6375427246,梦,0,0,0,0,0.0
85,00:01.70,-15.640625,-122.6484375,-57.6224060059,梦,0,0,0,0,0.0
86,00:01.72,-15.671875,-122.6015625,-57.6307983398,梦,0,0,0,0,0.0
87,00:01.74,-15.7109375,-122.5234375,-57.6592102051,梦,0,0,0,0,0.0
88,00:01.76,-15.75,-122.40625,-57.6931762695,梦,0,0,0,0,0.0
89,00:01.78,-15.7890625,-122.328125,-57.6993408203,梦,0,0,0,0,0.0
90,00:01.80,-15.8359375,-122.25,-57.6951904297,梦,0,0,0,0,0.0
91,00:01.82,-15.8828125,-122.21875,-57.6673278809,梦,0,0,0,0,0.0
92,00:01.84,-15.921875,-122.2109375,-57.6313781738,梦,0,0,0,0,0.0
93,00:01.86,-15.9609375,-122.1953125,-57.6069030762,梦,0,0,0,0,0.0
94,00:01.88,-15.9609375,-122.1640625,-57.6036376953,梦,0,0,0,0,0.0
95,00:01.90,-15.9453125,-122.1484375,-57.6037902832,梦,0,0,0,0,0.0
96,00:01.92,-15.9140625,-122.09375,-57.6297302246,梦,0,0,0,0,0.0
97,00:01.94,-15.8828125,-122.09375,-57.6314086914,梦,0,0,0,0,0.0
98,00:01.96,-15.859375,-122.1484375,-57.6165161133,梦,0,0,0,0,0.0
99,00:01.98,-15.8203125,-122.1796875,-57.6085205078,梦,0,0,0,0,0.0
100,00:02.0,-15.796875,-122.2109375,-57.6089477539,梦,0,0,0,0,0.0
101,00:02.2,-15.7890625,-122.2734375,-57.6089172363,梦,0,0,0,0,0.0
102,00:02.4,-15.7578125,-122.265625,-57.6452941895,梦,0,0,0,0,0.0
103,00:02.6,-15.7109375,-122.1640625,-57.7066345215,梦,0,0,0,0,0.0
104,00:02.8,-15.6640625,-122.0546875,-57.766784668,梦,0,0,0,0,0.0
105,00:02.10,-15.625,-122.015625,-57.7876586914,梦,0,0,0,0,0.0
106,00:02.12,-15.625,-122.1171875,-57.7258605957,梦,0,0,0,0,0.0
107,00:02.14,-15.6328125,-122.1953125,-57.6680908203,梦,0,0,0,0,0.0
108,00:02.16,-15.640625,-122.2109375,-57.6105651855,梦,0,0,0,0,0.0
109,00:02.18,-15.640625,-122.21875,-57.5534362793,梦,0,0,0,0,0.0
110,00:02.20,-15.671875,-122.28125,-57.4649658203,梦,0,0,0,0,0.0
111,00:02.22,-15.71875,-122.265625,-57.4337158203,梦,0,0,0,0,0.0
112,00:02.24,-15.7421875,-122.1484375,-57.4916381836,梦,0,0,0,0,0.0
113,00:02.26,-15.7421875,-121.984375,-57.5935058594,梦,0,0,0,0,0.0
114,00:02.28,-15.7578125,-121.9140625,-57.6539306641,梦,0,0,0,0,0.0
115,00:02.30,-15.7890625,-121.9453125,-57.6715698242,梦,0,0,0,0,0.0
116,00:02.32,-15.7890625,-122.015625,-57.6680297852,梦,0,0,0,0,0.0
117,00:02.34,-15.765625,-122.046875,-57.6787414551,梦,0,0,0,0,0.0
118,00:02.36,-15.7421875,-122.0859375,-57.6802062988,梦,0,0,0,0,0.0
119,00:02.38,-15.703125,-122.1640625,-57.6723632812,梦,0,0,0,0,0.0
120,00:02.40,-15.65625,-122.234375,-57.6695556641,梦,0,0,0,0,0.0
121,00:02.42,-15.625,-122.2578125,-57.6817626953,梦,0,0,0,0,0.0
122,00:02.44,-15.578125,-122.296875,-57.6688537598,梦,0,0,0,0,0.0
123,00:02.46,-15.546875,-122.390625,-57.6235961914,梦,0,0,0,0,0.0
124,00:02.48,-15.53125,-122.4453125,-57.5916137695,梦,0,0,0,0,0.0
