,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,30.875,-106.5859375,-41.6148681641,梦,0,0,0,0,0.0
1,00:00.2,31.015625,-106.59375,-41.6102600098,梦,0,0,0,0,0.0
2,00:00.4,31.1328125,-106.59375,-41.5963745117,梦,0,0,0,0,0.0
3,00:00.6,31.171875,-106.625,-41.5823974609,梦,0,0,0,0,0.0
4,00:00.8,31.1875,-106.6328125,-41.5783691406,梦,0,0,0,0,0.0
5,00:00.10,31.1875,-106.578125,-41.58203125,梦,0,0,0,0,0.0
6,00:00.12,31.171875,-106.453125,-41.6118774414,梦,0,0,0,0,0.0
7,00:00.14,31.1171875,-106.3984375,-41.6200866699,梦,0,0,0,0,0.0
8,00:00.16,30.984375,-106.4296875,-41.6029052734,梦,0,0,0,0,0.0
9,00:00.18,30.84375,-106.4921875,-41.5764770508,梦,0,0,0,0,0.0
10,00:00.20,30.6953125,-106.609375,-41.532989502,梦,0,0,0,0,0.0
11,00:00.22,30.5703125,-106.6953125,-41.5026855469,梦,0,0,0,0,0.0
12,00:00.24,30.4609375,-106.7421875,-41.4944152832,梦,0,0,0,0,0.0
13,00:00.26,30.359375,-106.71875,-41.5260620117,梦,0,0,0,0,0.0
14,00:00.28,30.3203125,-106.765625,-41.5439758301,梦,0,0,0,0,0.0
15,00:00.30,30.328125,-106.8203125,-41.5715637207,梦,0,0,0,0,0.0
16,00:00.32,30.34375,-106.890625,-41.5908508301,梦,0,0,0,0,0.0
17,00:00.34,30.3984375,-106.953125,-41.6009216309,梦,0,0,0,0,0.0
18,00:00.36,30.4921875,-107.078125,-41.5753479004,梦,0,0,0,0,0.0
19,00:00.38,30.578125,-107.0859375,-41.5710754395,梦,0,0,0,0,0.0
20,00:00.40,30.671875,-107.0546875,-41.5621032715,梦,0,0,0,0,0.0
21,00:00.42,30.7890625,-107.0078125,-41.5520935059,梦,0,0,0,0,0.0
22,00:00.44,30.859375,-106.9296875,-41.5689086914,梦,0,0,0,0,0.0
23,00:00.46,30.90625,-106.9296875,-41.5637817383,梦,0,0,0,0,0.0
24,00:00.48,30.9453125,-106.9453125,-41.5462036133,梦,0,0,0,0,0.0
25,00:00.50,30.9375,-106.9296875,-41.5410461426,梦,0,0,0,0,0.0
26,00:00.52,30.921875,-106.9140625,-41.5363464355,梦,0,0,0,0,0.0
27,00:00.54,30.859375,-106.890625,-41.5398864746,梦,0,0,0,0,0.0
28,00:00.56,30.78125,-106.84375,-41.5576782227,梦,0,0,0,0,0.0
29,00:00.58,30.671875,-106.8125,-41.5757141113,梦,0,0,0,0,0.0
30,00:00.60,30.5703125,-106.8125,-41.5809020996,梦,0,0,0,0,0.0
31,00:00.62,30.5078125,-106.8515625,-41.5724487305,梦,0,0,0,0,0.0
32,00:00.64,30.4453125,-106.859375,-41.5683288574,梦,0,0,0,0,0.0
33,00:00.66,30.4140625,-106.859375,-41.5641479492,梦,0,0,0,0,0.0
34,00:00.68,30.40625,-106.8671875,-41.5548706055,梦,0,0,0,0,0.0
