,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-3.3125,-89.4765625,-50.5276184082,梦,0,0,0,0,0.0
1,00:00.2,-3.2421875,-89.4453125,-50.5279541016,梦,0,0,0,0,0.0
2,00:00.4,-3.1875,-89.4453125,-50.5324401855,梦,0,0,0,0,0.0
3,00:00.6,-3.1484375,-89.421875,-50.5552368164,梦,0,0,0,0,0.0
4,00:00.8,-3.140625,-89.4453125,-50.5458984375,梦,0,0,0,0,0.0
5,00:00.10,-3.1484375,-89.4453125,-50.532043457,梦,0,0,0,0,0.0
6,00:00.12,-3.171875,-89.4375,-50.5277404785,梦,0,0,0,0,0.0
7,00:00.14,-3.2109375,-89.4453125,-50.5229187012,梦,0,0,0,0,0.0
8,00:00.16,-3.2734375,-89.4140625,-50.5409545898,梦,0,0,0,0,0.0
9,00:00.18,-3.328125,-89.3828125,-50.5629882812,梦,0,0,0,0,0.0
10,00:00.20,-3.375,-89.375,-50.5718383789,梦,0,0,0,0,0.0
11,00:00.22,-3.4375,-89.375,-50.5576782227,梦,0,0,0,0,0.0
12,00:00.24,-3.484375,-89.390625,-50.5344848633,梦,0,0,0,0,0.0
13,00:00.26,-3.515625,-89.421875,-50.5116882324,梦,0,0,0,0,0.0
14,00:00.28,-3.53125,-89.421875,-50.5115356445,梦,0,0,0,0,0.0
15,00:00.30,-3.5234375,-89.4140625,-50.5208129883,梦,0,0,0,0,0.0
16,00:00.32,-3.515625,-89.421875,-50.5342712402,梦,0,0,0,0,0.0
17,00:00.34,-3.484375,-89.4140625,-50.5481872559,梦,0,0,0,0,0.0
18,00:00.36,-3.46875,-89.3984375,-50.5525817871,梦,0,0,0,0,0.0
19,00:00.38,-3.4375,-89.421875,-50.5350646973,梦,0,0,0,0,0.0
20,00:00.40,-3.4296875,-89.46875,-50.5119934082,梦,0,0,0,0,0.0
21,00:00.42,-3.4140625,-89.4921875,-50.5073242188,梦,0,0,0,0,0.0
22,00:00.44,-3.40625,-89.5234375,-50.5076599121,梦,0,0,0,0,0.0
23,00:00.46,-3.390625,-89.5703125,-50.511932373,梦,0,0,0,0,0.0
24,00:00.48,-3.375,-89.546875,-50.5486450195,梦,0,0,0,0,0.0
25,00:00.50,-3.359375,-89.4921875,-50.6032409668,梦,0,0,0,0,0.0
26,00:00.52,-3.3515625,-89.515625,-50.6168518066,梦,0,0,0,0,0.0
27,00:00.54,-3.359375,-89.6015625,-50.5714111328,梦,0,0,0,0,0.0
28,00:00.56,-3.4296875,-89.6953125,-50.5030212402,梦,0,0,0,0,0.0
29,00:00.58,-3.5,-89.703125,-50.4657287598,梦,0,0,0,0,0.0
30,00:00.60,-3.5546875,-89.734375,-50.4155883789,梦,0,0,0,0,0.0
31,00:00.62,-3.5703125,-89.734375,-50.4016418457,梦,0,0,0,0,0.0
32,00:00.64,-3.5546875,-89.703125,-50.4468994141,梦,0,0,0,0,0.0
33,00:00.66,-3.546875,-89.6484375,-50.5242919922,梦,0,0,0,0,0.0
34,00:00.68,-3.546875,-89.625,-50.5877685547,梦,0,0,0,0,0.0
35,00:00.70,-3.5234375,-89.6796875,-50.593170166,梦,0,0,0,0,0.0
36,00:00.72,-3.484375,-89.78125,-50.5527954102,梦,0,0,0,0,0.0
37,00:00.74,-3.4296875,-89.859375,-50.5169372559,梦,0,0,0,0,0.0
38,00:00.76,-3.3671875,-89.875,-50.5083007812,梦,0,0,0,0,0.0
39,00:00.78,-3.3125,-89.8671875,-50.5176086426,梦,0,0,0,0,0.0
40,00:00.80,-3.265625,-89.8359375,-50.5362243652,梦,0,0,0,0,0.0
41,00:00.82,-3.2265625,-89.84375,-50.5355834961,梦,0,0,0,0,0.0
42,00:00.84,-3.2109375,-89.875,-50.5123901367,梦,0,0,0,0,0.0
43,00:00.86,-3.2109375,-89.8828125,-50.4942932129,梦,0,0,0,0,0.0
44,00:00.88,-3.2421875,-89.8125,-50.5035400391,梦,0,0,0,0,0.0
45,00:00.90,-3.28125,-89.7578125,-50.5123901367,梦,0,0,0,0,0.0
46,00:00.92,-3.3203125,-89.7109375,-50.5216674805,梦,0,0,0,0,0.0
47,00:00.94,-3.3671875,-89.6875,-50.5258789062,梦,0,0,0,0,0.0
48,00:00.96,-3.4375,-89.65625,-50.5205688477,梦,0,0,0,0,0.0
49,00:00.98,-3.5,-89.6640625,-50.5069885254,梦,0,0,0,0,0.0
50,00:01.0,-3.546875,-89.671875,-50.4928894043,梦,0,0,0,0,0.0
51,00:01.2,-3.5625,-89.6875,-50.4925537109,梦,0,0,0,0,0.0
52,00:01.4,-3.5546875,-89.71875,-50.4928894043,梦,0,0,0,0,0.0
53,00:01.6,-3.5390625,-89.75,-50.4971923828,梦,0,0,0,0,0.0
54,00:01.8,-3.5078125,-89.7578125,-50.5196228027,梦,0,0,0,0,0.0
55,00:01.10,-3.4609375,-89.765625,-50.5293884277,梦,0,0,0,0,0.0
56,00:01.12,-3.4140625,-89.796875,-50.5247802734,梦,0,0,0,0,0.0
57,00:01.14,-3.375,-89.8046875,-50.5162963867,梦,0,0,0,0,0.0
58,00:01.16,-3.34375,-89.84375,-50.4845581055,梦,0,0,0,0,0.0
59,00:01.18,-3.34375,-89.8671875,-50.471282959,梦,0,0,0,0,0.0
60,00:01.20,-3.328125,-89.875,-50.4803771973,梦,0,0,0,0,0.0
61,00:01.22,-3.3359375,-89.875,-50.5075378418,梦,0,0,0,0,0.0
62,00:01.24,-3.328125,-89.8203125,-50.5533447266,梦,0,0,0,0,0.0
63,00:01.26,-3.328125,-89.75,-50.5984191895,梦,0,0,0,0,0.0
64,00:01.28,-3.359375,-89.7890625,-50.5801086426,梦,0,0,0,0,0.0
65,00:01.30,-3.4375,-89.875,-50.5112304688,梦,0,0,0,0,0.0
66,00:01.32,-3.515625,-89.9296875,-50.4605102539,梦,0,0,0,0,0.0
67,00:01.34,-3.5703125,-89.9375,-50.4194030762,梦,0,0,0,0,0.0
68,00:01.36,-3.59375,-89.96875,-50.387512207,梦,0,0,0,0,0.0
69,00:01.38,-3.609375,-90.0,-50.3873291016,梦,0,0,0,0,0.0
70,00:01.40,-3.59375,-90.0,-50.4460754395,梦,0,0,0,0,0.0
71,00:01.42,-3.5859375,-89.9609375,-50.5282287598,梦,0,0,0,0,0.0
72,00:01.44,-3.5625,-89.9921875,-50.5784301758,梦,0,0,0,0,0.0
73,00:01.46,-3.53125,-90.03125,-50.5968933105,梦,0,0,0,0,0.0
74,00:01.48,-3.46875,-90.1015625,-50.5703125,梦,0,0,0,0,0.0
75,00:01.50,-3.390625,-90.140625,-50.5346984863,梦,0,0,0,0,0.0
76,00:01.52,-3.328125,-90.1015625,-50.5218811035,梦,0,0,0,0,0.0
77,00:01.54,-3.2734375,-90.09375,-50.5039672852,梦,0,0,0,0,0.0
78,00:01.56,-3.2421875,-90.0625,-50.5222167969,梦,0,0,0,0,0.0
79,00:01.58,-3.2265625,-90.015625,-50.5358581543,梦,0,0,0,0,0.0
80,00:01.60,-3.203125,-89.96875,-50.5354919434,梦,0,0,0,0,0.0
81,00:01.62,-3.203125,-89.921875,-50.5255432129,梦,0,0,0,0,0.0
82,00:01.64,-3.234375,-89.859375,-50.5258483887,梦,0,0,0,0,0.0
83,00:01.66,-3.2890625,-89.8203125,-50.5165405273,梦,0,0,0,0,0.0
84,00:01.68,-3.34375,-89.796875,-50.5161743164,梦,0,0,0,0,0.0
85,00:01.70,-3.375,-89.7578125,-50.5292663574,梦,0,0,0,0,0.0
86,00:01.72,-3.421875,-89.7734375,-50.5245666504,梦,0,0,0,0,0.0
87,00:01.74,-3.4375,-89.7734375,-50.5286865234,梦,0,0,0,0,0.0
88,00:01.76,-3.4453125,-89.796875,-50.528137207,梦,0,0,0,0,0.0
89,00:01.78,-3.4375,-89.8125,-50.5285949707,梦,0,0,0,0,0.0
90,00:01.80,-3.4140625,-89.8359375,-50.533416748,梦,0,0,0,0,0.0
91,00:01.82,-3.390625,-89.8515625,-50.5385742188,梦,0,0,0,0,0.0
92,00:01.84,-3.3671875,-89.890625,-50.5296020508,梦,0,0,0,0,0.0
93,00:01.86,-3.34375,-89.8984375,-50.5346069336,梦,0,0,0,0,0.0
94,00:01.88,-3.3203125,-89.8828125,-50.5391845703,梦,0,0,0,0,0.0
95,00:01.90,-3.3046875,-89.8671875,-50.5390930176,梦,0,0,0,0,0.0
96,00:01.92,-3.3046875,-89.8359375,-50.5347290039,梦,0,0,0,0,0.0
97,00:01.94,-3.3203125,-89.796875,-50.525177002,梦,0,0,0,0,0.0
98,00:01.96,-3.3515625,-89.7578125,-50.5112915039,梦,0,0,0,0,0.0
