,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-1.984375,-138.59375,-63.0543518066,梦,0,0,0,0,0.0
1,00:00.2,-1.9765625,-138.515625,-63.0130615234,梦,0,0,0,0,0.0
2,00:00.4,-1.859375,-138.4453125,-62.9714355469,梦,0,0,0,0,0.0
3,00:00.6,-1.765625,-138.3203125,-62.9682312012,梦,0,0,0,0,0.0
4,00:00.8,-1.75,-138.203125,-62.9675598145,梦,0,0,0,0,0.0
5,00:00.10,-1.7734375,-138.046875,-62.9918212891,梦,0,0,0,0,0.0
6,00:00.12,-1.703125,-138.0078125,-63.0003967285,梦,0,0,0,0,0.0
7,00:00.14,-1.5390625,-137.9765625,-63.0332336426,梦,0,0,0,0,0.0
8,00:00.16,-1.34375,-137.96875,-63.0826416016,梦,0,0,0,0,0.0
9,00:00.18,-1.1484375,-137.921875,-63.1565551758,梦,0,0,0,0,0.0
10,00:00.20,-1.0546875,-138.0390625,-63.2005310059,梦,0,0,0,0,0.0
11,00:00.22,-1.125,-138.4140625,-63.134765625,梦,0,0,0,0,0.0
12,00:00.24,-1.171875,-138.7734375,-63.0710754395,梦,0,0,0,0,0.0
13,00:00.26,-1.2734375,-139.0234375,-63.0439453125,梦,0,0,0,0,0.0
14,00:00.28,-1.453125,-139.078125,-63.0536804199,梦,0,0,0,0,0.0
15,00:00.30,-1.53125,-138.90625,-63.1015014648,梦,0,0,0,0,0.0
16,00:00.32,-1.5625,-138.7578125,-63.1081237793,梦,0,0,0,0,0.0
17,00:00.34,-1.5859375,-138.78125,-63.0386047363,梦,0,0,0,0,0.0
18,00:00.36,-1.609375,-138.8125,-62.9757995605,梦,0,0,0,0,0.0
19,00:00.38,-1.6484375,-138.7109375,-62.9677429199,梦,0,0,0,0,0.0
20,00:00.40,-1.71875,-138.5546875,-62.9879760742,梦,0,0,0,0,0.0
21,00:00.42,-1.8046875,-138.375,-63.0220947266,梦,0,0,0,0,0.0
22,00:00.44,-1.875,-138.265625,-63.0279541016,梦,0,0,0,0,0.0
23,00:00.46,-1.890625,-138.265625,-63.0022583008,梦,0,0,0,0,0.0
24,00:00.48,-1.8515625,-138.2890625,-62.9794921875,梦,0,0,0,0,0.0
25,00:00.50,-1.734375,-138.2109375,-62.9952392578,梦,0,0,0,0,0.0
26,00:00.52,-1.609375,-138.171875,-62.9958496094,梦,0,0,0,0,0.0
27,00:00.54,-1.515625,-138.1484375,-62.9938354492,梦,0,0,0,0,0.0
28,00:00.56,-1.4609375,-138.203125,-62.9610290527,梦,0,0,0,0,0.0
29,00:00.58,-1.390625,-138.3203125,-62.9120483398,梦,0,0,0,0,0.0
30,00:00.60,-1.3125,-138.3125,-62.9374084473,梦,0,0,0,0,0.0
31,00:00.62,-1.2265625,-138.234375,-63.0003356934,梦,0,0,0,0,0.0
32,00:00.64,-1.1796875,-138.1953125,-63.0637512207,梦,0,0,0,0,0.0
33,00:00.66,-1.1640625,-138.21875,-63.1050415039,梦,0,0,0,0,0.0
34,00:00.68,-1.15625,-138.3359375,-63.0982666016,梦,0,0,0,0,0.0
35,00:00.70,-1.1484375,-138.453125,-63.0774841309,梦,0,0,0,0,0.0
36,00:00.72,-1.125,-138.5546875,-63.064666748,梦,0,0,0,0,0.0
37,00:00.74,-1.1171875,-138.640625,-63.0482177734,梦,0,0,0,0,0.0
38,00:00.76,-1.1484375,-138.703125,-63.0320129395,梦,0,0,0,0,0.0
39,00:00.78,-1.1953125,-138.78125,-63.0064697266,梦,0,0,0,0,0.0
40,00:00.80,-1.2421875,-138.7734375,-63.0164489746,梦,0,0,0,0,0.0
41,00:00.82,-1.28125,-138.7109375,-63.053314209,梦,0,0,0,0,0.0
42,00:00.84,-1.3125,-138.6796875,-63.0623779297,梦,0,0,0,0,0.0
43,00:00.86,-1.34375,-138.703125,-63.0493164062,梦,0,0,0,0,0.0
44,00:00.88,-1.3828125,-138.671875,-63.0722045898,梦,0,0,0,0,0.0
45,00:00.90,-1.4140625,-138.4921875,-63.1559143066,梦,0,0,0,0,0.0
46,00:00.92,-1.46875,-138.34375,-63.2121887207,梦,0,0,0,0,0.0
47,00:00.94,-1.5390625,-138.40625,-63.1532897949,梦,0,0,0,0,0.0
48,00:00.96,-1.625,-138.53125,-63.0451660156,梦,0,0,0,0,0.0
49,00:00.98,-1.671875,-138.546875,-62.9753112793,梦,0,0,0,0,0.0
50,00:01.0,-1.734375,-138.5234375,-62.9229125977,梦,0,0,0,0,0.0
51,00:01.2,-1.828125,-138.5234375,-62.8815612793,梦,0,0,0,0,0.0
52,00:01.4,-1.875,-138.4609375,-62.8943481445,梦,0,0,0,0,0.0
53,00:01.6,-1.875,-138.359375,-62.947845459,梦,0,0,0,0,0.0
54,00:01.8,-1.84375,-138.25,-63.0280761719,梦,0,0,0,0,0.0
55,00:01.10,-1.796875,-138.21875,-63.0790710449,梦,0,0,0,0,0.0
56,00:01.12,-1.7578125,-138.328125,-63.0693359375,梦,0,0,0,0,0.0
57,00:01.14,-1.7265625,-138.4921875,-63.0236816406,梦,0,0,0,0,0.0
58,00:01.16,-1.6640625,-138.6484375,-62.9816589355,梦,0,0,0,0,0.0
59,00:01.18,-1.578125,-138.765625,-62.9699707031,梦,0,0,0,0,0.0
60,00:01.20,-1.484375,-138.7734375,-63.0105895996,梦,0,0,0,0,0.0
61,00:01.22,-1.4296875,-138.7109375,-63.0672607422,梦,0,0,0,0,0.0
62,00:01.24,-1.3984375,-138.6796875,-63.0979919434,梦,0,0,0,0,0.0
63,00:01.26,-1.3828125,-138.703125,-63.0833129883,梦,0,0,0,0,0.0
64,00:01.28,-1.359375,-138.7265625,-63.0419616699,梦,0,0,0,0,0.0
65,00:01.30,-1.34375,-138.734375,-63.0049133301,梦,0,0,0,0,0.0
66,00:01.32,-1.3359375,-138.671875,-62.994934082,梦,0,0,0,0,0.0
67,00:01.34,-1.3515625,-138.6015625,-63.0073242188,梦,0,0,0,0,0.0
68,00:01.36,-1.3828125,-138.5546875,-63.0248718262,梦,0,0,0,0,0.0
69,00:01.38,-1.4140625,-138.515625,-63.0482177734,梦,0,0,0,0,0.0
70,00:01.40,-1.4296875,-138.5078125,-63.066192627,梦,0,0,0,0,0.0
71,00:01.42,-1.421875,-138.5078125,-63.0843811035,梦,0,0,0,0,0.0
72,00:01.44,-1.3984375,-138.6171875,-63.0549621582,梦,0,0,0,0,0.0
73,00:01.46,-1.359375,-138.75,-63.0163269043,梦,0,0,0,0,0.0
74,00:01.48,-1.328125,-138.8203125,-63.0042724609,梦,0,0,0,0,0.0
75,00:01.50,-1.2890625,-138.828125,-63.0227355957,梦,0,0,0,0,0.0
76,00:01.52,-1.265625,-138.8046875,-63.0497436523,梦,0,0,0,0,0.0
77,00:01.54,-1.2265625,-138.796875,-63.0679321289,梦,0,0,0,0,0.0
78,00:01.56,-1.1953125,-138.8203125,-63.0634460449,梦,0,0,0,0,0.0
79,00:01.58,-1.171875,-138.796875,-63.0626220703,梦,0,0,0,0,0.0
80,00:01.60,-1.1640625,-138.7578125,-63.0575866699,梦,0,0,0,0,0.0
81,00:01.62,-1.140625,-138.734375,-63.0522766113,梦,0,0,0,0,0.0
82,00:01.64,-1.1328125,-138.6640625,-63.0737609863,梦,0,0,0,0,0.0
83,00:01.66,-1.1484375,-138.5234375,-63.131072998,梦,0,0,0,0,0.0
84,00:01.68,-1.1796875,-138.4296875,-63.1612548828,梦,0,0,0,0,0.0
85,00:01.70,-1.234375,-138.484375,-63.1174926758,梦,0,0,0,0,0.0
86,00:01.72,-1.2890625,-138.5546875,-63.0462036133,梦,0,0,0,0,0.0
87,00:01.74,-1.375,-138.625,-62.9691772461,梦,0,0,0,0,0.0
88,00:01.76,-1.4921875,-138.6796875,-62.9055786133,梦,0,0,0,0,0.0
89,00:01.78,-1.609375,-138.7265625,-62.8734130859,梦,0,0,0,0,0.0
90,00:01.80,-1.6953125,-138.6640625,-62.9131774902,梦,0,0,0,0,0.0
91,00:01.82,-1.75,-138.5234375,-62.9966125488,梦,0,0,0,0,0.0
92,00:01.84,-1.78125,-138.4140625,-63.0771484375,梦,0,0,0,0,0.0
93,00:01.86,-1.8125,-138.4140625,-63.114440918,梦,0,0,0,0,0.0
94,00:01.88,-1.84375,-138.5,-63.0986328125,梦,0,0,0,0,0.0
95,00:01.90,-1.890625,-138.6484375,-63.0345458984,梦,0,0,0,0,0.0
96,00:01.92,-1.859375,-138.7421875,-62.9780273438,梦,0,0,0,0,0.0
97,00:01.94,-1.7890625,-138.796875,-62.9512634277,梦,0,0,0,0,0.0
98,00:01.96,-1.7109375,-138.8046875,-62.950958252,梦,0,0,0,0,0.0
99,00:01.98,-1.65625,-138.734375,-62.9858398438,梦,0,0,0,0,0.0
100,00:02.0,-1.609375,-138.625,-63.0377197266,梦,0,0,0,0,0.0
101,00:02.2,-1.5703125,-138.5546875,-63.0589904785,梦,0,0,0,0,0.0
102,00:02.4,-1.5078125,-138.5546875,-63.0404052734,梦,0,0,0,0,0.0
103,00:02.6,-1.453125,-138.5546875,-63.0172729492,梦,0,0,0,0,0.0
104,00:02.8,-1.40625,-138.5625,-62.998046875,梦,0,0,0,0,0.0
105,00:02.10,-1.3828125,-138.5390625,-63.0067749023,梦,0,0,0,0,0.0
106,00:02.12,-1.3828125,-138.5390625,-63.0164489746,梦,0,0,0,0,0.0
107,00:02.14,-1.3984375,-138.53125,-63.0399475098,梦,0,0,0,0,0.0
108,00:02.16,-1.40625,-138.5078125,-63.0807495117,梦,0,0,0,0,0.0
109,00:02.18,-1.4140625,-138.5234375,-63.0951843262,梦,0,0,0,0,0.0
110,00:02.20,-1.4296875,-138.609375,-63.0790100098,梦,0,0,0,0,0.0
111,00:02.22,-1.453125,-138.6953125,-63.0578613281,梦,0,0,0,0,0.0
112,00:02.24,-1.4921875,-138.765625,-63.0411682129,梦,0,0,0,0,0.0
113,00:02.26,-1.53125,-138.8359375,-63.0244750977,梦,0,0,0,0,0.0
114,00:02.28,-1.5859375,-138.8515625,-63.0296020508,梦,0,0,0,0,0.0
115,00:02.30,-1.640625,-138.8671875,-63.0382385254,梦,0,0,0,0,0.0
116,00:02.32,-1.6953125,-138.8125,-63.0639343262,梦,0,0,0,0,0.0
117,00:02.34,-1.7265625,-138.8046875,-63.0622253418,梦,0,0,0,0,0.0
118,00:02.36,-1.7578125,-138.7734375,-63.0604248047,梦,0,0,0,0,0.0
119,00:02.38,-1.78125,-138.7578125,-63.0450744629,梦,0,0,0,0,0.0
120,00:02.40,-1.7734375,-138.7421875,-63.0352172852,梦,0,0,0,0,0.0
121,00:02.42,-1.75,-138.71875,-63.0440979004,梦,0,0,0,0,0.0
122,00:02.44,-1.6953125,-138.65625,-63.0805053711,梦,0,0,0,0,0.0
123,00:02.46,-1.609375,-138.5234375,-63.1485290527,梦,0,0,0,0,0.0
124,00:02.48,-1.5078125,-138.40625,-63.2024841309,梦,0,0,0,0,0.0
125,00:02.50,-1.40625,-138.375,-63.1889953613,梦,0,0,0,0,0.0
126,00:02.52,-1.296875,-138.453125,-63.104309082,梦,0,0,0,0,0.0
127,00:02.54,-1.1953125,-138.5,-63.0096130371,梦,0,0,0,0,0.0
128,00:02.56,-1.1015625,-138.5703125,-62.9047851562,梦,0,0,0,0,0.0
129,00:02.58,-1.046875,-138.546875,-62.8535766602,梦,0,0,0,0,0.0
130,00:02.60,-0.96875,-138.484375,-62.8518676758,梦,0,0,0,0,0.0
131,00:02.62,-0.875,-138.2734375,-62.938293457,梦,0,0,0,0,0.0
132,00:02.64,-0.8203125,-138.1015625,-63.0213012695,梦,0,0,0,0,0.0
133,00:02.66,-0.796875,-137.96875,-63.0959777832,梦,0,0,0,0,0.0
134,00:02.68,-0.765625,-138.046875,-63.0791625977,梦,0,0,0,0,0.0
135,00:02.70,-0.7578125,-138.1875,-63.0369873047,梦,0,0,0,0,0.0
136,00:02.72,-0.78125,-138.34375,-62.9818725586,梦,0,0,0,0,0.0
137,00:02.74,-0.8046875,-138.5078125,-62.9349060059,梦,0,0,0,0,0.0
138,00:02.76,-0.8046875,-138.5859375,-62.9551696777,梦,0,0,0,0,0.0
139,00:02.78,-0.7890625,-138.5703125,-63.0183410645,梦,0,0,0,0,0.0
140,00:02.80,-0.8125,-138.5078125,-63.098449707,梦,0,0,0,0,0.0
141,00:02.82,-0.8828125,-138.5390625,-63.1215209961,梦,0,0,0,0,0.0
142,00:02.84,-1.0,-138.6171875,-63.0956420898,梦,0,0,0,0,0.0
143,00:02.86,-1.1171875,-138.75,-63.0300292969,梦,0,0,0,0,0.0
144,00:02.88,-1.171875,-138.8046875,-62.9985351562,梦,0,0,0,0,0.0
145,00:02.90,-1.2109375,-138.7890625,-63.002166748,梦,0,0,0,0,0.0
146,00:02.92,-1.2578125,-138.6953125,-63.0406799316,梦,0,0,0,0,0.0
147,00:02.94,-1.3359375,-138.65625,-63.066986084,梦,0,0,0,0,0.0
148,00:02.96,-1.4453125,-138.6171875,-63.0893859863,梦,0,0,0,0,0.0
149,00:02.98,-1.515625,-138.5859375,-63.0981140137,梦,0,0,0,0,0.0
150,00:03.0,-1.5546875,-138.59375,-63.0893249512,梦,0,0,0,0,0.0
151,00:03.2,-1.546875,-138.5859375,-63.0748291016,梦,0,0,0,0,0.0
152,00:03.4,-1.53125,-138.625,-63.0385742188,梦,0,0,0,0,0.0
153,00:03.6,-1.5078125,-138.6875,-62.9987792969,梦,0,0,0,0,0.0
154,00:03.8,-1.5,-138.671875,-62.9990234375,梦,0,0,0,0,0.0
155,00:03.10,-1.4765625,-138.6640625,-63.0042724609,梦,0,0,0,0,0.0
156,00:03.12,-1.4375,-138.6015625,-63.0399780273,梦,0,0,0,0,0.0
157,00:03.14,-1.375,-138.5,-63.0887756348,梦,0,0,0,0,0.0
158,00:03.16,-1.2890625,-138.375,-63.1367492676,梦,0,0,0,0,0.0
159,00:03.18,-1.21875,-138.296875,-63.1402282715,梦,0,0,0,0,0.0
