,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-0.4296875,-85.96875,-40.8610839844,梦,0,0,0,0,0.0
1,00:00.2,-0.1796875,-86.484375,-40.8639221191,梦,0,0,0,0,0.0
2,00:00.4,0.0703125,-86.9375,-40.8748168945,梦,0,0,0,0,0.0
3,00:00.6,0.3125,-87.203125,-40.9149780273,梦,0,0,0,0,0.0
4,00:00.8,0.46875,-87.3359375,-40.9456481934,梦,0,0,0,0,0.0
5,00:00.10,0.5234375,-87.40625,-40.9284362793,梦,0,0,0,0,0.0
6,00:00.12,0.5078125,-87.3515625,-40.881072998,梦,0,0,0,0,0.0
7,00:00.14,0.4609375,-87.15625,-40.8414916992,梦,0,0,0,0,0.0
8,00:00.16,0.40625,-86.9375,-40.8188171387,梦,0,0,0,0,0.0
9,00:00.18,0.3359375,-86.84375,-40.7793273926,梦,0,0,0,0,0.0
10,00:00.20,0.2421875,-86.84375,-40.7572021484,梦,0,0,0,0,0.0
11,00:00.22,0.1640625,-86.90625,-40.760925293,梦,0,0,0,0,0.0
12,00:00.24,0.0859375,-86.984375,-40.7957763672,梦,0,0,0,0,0.0
13,00:00.26,0.0546875,-87.109375,-40.8432617188,梦,0,0,0,0,0.0
14,00:00.28,0.046875,-87.3515625,-40.865814209,梦,0,0,0,0,0.0
15,00:00.30,0.0234375,-87.6484375,-40.8630371094,梦,0,0,0,0,0.0
16,00:00.32,0.046875,-87.9609375,-40.8475646973,梦,0,0,0,0,0.0
17,00:00.34,0.0703125,-88.1875,-40.8488464355,梦,0,0,0,0,0.0
18,00:00.36,0.0859375,-88.3515625,-40.8536987305,梦,0,0,0,0,0.0
19,00:00.38,0.109375,-88.46875,-40.8498840332,梦,0,0,0,0,0.0
20,00:00.40,0.125,-88.484375,-40.8500061035,梦,0,0,0,0,0.0
21,00:00.42,0.1328125,-88.359375,-40.8582763672,梦,0,0,0,0,0.0
22,00:00.44,0.1015625,-88.109375,-40.8657531738,梦,0,0,0,0,0.0
23,00:00.46,0.0234375,-87.75,-40.8731079102,梦,0,0,0,0,0.0
24,00:00.48,-0.046875,-87.34375,-40.8673095703,梦,0,0,0,0,0.0
25,00:00.50,-0.125,-86.9375,-40.8397216797,梦,0,0,0,0,0.0
26,00:00.52,-0.2265625,-86.5625,-40.8080749512,梦,0,0,0,0,0.0
27,00:00.54,-0.3515625,-86.2421875,-40.7725830078,梦,0,0,0,0,0.0
28,00:00.56,-0.4609375,-85.9296875,-40.7713623047,梦,0,0,0,0,0.0
29,00:00.58,-0.5625,-85.7109375,-40.7789611816,梦,0,0,0,0,0.0
30,00:00.60,-0.6171875,-85.6171875,-40.787109375,梦,0,0,0,0,0.0
31,00:00.62,-0.6328125,-85.6640625,-40.7872619629,梦,0,0,0,0,0.0
32,00:00.64,-0.609375,-85.8046875,-40.7922668457,梦,0,0,0,0,0.0
33,00:00.66,-0.5546875,-86.046875,-40.7974853516,梦,0,0,0,0,0.0
34,00:00.68,-0.46875,-86.3359375,-40.8073730469,梦,0,0,0,0,0.0
35,00:00.70,-0.3515625,-86.6484375,-40.8214416504,梦,0,0,0,0,0.0
36,00:00.72,-0.2421875,-87.0078125,-40.826965332,梦,0,0,0,0,0.0
37,00:00.74,-0.125,-87.3203125,-40.8411254883,梦,0,0,0,0,0.0
38,00:00.76,-0.0078125,-87.5859375,-40.8506469727,梦,0,0,0,0,0.0
39,00:00.78,0.0546875,-87.78125,-40.8598937988,梦,0,0,0,0,0.0
40,00:00.80,0.109375,-87.921875,-40.8602600098,梦,0,0,0,0,0.0
41,00:00.82,0.1796875,-87.9921875,-40.8433227539,梦,0,0,0,0,0.0
42,00:00.84,0.2421875,-87.8671875,-40.8641967773,梦,0,0,0,0,0.0
43,00:00.86,0.2734375,-87.6640625,-40.8933410645,梦,0,0,0,0,0.0
44,00:00.88,0.203125,-87.453125,-40.8880615234,梦,0,0,0,0,0.0
45,00:00.90,0.0859375,-87.265625,-40.8317260742,梦,0,0,0,0,0.0
46,00:00.92,-0.046875,-87.0,-40.7882995605,梦,0,0,0,0,0.0
47,00:00.94,-0.125,-86.71875,-40.7529296875,梦,0,0,0,0,0.0
48,00:00.96,-0.1875,-86.4921875,-40.7351074219,梦,0,0,0,0,0.0
49,00:00.98,-0.2109375,-86.3984375,-40.7173156738,梦,0,0,0,0,0.0
50,00:01.0,-0.2421875,-86.40625,-40.7255554199,梦,0,0,0,0,0.0
51,00:01.2,-0.2265625,-86.5390625,-40.7514648438,梦,0,0,0,0,0.0
52,00:01.4,-0.203125,-86.7265625,-40.7991333008,梦,0,0,0,0,0.0
53,00:01.6,-0.140625,-86.96875,-40.8427734375,梦,0,0,0,0,0.0
54,00:01.8,-0.046875,-87.2578125,-40.8651123047,梦,0,0,0,0,0.0
55,00:01.10,0.078125,-87.546875,-40.8706665039,梦,0,0,0,0,0.0
56,00:01.12,0.1953125,-87.78125,-40.8636779785,梦,0,0,0,0,0.0
57,00:01.14,0.2890625,-87.96875,-40.8563232422,梦,0,0,0,0,0.0
58,00:01.16,0.3671875,-88.0859375,-40.8395996094,梦,0,0,0,0,0.0
59,00:01.18,0.4140625,-88.09375,-40.8312683105,梦,0,0,0,0,0.0
60,00:01.20,0.421875,-88.0390625,-40.818359375,梦,0,0,0,0,0.0
61,00:01.22,0.40625,-87.9375,-40.804901123,梦,0,0,0,0,0.0
62,00:01.24,0.3828125,-87.7421875,-40.8167724609,梦,0,0,0,0,0.0
63,00:01.26,0.328125,-87.5625,-40.8198852539,梦,0,0,0,0,0.0
64,00:01.28,0.2421875,-87.3671875,-40.8233947754,梦,0,0,0,0,0.0
65,00:01.30,0.1328125,-87.2109375,-40.818359375,梦,0,0,0,0,0.0
66,00:01.32,0.015625,-87.109375,-40.8050231934,梦,0,0,0,0,0.0
67,00:01.34,-0.09375,-87.0546875,-40.7963867188,梦,0,0,0,0,0.0
68,00:01.36,-0.171875,-87.0234375,-40.7961120605,梦,0,0,0,0,0.0
69,00:01.38,-0.21875,-87.078125,-40.7922668457,梦,0,0,0,0,0.0
