,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,14.9609375,-76.859375,-51.4491271973,梦,0,0,0,0,0.0
1,00:00.2,15.21875,-76.9453125,-51.4546203613,梦,0,0,0,0,0.0
2,00:00.4,15.5234375,-77.0390625,-51.464050293,梦,0,0,0,0,0.0
3,00:00.6,15.8125,-77.1171875,-51.4700317383,梦,0,0,0,0,0.0
4,00:00.8,16.09375,-77.2109375,-51.4642944336,梦,0,0,0,0,0.0
5,00:00.10,16.3828125,-77.25,-51.455291748,梦,0,0,0,0,0.0
6,00:00.12,16.6015625,-77.2109375,-51.4687805176,梦,0,0,0,0,0.0
7,00:00.14,16.75,-77.046875,-51.5127563477,梦,0,0,0,0,0.0
8,00:00.16,16.8125,-76.8359375,-51.544708252,梦,0,0,0,0,0.0
9,00:00.18,16.828125,-76.6171875,-51.5314331055,梦,0,0,0,0,0.0
10,00:00.20,16.734375,-76.3828125,-51.5176086426,梦,0,0,0,0,0.0
11,00:00.22,16.59375,-76.1640625,-51.4954833984,梦,0,0,0,0,0.0
12,00:00.24,16.390625,-75.96875,-51.4693908691,梦,0,0,0,0,0.0
13,00:00.26,16.1640625,-75.7890625,-51.446685791,梦,0,0,0,0,0.0
14,00:00.28,15.890625,-75.609375,-51.4464111328,梦,0,0,0,0,0.0
15,00:00.30,15.625,-75.46875,-51.4609985352,梦,0,0,0,0,0.0
16,00:00.32,15.4140625,-75.390625,-51.4640197754,梦,0,0,0,0,0.0
17,00:00.34,15.25,-75.375,-51.4630126953,梦,0,0,0,0,0.0
18,00:00.36,15.125,-75.390625,-51.4657592773,梦,0,0,0,0,0.0
19,00:00.38,15.015625,-75.4140625,-51.4913330078,梦,0,0,0,0,0.0
20,00:00.40,14.9375,-75.4453125,-51.5054626465,梦,0,0,0,0,0.0
21,00:00.42,14.890625,-75.515625,-51.4930114746,梦,0,0,0,0,0.0
22,00:00.44,14.8671875,-75.5625,-51.4887084961,梦,0,0,0,0,0.0
23,00:00.46,14.8984375,-75.578125,-51.5042724609,梦,0,0,0,0,0.0
24,00:00.48,14.9375,-75.6015625,-51.5306396484,梦,0,0,0,0,0.0
25,00:00.50,14.984375,-75.6640625,-51.5304260254,梦,0,0,0,0,0.0
26,00:00.52,15.0390625,-75.7265625,-51.4887390137,梦,0,0,0,0,0.0
27,00:00.54,15.078125,-75.765625,-51.4362487793,梦,0,0,0,0,0.0
28,00:00.56,15.09375,-75.8046875,-51.3905639648,梦,0,0,0,0,0.0
29,00:00.58,15.109375,-75.84375,-51.3792114258,梦,0,0,0,0,0.0
30,00:00.60,15.1015625,-75.8671875,-51.416229248,梦,0,0,0,0,0.0
31,00:00.62,15.09375,-75.9140625,-51.4605102539,梦,0,0,0,0,0.0
32,00:00.64,15.1015625,-76.0078125,-51.4932556152,梦,0,0,0,0,0.0
33,00:00.66,15.109375,-76.140625,-51.5109863281,梦,0,0,0,0,0.0
34,00:00.68,15.15625,-76.2734375,-51.5062255859,梦,0,0,0,0,0.0
35,00:00.70,15.203125,-76.4140625,-51.4828796387,梦,0,0,0,0,0.0
36,00:00.72,15.265625,-76.5390625,-51.4674682617,梦,0,0,0,0,0.0
37,00:00.74,15.3125,-76.671875,-51.4552612305,梦,0,0,0,0,0.0
38,00:00.76,15.375,-76.71875,-51.4708557129,梦,0,0,0,0,0.0
39,00:00.78,15.4453125,-76.75,-51.4750976562,梦,0,0,0,0,0.0
40,00:00.80,15.5234375,-76.71875,-51.4721069336,梦,0,0,0,0,0.0
41,00:00.82,15.59375,-76.6328125,-51.4627075195,梦,0,0,0,0,0.0
42,00:00.84,15.625,-76.515625,-51.4600830078,梦,0,0,0,0,0.0
43,00:00.86,15.6171875,-76.3984375,-51.4459228516,梦,0,0,0,0,0.0
44,00:00.88,15.5859375,-76.2734375,-51.431427002,梦,0,0,0,0,0.0
45,00:00.90,15.5078125,-76.125,-51.4277954102,梦,0,0,0,0,0.0
46,00:00.92,15.4296875,-76.0078125,-51.4168395996,梦,0,0,0,0,0.0
47,00:00.94,15.359375,-75.8984375,-51.4019775391,梦,0,0,0,0,0.0
48,00:00.96,15.28125,-75.796875,-51.402923584,梦,0,0,0,0,0.0
49,00:00.98,15.1953125,-75.734375,-51.3989868164,梦,0,0,0,0,0.0
50,00:01.0,15.078125,-75.65625,-51.4136657715,梦,0,0,0,0,0.0
51,00:01.2,14.9609375,-75.6015625,-51.4213256836,梦,0,0,0,0,0.0
52,00:01.4,14.84375,-75.578125,-51.4206848145,梦,0,0,0,0,0.0
53,00:01.6,14.7578125,-75.5546875,-51.4167175293,梦,0,0,0,0,0.0
54,00:01.8,14.7265625,-75.53125,-51.4127807617,梦,0,0,0,0,0.0
55,00:01.10,14.71875,-75.5078125,-51.4201660156,梦,0,0,0,0,0.0
56,00:01.12,14.734375,-75.5,-51.4241027832,梦,0,0,0,0,0.0
57,00:01.14,14.78125,-75.515625,-51.4169921875,梦,0,0,0,0,0.0
58,00:01.16,14.8515625,-75.53125,-51.4170837402,梦,0,0,0,0,0.0
59,00:01.18,14.9140625,-75.5625,-51.4401245117,梦,0,0,0,0,0.0
60,00:01.20,14.9453125,-75.6484375,-51.4619750977,梦,0,0,0,0,0.0
61,00:01.22,14.9140625,-75.7734375,-51.4533081055,梦,0,0,0,0,0.0
62,00:01.24,14.875,-75.9140625,-51.4104003906,梦,0,0,0,0,0.0
63,00:01.26,14.875,-76.0078125,-51.3610534668,梦,0,0,0,0,0.0
64,00:01.28,14.9140625,-76.1015625,-51.3304443359,梦,0,0,0,0,0.0
65,00:01.30,14.953125,-76.1875,-51.3186035156,梦,0,0,0,0,0.0
66,00:01.32,14.9609375,-76.203125,-51.3676757812,梦,0,0,0,0,0.0
67,00:01.34,14.96875,-76.1953125,-51.4196777344,梦,0,0,0,0,0.0
68,00:01.36,15.0,-76.1875,-51.4726257324,梦,0,0,0,0,0.0
69,00:01.38,15.0859375,-76.1484375,-51.5110168457,梦,0,0,0,0,0.0
70,00:01.40,15.15625,-76.109375,-51.5045776367,梦,0,0,0,0,0.0
71,00:01.42,15.234375,-76.03125,-51.4908447266,梦,0,0,0,0,0.0
72,00:01.44,15.3203125,-75.9453125,-51.4548034668,梦,0,0,0,0,0.0
73,00:01.46,15.421875,-75.8515625,-51.4042663574,梦,0,0,0,0,0.0
74,00:01.48,15.53125,-75.78125,-51.3606567383,梦,0,0,0,0,0.0
75,00:01.50,15.6484375,-75.6796875,-51.3474121094,梦,0,0,0,0,0.0
76,00:01.52,15.7578125,-75.5078125,-51.3877868652,梦,0,0,0,0,0.0
77,00:01.54,15.890625,-75.328125,-51.4392089844,梦,0,0,0,0,0.0
78,00:01.56,16.03125,-75.1640625,-51.4606018066,梦,0,0,0,0,0.0
79,00:01.58,16.1484375,-75.0,-51.4702148438,梦,0,0,0,0,0.0
80,00:01.60,16.2265625,-74.8359375,-51.4491271973,梦,0,0,0,0,0.0
81,00:01.62,16.296875,-74.7109375,-51.4091491699,梦,0,0,0,0,0.0
82,00:01.64,16.3203125,-74.625,-51.3615112305,梦,0,0,0,0,0.0
83,00:01.66,16.296875,-74.6015625,-51.3233642578,梦,0,0,0,0,0.0
84,00:01.68,16.171875,-74.6796875,-51.3108215332,梦,0,0,0,0,0.0
85,00:01.70,15.953125,-74.875,-51.3071899414,梦,0,0,0,0,0.0
86,00:01.72,15.7109375,-75.171875,-51.3291931152,梦,0,0,0,0,0.0
87,00:01.74,15.4375,-75.484375,-51.3847961426,梦,0,0,0,0,0.0
88,00:01.76,15.1640625,-75.8125,-51.4626464844,梦,0,0,0,0,0.0
89,00:01.78,14.890625,-76.140625,-51.5367431641,梦,0,0,0,0,0.0
90,00:01.80,14.6484375,-76.4296875,-51.5702209473,梦,0,0,0,0,0.0
91,00:01.82,14.4375,-76.625,-51.5861206055,梦,0,0,0,0,0.0
92,00:01.84,14.2890625,-76.71875,-51.561920166,梦,0,0,0,0,0.0
93,00:01.86,14.203125,-76.703125,-51.5351257324,梦,0,0,0,0,0.0
94,00:01.88,14.1640625,-76.609375,-51.5016784668,梦,0,0,0,0,0.0
95,00:01.90,14.1796875,-76.4375,-51.4731750488,梦,0,0,0,0,0.0
96,00:01.92,14.2421875,-76.1640625,-51.4946899414,梦,0,0,0,0,0.0
97,00:01.94,14.3359375,-75.8671875,-51.5200805664,梦,0,0,0,0,0.0
98,00:01.96,14.4609375,-75.59375,-51.5081176758,梦,0,0,0,0,0.0
99,00:01.98,14.6015625,-75.3671875,-51.4547119141,梦,0,0,0,0,0.0
100,00:02.0,14.7421875,-75.15625,-51.3751831055,梦,0,0,0,0,0.0
101,00:02.2,14.8671875,-74.9921875,-51.3249206543,梦,0,0,0,0,0.0
102,00:02.4,14.984375,-74.859375,-51.3198852539,梦,0,0,0,0,0.0
103,00:02.6,15.09375,-74.8046875,-51.3324584961,梦,0,0,0,0,0.0
104,00:02.8,15.203125,-74.7890625,-51.3745117188,梦,0,0,0,0,0.0
105,00:02.10,15.28125,-74.8359375,-51.4165649414,梦,0,0,0,0,0.0
106,00:02.12,15.3203125,-74.890625,-51.4761962891,梦,0,0,0,0,0.0
107,00:02.14,15.328125,-74.9140625,-51.5288085938,梦,0,0,0,0,0.0
108,00:02.16,15.3203125,-74.953125,-51.5473022461,梦,0,0,0,0,0.0
109,00:02.18,15.34375,-74.9609375,-51.5401916504,梦,0,0,0,0,0.0
110,00:02.20,15.390625,-74.953125,-51.4995422363,梦,0,0,0,0,0.0
111,00:02.22,15.4296875,-74.921875,-51.4481201172,梦,0,0,0,0,0.0
112,00:02.24,15.4765625,-74.8828125,-51.3884277344,梦,0,0,0,0,0.0
113,00:02.26,15.5390625,-74.8515625,-51.3475036621,梦,0,0,0,0,0.0
114,00:02.28,15.578125,-74.84375,-51.3287353516,梦,0,0,0,0,0.0
115,00:02.30,15.6015625,-74.859375,-51.3430480957,梦,0,0,0,0,0.0
116,00:02.32,15.59375,-74.8984375,-51.3762817383,梦,0,0,0,0,0.0
117,00:02.34,15.578125,-74.984375,-51.4163208008,梦,0,0,0,0,0.0
118,00:02.36,15.5546875,-75.1484375,-51.4367675781,梦,0,0,0,0,0.0
119,00:02.38,15.5234375,-75.34375,-51.4503479004,梦,0,0,0,0,0.0
120,00:02.40,15.4921875,-75.5625,-51.4555664062,梦,0,0,0,0,0.0
121,00:02.42,15.4921875,-75.7578125,-51.4616088867,梦,0,0,0,0,0.0
122,00:02.44,15.5,-75.9140625,-51.4686279297,梦,0,0,0,0,0.0
123,00:02.46,15.5078125,-76.0,-51.4794006348,梦,0,0,0,0,0.0
124,00:02.48,15.5234375,-76.0546875,-51.4720153809,梦,0,0,0,0,0.0
125,00:02.50,15.5234375,-76.0390625,-51.4570617676,梦,0,0,0,0,0.0
126,00:02.52,15.5078125,-75.96875,-51.446105957,梦,0,0,0,0,0.0
