,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,25.515625,-112.9140625,-42.212097168,梦,0,0,0,0,0.0
1,00:00.2,25.5546875,-112.875,-42.2297668457,梦,0,0,0,0,0.0
2,00:00.4,25.6015625,-112.859375,-42.2297973633,梦,0,0,0,0,0.0
3,00:00.6,25.6015625,-112.7421875,-42.2572631836,梦,0,0,0,0,0.0
4,00:00.8,25.59375,-112.59375,-42.2814941406,梦,0,0,0,0,0.0
5,00:00.10,25.625,-112.59375,-42.2507019043,梦,0,0,0,0,0.0
6,00:00.12,25.609375,-112.6015625,-42.205078125,梦,0,0,0,0,0.0
7,00:00.14,25.5703125,-112.5703125,-42.1656188965,梦,0,0,0,0,0.0
8,00:00.16,25.5078125,-112.5546875,-42.1213378906,梦,0,0,0,0,0.0
9,00:00.18,25.453125,-112.578125,-42.0944213867,梦,0,0,0,0,0.0
10,00:00.20,25.390625,-112.625,-42.0991210938,梦,0,0,0,0,0.0
11,00:00.22,25.34375,-112.65625,-42.1585693359,梦,0,0,0,0,0.0
12,00:00.24,25.296875,-112.71875,-42.224609375,梦,0,0,0,0,0.0
13,00:00.26,25.28125,-112.8359375,-42.2739257812,梦,0,0,0,0,0.0
14,00:00.28,25.2734375,-113.0078125,-42.2900695801,梦,0,0,0,0,0.0
15,00:00.30,25.3125,-113.203125,-42.2678833008,梦,0,0,0,0,0.0
16,00:00.32,25.3828125,-113.3984375,-42.2246398926,梦,0,0,0,0,0.0
17,00:00.34,25.453125,-113.515625,-42.199798584,梦,0,0,0,0,0.0
18,00:00.36,25.546875,-113.59375,-42.1890869141,梦,0,0,0,0,0.0
19,00:00.38,25.6484375,-113.578125,-42.2027282715,梦,0,0,0,0,0.0
20,00:00.40,25.734375,-113.515625,-42.2190551758,梦,0,0,0,0,0.0
21,00:00.42,25.828125,-113.4453125,-42.2178344727,梦,0,0,0,0,0.0
22,00:00.44,25.8828125,-113.34375,-42.2121276855,梦,0,0,0,0,0.0
23,00:00.46,25.9375,-113.25,-42.1869506836,梦,0,0,0,0,0.0
24,00:00.48,25.96875,-113.125,-42.174407959,梦,0,0,0,0,0.0
25,00:00.50,25.9921875,-112.9609375,-42.1796264648,梦,0,0,0,0,0.0
26,00:00.52,25.9921875,-112.8046875,-42.1944274902,梦,0,0,0,0,0.0
27,00:00.54,25.9453125,-112.6953125,-42.1955871582,梦,0,0,0,0,0.0
28,00:00.56,25.890625,-112.609375,-42.2007141113,梦,0,0,0,0,0.0
29,00:00.58,25.8125,-112.546875,-42.19921875,梦,0,0,0,0,0.0
30,00:00.60,25.734375,-112.515625,-42.1985168457,梦,0,0,0,0,0.0
31,00:00.62,25.65625,-112.4609375,-42.2158813477,梦,0,0,0,0,0.0
32,00:00.64,25.5859375,-112.484375,-42.2119140625,梦,0,0,0,0,0.0
33,00:00.66,25.5234375,-112.515625,-42.2077941895,梦,0,0,0,0,0.0
34,00:00.68,25.453125,-112.5,-42.2178039551,梦,0,0,0,0,0.0
35,00:00.70,25.3984375,-112.5234375,-42.2135314941,梦,0,0,0,0,0.0
36,00:00.72,25.3515625,-112.5078125,-42.2257995605,梦,0,0,0,0,0.0
37,00:00.74,25.34375,-112.5,-42.2304382324,梦,0,0,0,0,0.0
38,00:00.76,25.3515625,-112.484375,-42.2263183594,梦,0,0,0,0,0.0
39,00:00.78,25.34375,-112.453125,-42.229309082,梦,0,0,0,0,0.0
40,00:00.80,25.359375,-112.390625,-42.231628418,梦,0,0,0,0,0.0
41,00:00.82,25.375,-112.359375,-42.2219543457,梦,0,0,0,0,0.0
42,00:00.84,25.390625,-112.34375,-42.211730957,梦,0,0,0,0,0.0
43,00:00.86,25.40625,-112.34375,-42.1990356445,梦,0,0,0,0,0.0
44,00:00.88,25.421875,-112.3515625,-42.1951904297,梦,0,0,0,0,0.0
45,00:00.90,25.4453125,-112.3203125,-42.2119140625,梦,0,0,0,0,0.0
46,00:00.92,25.453125,-112.21875,-42.2584838867,梦,0,0,0,0,0.0
47,00:00.94,25.46875,-112.1875,-42.2803649902,梦,0,0,0,0,0.0
48,00:00.96,25.4609375,-112.2578125,-42.2547607422,梦,0,0,0,0,0.0
49,00:00.98,25.4609375,-112.359375,-42.2137756348,梦,0,0,0,0,0.0
50,00:01.0,25.4296875,-112.375,-42.1830749512,梦,0,0,0,0,0.0
51,00:01.2,25.3984375,-112.4296875,-42.1405029297,梦,0,0,0,0,0.0
52,00:01.4,25.3984375,-112.4453125,-42.1231994629,梦,0,0,0,0,0.0
53,00:01.6,25.390625,-112.4296875,-42.1491699219,梦,0,0,0,0,0.0
54,00:01.8,25.390625,-112.390625,-42.2007446289,梦,0,0,0,0,0.0
55,00:01.10,25.390625,-112.3203125,-42.2575378418,梦,0,0,0,0,0.0
56,00:01.12,25.421875,-112.3671875,-42.2709350586,梦,0,0,0,0,0.0
57,00:01.14,25.453125,-112.4140625,-42.2623596191,梦,0,0,0,0,0.0
58,00:01.16,25.515625,-112.5,-42.220123291,梦,0,0,0,0,0.0
59,00:01.18,25.578125,-112.5703125,-42.1803894043,梦,0,0,0,0,0.0
60,00:01.20,25.6328125,-112.5625,-42.1726074219,梦,0,0,0,0,0.0
61,00:01.22,25.6796875,-112.6015625,-42.1637268066,梦,0,0,0,0,0.0
62,00:01.24,25.703125,-112.6015625,-42.1879272461,梦,0,0,0,0,0.0
63,00:01.26,25.703125,-112.6328125,-42.2055358887,梦,0,0,0,0,0.0
64,00:01.28,25.671875,-112.6796875,-42.2131652832,梦,0,0,0,0,0.0
65,00:01.30,25.65625,-112.765625,-42.1928100586,梦,0,0,0,0,0.0
66,00:01.32,25.640625,-112.8125,-42.1901855469,梦,0,0,0,0,0.0
67,00:01.34,25.6328125,-112.796875,-42.211151123,梦,0,0,0,0,0.0
68,00:01.36,25.625,-112.75,-42.232635498,梦,0,0,0,0,0.0
69,00:01.38,25.578125,-112.7265625,-42.2452697754,梦,0,0,0,0,0.0
70,00:01.40,25.5625,-112.6953125,-42.2440185547,梦,0,0,0,0,0.0
71,00:01.42,25.53125,-112.6484375,-42.2290649414,梦,0,0,0,0,0.0
72,00:01.44,25.5234375,-112.6015625,-42.2142028809,梦,0,0,0,0,0.0
73,00:01.46,25.5234375,-112.5625,-42.195892334,梦,0,0,0,0,0.0
74,00:01.48,25.515625,-112.515625,-42.186126709,梦,0,0,0,0,0.0
75,00:01.50,25.515625,-112.46875,-42.1890258789,梦,0,0,0,0,0.0
76,00:01.52,25.515625,-112.453125,-42.1849365234,梦,0,0,0,0,0.0
77,00:01.54,25.515625,-112.453125,-42.1887207031,梦,0,0,0,0,0.0
78,00:01.56,25.5390625,-112.484375,-42.1942749023,梦,0,0,0,0,0.0
79,00:01.58,25.5625,-112.5,-42.2085266113,梦,0,0,0,0,0.0
80,00:01.60,25.578125,-112.5390625,-42.2086181641,梦,0,0,0,0,0.0
81,00:01.62,25.5859375,-112.5703125,-42.2180480957,梦,0,0,0,0,0.0
82,00:01.64,25.5625,-112.5859375,-42.2198181152,梦,0,0,0,0,0.0
83,00:01.66,25.546875,-112.5859375,-42.2199707031,梦,0,0,0,0,0.0
84,00:01.68,25.5234375,-112.6171875,-42.2069396973,梦,0,0,0,0,0.0
85,00:01.70,25.4921875,-112.5859375,-42.2147827148,梦,0,0,0,0,0.0
86,00:01.72,25.4921875,-112.6015625,-42.2060241699,梦,0,0,0,0,0.0
87,00:01.74,25.4921875,-112.546875,-42.2080383301,梦,0,0,0,0,0.0
88,00:01.76,25.4765625,-112.4609375,-42.2333068848,梦,0,0,0,0,0.0
89,00:01.78,25.484375,-112.3359375,-42.2606506348,梦,0,0,0,0,0.0
90,00:01.80,25.4765625,-112.3671875,-42.2438659668,梦,0,0,0,0,0.0
91,00:01.82,25.46875,-112.453125,-42.2070922852,梦,0,0,0,0,0.0
92,00:01.84,25.4296875,-112.5234375,-42.1726074219,梦,0,0,0,0,0.0
93,00:01.86,25.3984375,-112.625,-42.1348876953,梦,0,0,0,0,0.0
94,00:01.88,25.3671875,-112.7421875,-42.1112670898,梦,0,0,0,0,0.0
95,00:01.90,25.3828125,-112.8359375,-42.1235961914,梦,0,0,0,0,0.0
96,00:01.92,25.390625,-112.9453125,-42.164642334,梦,0,0,0,0,0.0
97,00:01.94,25.4140625,-113.046875,-42.2120361328,梦,0,0,0,0,0.0
98,00:01.96,25.4296875,-113.125,-42.262298584,梦,0,0,0,0,0.0
99,00:01.98,25.4609375,-113.25,-42.2831726074,梦,0,0,0,0,0.0
100,00:02.0,25.5234375,-113.4296875,-42.2463989258,梦,0,0,0,0,0.0
101,00:02.2,25.5625,-113.5390625,-42.2181091309,梦,0,0,0,0,0.0
102,00:02.4,25.609375,-113.609375,-42.1846313477,梦,0,0,0,0,0.0
103,00:02.6,25.65625,-113.609375,-42.1757202148,梦,0,0,0,0,0.0
104,00:02.8,25.7109375,-113.5859375,-42.1801757812,梦,0,0,0,0,0.0
105,00:02.10,25.71875,-113.515625,-42.1993713379,梦,0,0,0,0,0.0
106,00:02.12,25.71875,-113.4765625,-42.208770752,梦,0,0,0,0,0.0
107,00:02.14,25.6953125,-113.4453125,-42.2038879395,梦,0,0,0,0,0.0
108,00:02.16,25.671875,-113.4375,-42.176574707,梦,0,0,0,0,0.0
109,00:02.18,25.6875,-113.375,-42.1705627441,梦,0,0,0,0,0.0
110,00:02.20,25.6796875,-113.2734375,-42.1821289062,梦,0,0,0,0,0.0
111,00:02.22,25.6875,-113.203125,-42.1940307617,梦,0,0,0,0,0.0
112,00:02.24,25.6328125,-113.140625,-42.2095947266,梦,0,0,0,0,0.0
113,00:02.26,25.6015625,-113.1015625,-42.2120056152,梦,0,0,0,0,0.0
114,00:02.28,25.5625,-113.0703125,-42.2083740234,梦,0,0,0,0,0.0
115,00:02.30,25.5546875,-113.0703125,-42.1984558105,梦,0,0,0,0,0.0
116,00:02.32,25.515625,-113.0234375,-42.2012023926,梦,0,0,0,0,0.0
117,00:02.34,25.5,-113.0078125,-42.1924133301,梦,0,0,0,0,0.0
118,00:02.36,25.453125,-112.9765625,-42.1918334961,梦,0,0,0,0,0.0
119,00:02.38,25.4375,-112.9921875,-42.183380127,梦,0,0,0,0,0.0
120,00:02.40,25.421875,-113.0078125,-42.1838989258,梦,0,0,0,0,0.0
121,00:02.42,25.3984375,-113.0078125,-42.1888122559,梦,0,0,0,0,0.0
122,00:02.44,25.375,-112.9921875,-42.2020874023,梦,0,0,0,0,0.0
123,00:02.46,25.3671875,-113.0078125,-42.2062072754,梦,0,0,0,0,0.0
124,00:02.48,25.3671875,-113.0234375,-42.2103271484,梦,0,0,0,0,0.0
125,00:02.50,25.375,-113.0546875,-42.203338623,梦,0,0,0,0,0.0
126,00:02.52,25.390625,-113.078125,-42.1979064941,梦,0,0,0,0,0.0
127,00:02.54,25.40625,-113.09375,-42.1944885254,梦,0,0,0,0,0.0
128,00:02.56,25.40625,-113.109375,-42.1947021484,梦,0,0,0,0,0.0
129,00:02.58,25.421875,-113.125,-42.2037658691,梦,0,0,0,0,0.0
130,00:02.60,25.4453125,-113.171875,-42.2007751465,梦,0,0,0,0,0.0
131,00:02.62,25.5,-113.203125,-42.2024230957,梦,0,0,0,0,0.0
132,00:02.64,25.515625,-113.171875,-42.226776123,梦,0,0,0,0,0.0
133,00:02.66,25.5234375,-113.1171875,-42.2605285645,梦,0,0,0,0,0.0
134,00:02.68,25.5390625,-113.1484375,-42.2525024414,梦,0,0,0,0,0.0
