,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,12.140625,-110.890625,-60.5439147949,梦,0,0,0,0,0.0
1,00:00.2,12.09375,-110.96875,-60.5,梦,0,0,0,0,0.0
2,00:00.4,12.046875,-110.9765625,-60.4912109375,梦,0,0,0,0,0.0
3,00:00.6,12.0234375,-110.953125,-60.5009460449,梦,0,0,0,0,0.0
4,00:00.8,12.0078125,-110.9296875,-60.5107116699,梦,0,0,0,0,0.0
5,00:00.10,12.0078125,-110.953125,-60.507598877,梦,0,0,0,0,0.0
6,00:00.12,11.984375,-110.96875,-60.5521240234,梦,0,0,0,0,0.0
7,00:00.14,11.984375,-110.9921875,-60.6184692383,梦,0,0,0,0,0.0
8,00:00.16,11.9765625,-111.03125,-60.6593933105,梦,0,0,0,0,0.0
9,00:00.18,12.0078125,-111.0546875,-60.6492614746,梦,0,0,0,0,0.0
10,00:00.20,12.0234375,-111.0078125,-60.6072387695,梦,0,0,0,0,0.0
11,00:00.22,12.046875,-110.9765625,-60.5335998535,梦,0,0,0,0,0.0
12,00:00.24,12.0,-110.9921875,-60.4325256348,梦,0,0,0,0,0.0
13,00:00.26,11.9296875,-110.9296875,-60.3989562988,梦,0,0,0,0,0.0
14,00:00.28,11.828125,-110.7734375,-60.4424133301,梦,0,0,0,0,0.0
15,00:00.30,11.75,-110.6640625,-60.4852294922,梦,0,0,0,0,0.0
16,00:00.32,11.7109375,-110.609375,-60.5209350586,梦,0,0,0,0,0.0
17,00:00.34,11.703125,-110.5625,-60.5659790039,梦,0,0,0,0,0.0
18,00:00.36,11.671875,-110.5859375,-60.5852355957,梦,0,0,0,0,0.0
19,00:00.38,11.65625,-110.6640625,-60.5814208984,梦,0,0,0,0,0.0
20,00:00.40,11.6796875,-110.7734375,-60.5521240234,梦,0,0,0,0,0.0
21,00:00.42,11.7578125,-110.890625,-60.5380249023,梦,0,0,0,0,0.0
22,00:00.44,11.8671875,-110.9609375,-60.545501709,梦,0,0,0,0,0.0
23,00:00.46,12.0078125,-111.0078125,-60.5339660645,梦,0,0,0,0,0.0
24,00:00.48,12.1171875,-111.046875,-60.5139160156,梦,0,0,0,0,0.0
25,00:00.50,12.1875,-111.046875,-60.513458252,梦,0,0,0,0,0.0
26,00:00.52,12.2265625,-111.0,-60.5422668457,梦,0,0,0,0,0.0
27,00:00.54,12.2578125,-110.9296875,-60.5713195801,梦,0,0,0,0,0.0
28,00:00.56,12.2734375,-110.8984375,-60.5620117188,梦,0,0,0,0,0.0
29,00:00.58,12.2734375,-110.890625,-60.5305175781,梦,0,0,0,0,0.0
30,00:00.60,12.234375,-110.9140625,-60.4994812012,梦,0,0,0,0,0.0
31,00:00.62,12.1875,-110.921875,-60.490234375,梦,0,0,0,0,0.0
32,00:00.64,12.1015625,-110.9296875,-60.487701416,梦,0,0,0,0,0.0
33,00:00.66,12.0078125,-110.9453125,-60.5005187988,梦,0,0,0,0,0.0
34,00:00.68,11.9375,-110.9453125,-60.516998291,梦,0,0,0,0,0.0
35,00:00.70,11.875,-110.9296875,-60.5552978516,梦,0,0,0,0,0.0
36,00:00.72,11.8359375,-110.96875,-60.5620422363,梦,0,0,0,0,0.0
37,00:00.74,11.8203125,-110.953125,-60.584777832,梦,0,0,0,0,0.0
38,00:00.76,11.8359375,-110.96875,-60.5747680664,梦,0,0,0,0,0.0
39,00:00.78,11.8671875,-110.90625,-60.5776672363,梦,0,0,0,0,0.0
40,00:00.80,11.8984375,-110.8984375,-60.5528869629,梦,0,0,0,0,0.0
41,00:00.82,11.90625,-110.9296875,-60.5080566406,梦,0,0,0,0,0.0
42,00:00.84,11.921875,-110.90625,-60.5274047852,梦,0,0,0,0,0.0
43,00:00.86,11.953125,-110.8359375,-60.5934448242,梦,0,0,0,0,0.0
44,00:00.88,12.0390625,-110.8125,-60.6052856445,梦,0,0,0,0,0.0
45,00:00.90,12.1171875,-110.8203125,-60.565826416,梦,0,0,0,0,0.0
46,00:00.92,12.109375,-110.7890625,-60.5115356445,梦,0,0,0,0,0.0
47,00:00.94,12.046875,-110.7890625,-60.460723877,梦,0,0,0,0,0.0
48,00:00.96,12.0078125,-110.7265625,-60.4494934082,梦,0,0,0,0,0.0
49,00:00.98,11.9765625,-110.6875,-60.4309692383,梦,0,0,0,0,0.0
50,00:01.0,11.953125,-110.640625,-60.4452514648,梦,0,0,0,0,0.0
51,00:01.2,11.890625,-110.578125,-60.4809265137,梦,0,0,0,0,0.0
52,00:01.4,11.84375,-110.625,-60.4885559082,梦,0,0,0,0,0.0
53,00:01.6,11.8125,-110.6875,-60.5076293945,梦,0,0,0,0,0.0
54,00:01.8,11.8046875,-110.7578125,-60.5389709473,梦,0,0,0,0,0.0
55,00:01.10,11.796875,-110.8203125,-60.5768432617,梦,0,0,0,0,0.0
56,00:01.12,11.828125,-110.9453125,-60.592010498,梦,0,0,0,0,0.0
57,00:01.14,11.8359375,-111.0546875,-60.5973510742,梦,0,0,0,0,0.0
58,00:01.16,11.875,-111.1796875,-60.579864502,梦,0,0,0,0,0.0
59,00:01.18,11.9375,-111.3203125,-60.5281677246,梦,0,0,0,0,0.0
60,00:01.20,11.984375,-111.34375,-60.5245666504,梦,0,0,0,0,0.0
61,00:01.22,11.9765625,-111.296875,-60.5661010742,梦,0,0,0,0,0.0
62,00:01.24,11.96875,-111.234375,-60.5984802246,梦,0,0,0,0,0.0
63,00:01.26,11.96875,-111.2109375,-60.5962524414,梦,0,0,0,0,0.0
64,00:01.28,11.984375,-111.1875,-60.571105957,梦,0,0,0,0,0.0
65,00:01.30,12.0,-111.125,-60.5552978516,梦,0,0,0,0,0.0
66,00:01.32,11.984375,-111.0546875,-60.54296875,梦,0,0,0,0,0.0
67,00:01.34,11.9453125,-111.0390625,-60.5084838867,梦,0,0,0,0,0.0
68,00:01.36,11.921875,-111.015625,-60.4989624023,梦,0,0,0,0,0.0
69,00:01.38,11.90625,-111.0390625,-60.4959411621,梦,0,0,0,0,0.0
70,00:01.40,11.8984375,-111.0625,-60.5083007812,梦,0,0,0,0,0.0
71,00:01.42,11.875,-111.0390625,-60.543182373,梦,0,0,0,0,0.0
72,00:01.44,11.8515625,-111.0546875,-60.559387207,梦,0,0,0,0,0.0
73,00:01.46,11.8203125,-111.03125,-60.581817627,梦,0,0,0,0,0.0
74,00:01.48,11.8046875,-111.015625,-60.6008911133,梦,0,0,0,0,0.0
75,00:01.50,11.828125,-111.0546875,-60.5882873535,梦,0,0,0,0,0.0
76,00:01.52,11.8671875,-111.0859375,-60.555847168,梦,0,0,0,0,0.0
77,00:01.54,11.890625,-111.1015625,-60.5370178223,梦,0,0,0,0,0.0
78,00:01.56,11.8828125,-111.0546875,-60.584197998,梦,0,0,0,0,0.0
79,00:01.58,11.890625,-111.0078125,-60.6316833496,梦,0,0,0,0,0.0
80,00:01.60,11.9296875,-111.015625,-60.6153564453,梦,0,0,0,0,0.0
81,00:01.62,11.9609375,-111.0078125,-60.573425293,梦,0,0,0,0,0.0
82,00:01.64,11.96875,-110.9609375,-60.5353088379,梦,0,0,0,0,0.0
83,00:01.66,11.9609375,-110.9609375,-60.4651184082,梦,0,0,0,0,0.0
84,00:01.68,11.9296875,-110.8984375,-60.4342346191,梦,0,0,0,0,0.0
85,00:01.70,11.875,-110.8203125,-60.4291687012,梦,0,0,0,0,0.0
86,00:01.72,11.84375,-110.7578125,-60.4559631348,梦,0,0,0,0,0.0
87,00:01.74,11.84375,-110.6953125,-60.4976501465,梦,0,0,0,0,0.0
88,00:01.76,11.859375,-110.6875,-60.5235290527,梦,0,0,0,0,0.0
89,00:01.78,11.859375,-110.7421875,-60.5330810547,梦,0,0,0,0,0.0
90,00:01.80,11.828125,-110.84375,-60.5453491211,梦,0,0,0,0,0.0
91,00:01.82,11.8203125,-110.953125,-60.5542297363,梦,0,0,0,0,0.0
92,00:01.84,11.8671875,-111.0546875,-60.5721435547,梦,0,0,0,0,0.0
93,00:01.86,11.921875,-111.078125,-60.5930786133,梦,0,0,0,0,0.0
94,00:01.88,11.9609375,-111.1875,-60.5569152832,梦,0,0,0,0,0.0
95,00:01.90,11.953125,-111.3359375,-60.4994506836,梦,0,0,0,0,0.0
96,00:01.92,11.9296875,-111.3828125,-60.499420166,梦,0,0,0,0,0.0
97,00:01.94,11.90625,-111.34375,-60.5541992188,梦,0,0,0,0,0.0
98,00:01.96,11.8984375,-111.2734375,-60.6125183105,梦,0,0,0,0,0.0
99,00:01.98,11.859375,-111.1953125,-60.6354370117,梦,0,0,0,0,0.0
100,00:02.0,11.828125,-111.125,-60.635925293,梦,0,0,0,0,0.0
101,00:02.2,11.8125,-111.09375,-60.5986328125,梦,0,0,0,0,0.0
102,00:02.4,11.796875,-111.0703125,-60.5511779785,梦,0,0,0,0,0.0
103,00:02.6,11.8203125,-111.0703125,-60.4998168945,梦,0,0,0,0,0.0
104,00:02.8,11.8359375,-111.0234375,-60.4870300293,梦,0,0,0,0,0.0
105,00:02.10,11.828125,-110.9921875,-60.4964294434,梦,0,0,0,0,0.0
106,00:02.12,11.8125,-110.9921875,-60.5026245117,梦,0,0,0,0,0.0
107,00:02.14,11.8203125,-110.9921875,-60.5218811035,梦,0,0,0,0,0.0
108,00:02.16,11.8359375,-111.0,-60.53125,梦,0,0,0,0,0.0
109,00:02.18,11.859375,-110.9765625,-60.5600585938,梦,0,0,0,0,0.0
110,00:02.20,11.859375,-110.9765625,-60.5757751465,梦,0,0,0,0,0.0
111,00:02.22,11.8515625,-111.0,-60.5754394531,梦,0,0,0,0,0.0
112,00:02.24,11.8515625,-111.015625,-60.575378418,梦,0,0,0,0,0.0
113,00:02.26,11.859375,-111.03125,-60.6004333496,梦,0,0,0,0,0.0
114,00:02.28,11.8671875,-111.03125,-60.6221923828,梦,0,0,0,0,0.0
115,00:02.30,11.8828125,-111.09375,-60.5932312012,梦,0,0,0,0,0.0
116,00:02.32,11.859375,-111.078125,-60.5615539551,梦,0,0,0,0,0.0
117,00:02.34,11.796875,-111.03125,-60.5335083008,梦,0,0,0,0,0.0
118,00:02.36,11.734375,-111.015625,-60.4864196777,梦,0,0,0,0,0.0
119,00:02.38,11.7109375,-110.9375,-60.4708557129,梦,0,0,0,0,0.0
120,00:02.40,11.671875,-110.875,-60.4561157227,梦,0,0,0,0,0.0
121,00:02.42,11.6484375,-110.8359375,-60.4606323242,梦,0,0,0,0,0.0
122,00:02.44,11.609375,-110.8125,-60.4838867188,梦,0,0,0,0,0.0
123,00:02.46,11.5859375,-110.7890625,-60.5259399414,梦,0,0,0,0,0.0
124,00:02.48,11.59375,-110.8125,-60.5574951172,梦,0,0,0,0,0.0
125,00:02.50,11.609375,-110.875,-60.5757751465,梦,0,0,0,0,0.0
126,00:02.52,11.6640625,-111.0,-60.5684814453,梦,0,0,0,0,0.0
127,00:02.54,11.734375,-111.140625,-60.5448913574,梦,0,0,0,0,0.0
128,00:02.56,11.78125,-111.2109375,-60.5597229004,梦,0,0,0,0,0.0
129,00:02.58,11.8515625,-111.2578125,-60.5581665039,梦,0,0,0,0,0.0
130,00:02.60,11.90625,-111.3046875,-60.5383911133,梦,0,0,0,0,0.0
131,00:02.62,11.9296875,-111.3828125,-60.5192260742,梦,0,0,0,0,0.0
132,00:02.64,11.9375,-111.390625,-60.5321044922,梦,0,0,0,0,0.0
133,00:02.66,11.9375,-111.3671875,-60.5610351562,梦,0,0,0,0,0.0
134,00:02.68,11.921875,-111.2890625,-60.5938720703,梦,0,0,0,0,0.0
135,00:02.70,11.9140625,-111.234375,-60.5943908691,梦,0,0,0,0,0.0
136,00:02.72,11.890625,-111.25,-60.5538635254,梦,0,0,0,0,0.0
137,00:02.74,11.8515625,-111.2265625,-60.541015625,梦,0,0,0,0,0.0
138,00:02.76,11.796875,-111.2265625,-60.5258483887,梦,0,0,0,0,0.0
139,00:02.78,11.7578125,-111.2421875,-60.5128173828,梦,0,0,0,0,0.0
140,00:02.80,11.7421875,-111.265625,-60.5126953125,梦,0,0,0,0,0.0
141,00:02.82,11.71875,-111.2265625,-60.5508728027,梦,0,0,0,0,0.0
142,00:02.84,11.703125,-111.265625,-60.5544128418,梦,0,0,0,0,0.0
143,00:02.86,11.6796875,-111.28125,-60.5702514648,梦,0,0,0,0,0.0
144,00:02.88,11.6796875,-111.296875,-60.5738525391,梦,0,0,0,0,0.0
145,00:02.90,11.6875,-111.3125,-60.5770568848,梦,0,0,0,0,0.0
146,00:02.92,11.703125,-111.3515625,-60.5579833984,梦,0,0,0,0,0.0
147,00:02.94,11.7109375,-111.359375,-60.5768127441,梦,0,0,0,0,0.0
148,00:02.96,11.7421875,-111.3359375,-60.6303710938,梦,0,0,0,0,0.0
149,00:02.98,11.796875,-111.34375,-60.6548156738,梦,0,0,0,0,0.0
150,00:03.0,11.859375,-111.375,-60.6194152832,梦,0,0,0,0,0.0
151,00:03.2,11.8828125,-111.3203125,-60.5866699219,梦,0,0,0,0,0.0
152,00:03.4,11.875,-111.28125,-60.5264892578,梦,0,0,0,0,0.0
153,00:03.6,11.84375,-111.2421875,-60.4534606934,梦,0,0,0,0,0.0
154,00:03.8,11.8046875,-111.1796875,-60.4294433594,梦,0,0,0,0,0.0
155,00:03.10,11.765625,-111.0859375,-60.4461975098,梦,0,0,0,0,0.0
156,00:03.12,11.71875,-110.9921875,-60.4766540527,梦,0,0,0,0,0.0
157,00:03.14,11.6640625,-110.9609375,-60.5092773438,梦,0,0,0,0,0.0
158,00:03.16,11.6171875,-110.9453125,-60.5416259766,梦,0,0,0,0,0.0
159,00:03.18,11.59375,-110.9921875,-60.5604248047,梦,0,0,0,0,0.0
160,00:03.20,11.6015625,-111.0703125,-60.5759887695,梦,0,0,0,0,0.0
161,00:03.22,11.6484375,-111.1328125,-60.584197998,梦,0,0,0,0,0.0
162,00:03.24,11.6953125,-111.2265625,-60.5670471191,梦,0,0,0,0,0.0
163,00:03.26,11.71875,-111.28125,-60.5596313477,梦,0,0,0,0,0.0
164,00:03.28,11.78125,-111.390625,-60.5267028809,梦,0,0,0,0,0.0
165,00:03.30,11.8203125,-111.4609375,-60.5073242188,梦,0,0,0,0,0.0
166,00:03.32,11.8359375,-111.5,-60.5198364258,梦,0,0,0,0,0.0
167,00:03.34,11.828125,-111.4375,-60.578125,梦,0,0,0,0,0.0
168,00:03.36,11.8046875,-111.4140625,-60.6105651855,梦,0,0,0,0,0.0
169,00:03.38,11.765625,-111.375,-60.633392334,梦,0,0,0,0,0.0
170,00:03.40,11.7421875,-111.3359375,-60.6278076172,梦,0,0,0,0,0.0
171,00:03.42,11.75,-111.328125,-60.5928649902,梦,0,0,0,0,0.0
172,00:03.44,11.75,-111.3125,-60.5511474609,梦,0,0,0,0,0.0
173,00:03.46,11.734375,-111.3046875,-60.5158996582,梦,0,0,0,0,0.0
174,00:03.48,11.6875,-111.2265625,-60.5227661133,梦,0,0,0,0,0.0
175,00:03.50,11.65625,-111.203125,-60.5166931152,梦,0,0,0,0,0.0
176,00:03.52,11.6640625,-111.1953125,-60.5071105957,梦,0,0,0,0,0.0
177,00:03.54,11.6875,-111.15625,-60.5265197754,梦,0,0,0,0,0.0
178,00:03.56,11.7109375,-111.109375,-60.5611572266,梦,0,0,0,0,0.0
179,00:03.58,11.71875,-111.0625,-60.5899658203,梦,0,0,0,0,0.0
180,00:03.60,11.7265625,-111.0625,-60.5870666504,梦,0,0,0,0,0.0
181,00:03.62,11.7109375,-111.0859375,-60.5710449219,梦,0,0,0,0,0.0
182,00:03.64,11.7421875,-111.0703125,-60.5960083008,梦,0,0,0,0,0.0
183,00:03.66,11.796875,-111.0625,-60.6331481934,梦,0,0,0,0,0.0
184,00:03.68,11.875,-111.125,-60.6064758301,梦,0,0,0,0,0.0
185,00:03.70,11.8828125,-111.1484375,-60.5613708496,梦,0,0,0,0,0.0
186,00:03.72,11.828125,-111.140625,-60.5201416016,梦,0,0,0,0,0.0
187,00:03.74,11.765625,-111.125,-60.4829711914,梦,0,0,0,0,0.0
188,00:03.76,11.703125,-111.109375,-60.451751709,梦,0,0,0,0,0.0
189,00:03.78,11.6640625,-111.0234375,-60.4756164551,梦,0,0,0,0,0.0
190,00:03.80,11.6484375,-110.984375,-60.4888305664,梦,0,0,0,0,0.0
191,00:03.82,11.6328125,-110.9609375,-60.5121765137,梦,0,0,0,0,0.0
192,00:03.84,11.6171875,-110.96875,-60.5255432129,梦,0,0,0,0,0.0
193,00:03.86,11.609375,-111.0078125,-60.5350341797,梦,0,0,0,0,0.0
194,00:03.88,11.59375,-111.015625,-60.5664672852,梦,0,0,0,0,0.0
195,00:03.90,11.6328125,-111.078125,-60.5849914551,梦,0,0,0,0,0.0
196,00:03.92,11.6640625,-111.2421875,-60.5585021973,梦,0,0,0,0,0.0
197,00:03.94,11.6796875,-111.3515625,-60.5547485352,梦,0,0,0,0,0.0
198,00:03.96,11.6796875,-111.4453125,-60.5447998047,梦,0,0,0,0,0.0
199,00:03.98,11.6640625,-111.546875,-60.5155944824,梦,0,0,0,0,0.0
200,00:04.0,11.640625,-111.640625,-60.4965209961,梦,0,0,0,0,0.0
201,00:04.2,11.6015625,-111.6640625,-60.5228271484,梦,0,0,0,0,0.0
202,00:04.4,11.5390625,-111.5859375,-60.5907592773,梦,0,0,0,0,0.0
203,00:04.6,11.4921875,-111.5625,-60.6202392578,梦,0,0,0,0,0.0
204,00:04.8,11.4921875,-111.546875,-60.6172790527,梦,0,0,0,0,0.0
205,00:04.10,11.5390625,-111.6171875,-60.5597229004,梦,0,0,0,0,0.0
206,00:04.12,11.5859375,-111.625,-60.5399169922,梦,0,0,0,0,0.0
207,00:04.14,11.59375,-111.6015625,-60.5236816406,梦,0,0,0,0,0.0
208,00:04.16,11.578125,-111.5546875,-60.5331726074,梦,0,0,0,0,0.0
209,00:04.18,11.515625,-111.546875,-60.5335083008,梦,0,0,0,0,0.0
210,00:04.20,11.4921875,-111.546875,-60.5402832031,梦,0,0,0,0,0.0
211,00:04.22,11.4921875,-111.5625,-60.5497131348,梦,0,0,0,0,0.0
212,00:04.24,11.5,-111.578125,-60.5558776855,梦,0,0,0,0,0.0
213,00:04.26,11.5,-111.578125,-60.5655822754,梦,0,0,0,0,0.0
214,00:04.28,11.484375,-111.6171875,-60.5504455566,梦,0,0,0,0,0.0
215,00:04.30,11.5,-111.6328125,-60.5471191406,梦,0,0,0,0,0.0
216,00:04.32,11.4921875,-111.5703125,-60.6043395996,梦,0,0,0,0,0.0
217,00:04.34,11.53125,-111.53125,-60.6513061523,梦,0,0,0,0,0.0
218,00:04.36,11.5703125,-111.5390625,-60.6286315918,梦,0,0,0,0,0.0
219,00:04.38,11.578125,-111.5625,-60.5644836426,梦,0,0,0,0,0.0
220,00:04.40,11.5703125,-111.5390625,-60.5099487305,梦,0,0,0,0,0.0
221,00:04.42,11.5859375,-111.5390625,-60.4594421387,梦,0,0,0,0,0.0
222,00:04.44,11.5703125,-111.453125,-60.4441833496,梦,0,0,0,0,0.0
223,00:04.46,11.5078125,-111.359375,-60.4510803223,梦,0,0,0,0,0.0
224,00:04.48,11.4609375,-111.265625,-60.4815368652,梦,0,0,0,0,0.0
225,00:04.50,11.4296875,-111.2109375,-60.5204162598,梦,0,0,0,0,0.0
226,00:04.52,11.453125,-111.234375,-60.5237426758,梦,0,0,0,0,0.0
227,00:04.54,11.453125,-111.28125,-60.5236206055,梦,0,0,0,0,0.0
228,00:04.56,11.4296875,-111.3125,-60.539642334,梦,0,0,0,0,0.0
229,00:04.58,11.4375,-111.3984375,-60.5514526367,梦,0,0,0,0,0.0
230,00:04.60,11.4765625,-111.4921875,-60.5570373535,梦,0,0,0,0,0.0
231,00:04.62,11.53125,-111.5625,-60.5618591309,梦,0,0,0,0,0.0
232,00:04.64,11.6015625,-111.671875,-60.5387573242,梦,0,0,0,0,0.0
233,00:04.66,11.6484375,-111.796875,-60.5055236816,梦,0,0,0,0,0.0
234,00:04.68,11.6640625,-111.8125,-60.5151062012,梦,0,0,0,0,0.0
235,00:04.70,11.6796875,-111.734375,-60.5722351074,梦,0,0,0,0,0.0
236,00:04.72,11.6875,-111.6640625,-60.6143188477,梦,0,0,0,0,0.0
237,00:04.74,11.6953125,-111.6640625,-60.6015014648,梦,0,0,0,0,0.0
238,00:04.76,11.703125,-111.625,-60.5734558105,梦,0,0,0,0,0.0
239,00:04.78,11.6953125,-111.6015625,-60.5326538086,梦,0,0,0,0,0.0
240,00:04.80,11.6640625,-111.5390625,-60.5169372559,梦,0,0,0,0,0.0
241,00:04.82,11.6171875,-111.4921875,-60.5113525391,梦,0,0,0,0,0.0
242,00:04.84,11.578125,-111.4765625,-60.5021972656,梦,0,0,0,0,0.0
243,00:04.86,11.53125,-111.4296875,-60.518157959,梦,0,0,0,0,0.0
244,00:04.88,11.515625,-111.4296875,-60.5181884766,梦,0,0,0,0,0.0
245,00:04.90,11.515625,-111.40625,-60.5342407227,梦,0,0,0,0,0.0
246,00:04.92,11.5078125,-111.3828125,-60.5467224121,梦,0,0,0,0,0.0
247,00:04.94,11.4921875,-111.3671875,-60.5536193848,梦,0,0,0,0,0.0
248,00:04.96,11.46875,-111.390625,-60.5380859375,梦,0,0,0,0,0.0
249,00:04.98,11.484375,-111.4609375,-60.5158081055,梦,0,0,0,0,0.0
250,00:05.0,11.5078125,-111.453125,-60.5659179688,梦,0,0,0,0,0.0
251,00:05.2,11.546875,-111.40625,-60.6356201172,梦,0,0,0,0,0.0
252,00:05.4,11.5703125,-111.40625,-60.6382141113,梦,0,0,0,0,0.0
253,00:05.6,11.5546875,-111.3984375,-60.5996398926,梦,0,0,0,0,0.0
254,00:05.8,11.53125,-111.3984375,-60.5331115723,梦,0,0,0,0,0.0
255,00:05.10,11.53125,-111.4296875,-60.4533081055,梦,0,0,0,0,0.0
256,00:05.12,11.546875,-111.390625,-60.4284057617,梦,0,0,0,0,0.0
257,00:05.14,11.5234375,-111.3203125,-60.4385681152,梦,0,0,0,0,0.0
258,00:05.16,11.46875,-111.2109375,-60.4844970703,梦,0,0,0,0,0.0
