,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,4.9453125,-58.9765625,-62.8446044922,0,0,0,0,0,0.0
1,00:00.2,4.890625,-59.0859375,-62.9482727051,0,0,0,0,0,0.0
2,00:00.4,4.765625,-59.2109375,-62.9979248047,0,0,0,0,0,0.0
3,00:00.6,4.65625,-59.3203125,-62.9634399414,0,0,0,0,0,0.0
4,00:00.8,4.59375,-59.3984375,-62.9454345703,0,0,0,0,0,0.0
5,00:00.10,4.578125,-59.4453125,-63.0048828125,0,0,0,0,0,0.0
6,00:00.12,4.5,-59.4765625,-63.1291809082,0,0,0,0,0,0.0
7,00:00.14,4.34375,-59.5078125,-63.1977233887,0,0,0,0,0,0.0
8,00:00.16,4.140625,-59.578125,-63.1417541504,0,0,0,0,0,0.0
9,00:00.18,3.9609375,-59.6875,-62.974822998,0,0,0,0,0,0.0
10,00:00.20,3.875,-59.734375,-62.854095459,0,0,0,0,0,0.0
11,00:00.22,3.84375,-59.6796875,-62.8816833496,0,0,0,0,0,0.0
12,00:00.24,3.7734375,-59.59375,-62.9767456055,0,0,0,0,0,0.0
13,00:00.26,3.7109375,-59.53125,-63.0340881348,0,0,0,0,0,0.0
14,00:00.28,3.671875,-59.5234375,-62.9891662598,0,0,0,0,0,0.0
15,00:00.30,3.6796875,-59.53125,-62.9139709473,0,0,0,0,0,0.0
16,00:00.32,3.7421875,-59.546875,-62.8633728027,0,0,0,0,0,0.0
17,00:00.34,3.8203125,-59.5703125,-62.8546142578,0,0,0,0,0,0.0
18,00:00.36,3.8515625,-59.625,-62.8692016602,0,0,0,0,0,0.0
19,00:00.38,3.859375,-59.6875,-62.8813781738,0,0,0,0,0,0.0
20,00:00.40,3.875,-59.765625,-62.9090576172,0,0,0,0,0,0.0
21,00:00.42,3.90625,-59.796875,-62.9810180664,0,0,0,0,0,0.0
22,00:00.44,3.9375,-59.828125,-63.0665283203,0,0,0,0,0,0.0
23,00:00.46,3.9375,-59.8671875,-63.0679626465,0,0,0,0,0,0.0
24,00:00.48,3.953125,-59.9375,-62.9941711426,0,0,0,0,0,0.0
25,00:00.50,3.9921875,-59.9765625,-62.9175415039,0,0,0,0,0,0.0
26,00:00.52,4.0703125,-59.984375,-62.9149780273,0,0,0,0,0,0.0
27,00:00.54,4.1484375,-59.96875,-63.0318908691,0,0,0,0,0,0.0
28,00:00.56,4.171875,-59.96875,-63.1315002441,0,0,0,0,0,0.0
29,00:00.58,4.109375,-59.984375,-63.0797424316,0,0,0,0,0,0.0
30,00:00.60,3.984375,-60.03125,-62.912689209,0,0,0,0,0,0.0
31,00:00.62,3.8125,-60.0078125,-62.8055114746,0,0,0,0,0,0.0
32,00:00.64,3.640625,-59.9921875,-62.7797241211,0,0,0,0,0,0.0
33,00:00.66,3.4765625,-59.921875,-62.844543457,0,0,0,0,0,0.0
34,00:00.68,3.34375,-59.8671875,-62.9032897949,0,0,0,0,0,0.0
35,00:00.70,3.234375,-59.8203125,-62.9205322266,0,0,0,0,0,0.0
36,00:00.72,3.1171875,-59.8125,-62.9188842773,0,0,0,0,0,0.0
37,00:00.74,3.0390625,-59.796875,-62.9369506836,0,0,0,0,0,0.0
38,00:00.76,2.9765625,-59.8046875,-62.9478149414,0,0,0,0,0,0.0
39,00:00.78,2.9296875,-59.8359375,-62.9467163086,0,0,0,0,0,0.0
40,00:00.80,2.9375,-59.8828125,-62.9415893555,0,0,0,0,0,0.0
41,00:00.82,3.0,-59.921875,-62.9164428711,0,0,0,0,0,0.0
42,00:00.84,3.0859375,-59.9375,-62.8967895508,0,0,0,0,0,0.0
43,00:00.86,3.1875,-59.921875,-62.8991088867,0,0,0,0,0,0.0
44,00:00.88,3.296875,-59.875,-62.9228210449,0,0,0,0,0,0.0
45,00:00.90,3.3828125,-59.84375,-62.940826416,0,0,0,0,0,0.0
46,00:00.92,3.4375,-59.8125,-62.9930725098,0,0,0,0,0,0.0
47,00:00.94,3.46875,-59.796875,-63.0467529297,0,0,0,0,0,0.0
48,00:00.96,3.4453125,-59.796875,-63.0468444824,0,0,0,0,0,0.0
49,00:00.98,3.375,-59.8125,-63.0118408203,0,0,0,0,0,0.0
50,00:01.0,3.28125,-59.8203125,-62.9667663574,0,0,0,0,0,0.0
51,00:01.2,3.171875,-59.8125,-62.9193725586,0,0,0,0,0,0.0
52,00:01.4,3.0703125,-59.796875,-62.8946838379,0,0,0,0,0,0.0
53,00:01.6,2.9453125,-59.7578125,-62.9083557129,0,0,0,0,0,0.0
54,00:01.8,2.8671875,-59.75,-62.8983764648,0,0,0,0,0,0.0
55,00:01.10,2.828125,-59.7578125,-62.8906555176,0,0,0,0,0,0.0
56,00:01.12,2.828125,-59.7578125,-62.912902832,0,0,0,0,0,0.0
