,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-21.328125,-39.6484375,-51.9390563965,0,0,0,0,0,0.0
1,00:00.2,-21.1015625,-39.765625,-51.9746704102,0,0,0,0,0,0.0
2,00:00.4,-21.0078125,-39.921875,-51.9337768555,0,0,0,0,0,0.0
3,00:00.6,-20.9921875,-40.078125,-51.8505859375,0,0,0,0,0,0.0
4,00:00.8,-21.0390625,-40.2890625,-51.7690429688,0,0,0,0,0,0.0
5,00:00.10,-21.046875,-40.5859375,-51.6826782227,0,0,0,0,0,0.0
6,00:00.12,-20.9765625,-40.875,-51.6602783203,0,0,0,0,0,0.0
7,00:00.14,-20.8671875,-41.1171875,-51.7247009277,0,0,0,0,0,0.0
8,00:00.16,-20.75,-41.25,-51.8171081543,0,0,0,0,0,0.0
9,00:00.18,-20.6640625,-41.3359375,-51.7898864746,0,0,0,0,0,0.0
10,00:00.20,-20.4765625,-41.3515625,-51.6657409668,0,0,0,0,0,0.0
11,00:00.22,-20.171875,-41.375,-51.5488586426,0,0,0,0,0,0.0
12,00:00.24,-19.7734375,-41.4609375,-51.5140075684,0,0,0,0,0,0.0
13,00:00.26,-19.34375,-41.609375,-51.5346374512,0,0,0,0,0,0.0
14,00:00.28,-18.90625,-41.796875,-51.5899353027,0,0,0,0,0,0.0
15,00:00.30,-18.46875,-42.03125,-51.657409668,0,0,0,0,0,0.0
16,00:00.32,-18.046875,-42.2890625,-51.7126464844,0,0,0,0,0,0.0
17,00:00.34,-17.65625,-42.6015625,-51.7166137695,0,0,0,0,0,0.0
18,00:00.36,-17.3046875,-42.859375,-51.7297973633,0,0,0,0,0,0.0
19,00:00.38,-17.0078125,-43.03125,-51.7849731445,0,0,0,0,0,0.0
20,00:00.40,-16.8046875,-43.1328125,-51.7991027832,0,0,0,0,0,0.0
21,00:00.42,-16.71875,-43.140625,-51.7761230469,0,0,0,0,0,0.0
22,00:00.44,-16.7265625,-43.0390625,-51.7756958008,0,0,0,0,0,0.0
23,00:00.46,-16.8125,-42.8828125,-51.8353271484,0,0,0,0,0,0.0
24,00:00.48,-16.984375,-42.75,-51.8687438965,0,0,0,0,0,0.0
25,00:00.50,-17.1796875,-42.6171875,-51.7811279297,0,0,0,0,0,0.0
26,00:00.52,-17.296875,-42.4453125,-51.6435546875,0,0,0,0,0,0.0
27,00:00.54,-17.3203125,-42.28125,-51.550994873,0,0,0,0,0,0.0
28,00:00.56,-17.3046875,-42.2109375,-51.5418395996,0,0,0,0,0,0.0
29,00:00.58,-17.34375,-42.2109375,-51.5050354004,0,0,0,0,0,0.0
30,00:00.60,-17.390625,-42.15625,-51.4261779785,0,0,0,0,0,0.0
31,00:00.62,-17.4140625,-42.046875,-51.3235778809,0,0,0,0,0,0.0
32,00:00.64,-17.3515625,-41.9765625,-51.2717590332,0,0,0,0,0,0.0
33,00:00.66,-17.25,-41.9609375,-51.2893066406,0,0,0,0,0,0.0
34,00:00.68,-17.1484375,-41.9453125,-51.3160705566,0,0,0,0,0,0.0
35,00:00.70,-17.0625,-41.8984375,-51.255645752,0,0,0,0,0,0.0
36,00:00.72,-17.015625,-41.796875,-51.184967041,0,0,0,0,0,0.0
37,00:00.74,-17.015625,-41.7109375,-51.184387207,0,0,0,0,0,0.0
38,00:00.76,-17.03125,-41.671875,-51.2713317871,0,0,0,0,0,0.0
39,00:00.78,-17.046875,-41.703125,-51.3309326172,0,0,0,0,0,0.0
40,00:00.80,-17.046875,-41.75,-51.3128356934,0,0,0,0,0,0.0
41,00:00.82,-17.015625,-41.6796875,-51.2478637695,0,0,0,0,0,0.0
42,00:00.84,-16.921875,-41.53125,-51.1837158203,0,0,0,0,0,0.0
43,00:00.86,-16.7890625,-41.3671875,-51.1628723145,0,0,0,0,0,0.0
44,00:00.88,-16.6484375,-41.2109375,-51.1518859863,0,0,0,0,0,0.0
45,00:00.90,-16.5546875,-41.0859375,-51.151184082,0,0,0,0,0,0.0
46,00:00.92,-16.484375,-40.96875,-51.1404418945,0,0,0,0,0,0.0
47,00:00.94,-16.484375,-40.859375,-51.1165161133,0,0,0,0,0,0.0
48,00:00.96,-16.5703125,-40.75,-51.115814209,0,0,0,0,0,0.0
49,00:00.98,-16.71875,-40.671875,-51.2210693359,0,0,0,0,0,0.0
50,00:01.0,-16.890625,-40.6171875,-51.3510742188,0,0,0,0,0,0.0
51,00:01.2,-17.09375,-40.6171875,-51.3605041504,0,0,0,0,0,0.0
52,00:01.4,-17.2890625,-40.6484375,-51.2784423828,0,0,0,0,0,0.0
53,00:01.6,-17.4609375,-40.6328125,-51.1905517578,0,0,0,0,0,0.0
54,00:01.8,-17.5859375,-40.5546875,-51.1769104004,0,0,0,0,0,0.0
55,00:01.10,-17.6640625,-40.4921875,-51.1897583008,0,0,0,0,0,0.0
56,00:01.12,-17.6640625,-40.4296875,-51.1583251953,0,0,0,0,0,0.0
57,00:01.14,-17.609375,-40.328125,-51.0984191895,0,0,0,0,0,0.0
58,00:01.16,-17.5234375,-40.21875,-51.0597839355,0,0,0,0,0,0.0
59,00:01.18,-17.421875,-40.1484375,-51.0592346191,0,0,0,0,0,0.0
60,00:01.20,-17.34375,-40.171875,-51.0549621582,0,0,0,0,0,0.0
61,00:01.22,-17.3125,-40.28125,-51.0321655273,0,0,0,0,0,0.0
62,00:01.24,-17.28125,-40.40625,-51.0184631348,0,0,0,0,0,0.0
63,00:01.26,-17.2890625,-40.515625,-51.0136413574,0,0,0,0,0,0.0
64,00:01.28,-17.34375,-40.59375,-51.0230102539,0,0,0,0,0,0.0
65,00:01.30,-17.4375,-40.6171875,-51.0368041992,0,0,0,0,0,0.0
66,00:01.32,-17.53125,-40.5703125,-51.0546569824,0,0,0,0,0,0.0
67,00:01.34,-17.609375,-40.484375,-51.059753418,0,0,0,0,0,0.0
68,00:01.36,-17.6796875,-40.3828125,-51.0501403809,0,0,0,0,0,0.0
69,00:01.38,-17.7734375,-40.2421875,-51.0364379883,0,0,0,0,0,0.0
70,00:01.40,-17.890625,-40.1171875,-51.0049743652,0,0,0,0,0,0.0
71,00:01.42,-18.0078125,-40.0390625,-50.9914245605,0,0,0,0,0,0.0
72,00:01.44,-18.1171875,-40.0078125,-50.9969787598,0,0,0,0,0,0.0
73,00:01.46,-18.171875,-40.03125,-50.9931640625,0,0,0,0,0,0.0
74,00:01.48,-18.203125,-40.1015625,-50.9927978516,0,0,0,0,0,0.0
75,00:01.50,-18.21875,-40.2109375,-50.9925537109,0,0,0,0,0,0.0
76,00:01.52,-18.1875,-40.3046875,-51.0021057129,0,0,0,0,0,0.0
77,00:01.54,-18.109375,-40.40625,-51.0107116699,0,0,0,0,0,0.0
78,00:01.56,-18.0078125,-40.5,-51.0063171387,0,0,0,0,0,0.0
79,00:01.58,-17.9375,-40.546875,-50.9734802246,0,0,0,0,0,0.0
80,00:01.60,-17.875,-40.5390625,-50.9600524902,0,0,0,0,0,0.0
81,00:01.62,-17.84375,-40.546875,-50.9548950195,0,0,0,0,0,0.0
