,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,2.703125,-57.1171875,-65.4307861328,0,0,0,0,0,0.0
1,00:00.2,1.9765625,-57.28125,-65.5266723633,0,0,0,0,0,0.0
2,00:00.4,1.390625,-57.4921875,-65.5148620605,0,0,0,0,0,0.0
3,00:00.6,1.125,-57.7421875,-65.4313964844,0,0,0,0,0,0.0
4,00:00.8,1.2421875,-57.984375,-65.1936340332,0,0,0,0,0,0.0
5,00:00.10,1.5625,-58.109375,-64.8990478516,0,0,0,0,0,0.0
6,00:00.12,1.9375,-58.0,-64.6826477051,0,0,0,0,0,0.0
7,00:00.14,2.265625,-57.6953125,-64.6480102539,0,0,0,0,0,0.0
8,00:00.16,2.640625,-57.296875,-64.7795715332,0,0,0,0,0,0.0
9,00:00.18,3.1640625,-56.9453125,-64.9101867676,0,0,0,0,0,0.0
10,00:00.20,3.9140625,-56.6953125,-64.9622802734,0,0,0,0,0,0.0
11,00:00.22,4.8515625,-56.515625,-64.9697265625,0,0,0,0,0,0.0
12,00:00.24,5.859375,-56.40625,-64.990234375,0,0,0,0,0,0.0
13,00:00.26,6.765625,-56.40625,-65.0276489258,0,0,0,0,0,0.0
14,00:00.28,7.5078125,-56.5,-65.0872192383,0,0,0,0,0,0.0
15,00:00.30,8.1015625,-56.6953125,-65.0802612305,0,0,0,0,0,0.0
16,00:00.32,8.6328125,-56.9296875,-65.0628356934,0,0,0,0,0,0.0
17,00:00.34,9.09375,-57.125,-65.1816711426,0,0,0,0,0,0.0
18,00:00.36,9.3984375,-57.3125,-65.3984985352,0,0,0,0,0,0.0
19,00:00.38,9.53125,-57.5078125,-65.6342163086,0,0,0,0,0,0.0
20,00:00.40,9.515625,-57.703125,-65.8203125,0,0,0,0,0,0.0
21,00:00.42,9.40625,-57.9140625,-65.8647460938,0,0,0,0,0,0.0
22,00:00.44,9.3046875,-58.1328125,-65.7186279297,0,0,0,0,0,0.0
23,00:00.46,9.2890625,-58.375,-65.4664611816,0,0,0,0,0,0.0
24,00:00.48,9.4140625,-58.6484375,-65.263458252,0,0,0,0,0,0.0
25,00:00.50,9.6171875,-58.953125,-65.1813354492,0,0,0,0,0,0.0
26,00:00.52,9.8203125,-59.265625,-65.2257080078,0,0,0,0,0,0.0
27,00:00.54,10.0390625,-59.5859375,-65.3521728516,0,0,0,0,0,0.0
28,00:00.56,10.21875,-59.890625,-65.5568847656,0,0,0,0,0,0.0
29,00:00.58,10.3046875,-60.2109375,-65.7002868652,0,0,0,0,0,0.0
30,00:00.60,10.2890625,-60.6015625,-65.6846923828,0,0,0,0,0,0.0
31,00:00.62,10.25,-61.015625,-65.5609436035,0,0,0,0,0,0.0
32,00:00.64,10.25,-61.4296875,-65.4201965332,0,0,0,0,0,0.0
33,00:00.66,10.34375,-61.796875,-65.3273925781,0,0,0,0,0,0.0
34,00:00.68,10.4921875,-62.09375,-65.3227844238,0,0,0,0,0,0.0
35,00:00.70,10.6171875,-62.296875,-65.3998718262,0,0,0,0,0,0.0
36,00:00.72,10.75,-62.40625,-65.4573974609,0,0,0,0,0,0.0
37,00:00.74,10.8046875,-62.453125,-65.4595031738,0,0,0,0,0,0.0
38,00:00.76,10.8359375,-62.453125,-65.4361877441,0,0,0,0,0,0.0
39,00:00.78,10.8203125,-62.3671875,-65.4524230957,0,0,0,0,0,0.0
40,00:00.80,10.7421875,-62.265625,-65.4243469238,0,0,0,0,0,0.0
41,00:00.82,10.5703125,-62.1015625,-65.333984375,0,0,0,0,0,0.0
42,00:00.84,10.3125,-61.921875,-65.1910705566,0,0,0,0,0,0.0
43,00:00.86,10.015625,-61.671875,-65.0844421387,0,0,0,0,0,0.0
44,00:00.88,9.6640625,-61.3828125,-65.0706787109,0,0,0,0,0,0.0
45,00:00.90,9.2109375,-61.140625,-65.0839538574,0,0,0,0,0,0.0
46,00:00.92,8.59375,-60.96875,-65.0598144531,0,0,0,0,0,0.0
47,00:00.94,7.8359375,-60.8671875,-65.0165100098,0,0,0,0,0,0.0
48,00:00.96,7.0625,-60.8046875,-65.0018920898,0,0,0,0,0,0.0
49,00:00.98,6.3671875,-60.796875,-65.0568847656,0,0,0,0,0,0.0
50,00:01.0,5.7890625,-60.953125,-65.0832824707,0,0,0,0,0,0.0
