,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,10.9921875,-46.0234375,-65.0139160156,0,0,0,0,0,0.0
1,00:00.2,10.7578125,-46.0,-65.0028991699,0,0,0,0,0,0.0
2,00:00.4,10.5234375,-45.9609375,-65.0009765625,0,0,0,0,0,0.0
3,00:00.6,10.3515625,-45.9140625,-64.9946289062,0,0,0,0,0,0.0
4,00:00.8,10.28125,-45.90625,-64.939239502,0,0,0,0,0,0.0
5,00:00.10,10.25,-45.8828125,-64.921295166,0,0,0,0,0,0.0
6,00:00.12,10.2421875,-45.84375,-64.9717102051,0,0,0,0,0,0.0
7,00:00.14,10.2421875,-45.84375,-65.0124511719,0,0,0,0,0,0.0
8,00:00.16,10.2421875,-45.8828125,-65.0123291016,0,0,0,0,0,0.0
9,00:00.18,10.3125,-45.984375,-64.9580688477,0,0,0,0,0,0.0
10,00:00.20,10.453125,-46.1015625,-64.9082336426,0,0,0,0,0,0.0
11,00:00.22,10.578125,-46.1640625,-64.9223937988,0,0,0,0,0,0.0
12,00:00.24,10.6640625,-46.1875,-64.9908752441,0,0,0,0,0,0.0
13,00:00.26,10.625,-46.234375,-65.0775756836,0,0,0,0,0,0.0
14,00:00.28,10.625,-46.3125,-65.0780029297,0,0,0,0,0,0.0
15,00:00.30,10.6484375,-46.40625,-65.0465393066,0,0,0,0,0,0.0
16,00:00.32,10.609375,-46.4375,-65.1150817871,0,0,0,0,0,0.0
17,00:00.34,10.5234375,-46.484375,-65.183013916,0,0,0,0,0,0.0
18,00:00.36,10.4296875,-46.4921875,-65.1691894531,0,0,0,0,0,0.0
19,00:00.38,10.296875,-46.453125,-65.1036682129,0,0,0,0,0,0.0
20,00:00.40,10.078125,-46.3671875,-65.0289306641,0,0,0,0,0,0.0
21,00:00.42,9.78125,-46.2421875,-64.9440917969,0,0,0,0,0,0.0
22,00:00.44,9.515625,-46.1328125,-64.8732299805,0,0,0,0,0,0.0
23,00:00.46,9.3125,-46.03125,-64.8577270508,0,0,0,0,0,0.0
