,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,21.5234375,-83.6171875,-50.8034362793,0,0,0,0,0,0.0
1,00:00.2,21.421875,-84.21875,-50.823638916,0,0,0,0,0,0.0
2,00:00.4,21.3046875,-84.6953125,-50.7933654785,0,0,0,0,0,0.0
3,00:00.6,21.1328125,-84.984375,-50.8052368164,0,0,0,0,0,0.0
4,00:00.8,20.90625,-85.1171875,-50.8859863281,0,0,0,0,0,0.0
5,00:00.10,20.6171875,-85.1640625,-50.9826965332,0,0,0,0,0,0.0
6,00:00.12,20.296875,-85.1484375,-51.0635986328,0,0,0,0,0,0.0
7,00:00.14,19.9765625,-85.0390625,-51.111907959,0,0,0,0,0,0.0
8,00:00.16,19.7578125,-84.9921875,-51.0877990723,0,0,0,0,0,0.0
9,00:00.18,19.6484375,-84.9140625,-51.0707702637,0,0,0,0,0,0.0
10,00:00.20,19.609375,-84.7578125,-51.0907592773,0,0,0,0,0,0.0
11,00:00.22,19.609375,-84.53125,-51.114074707,0,0,0,0,0,0.0
12,00:00.24,19.609375,-84.28125,-51.1332092285,0,0,0,0,0,0.0
13,00:00.26,19.609375,-84.0625,-51.2160339355,0,0,0,0,0,0.0
14,00:00.28,19.6875,-83.8359375,-51.354309082,0,0,0,0,0,0.0
15,00:00.30,19.90625,-83.6328125,-51.467956543,0,0,0,0,0,0.0
16,00:00.32,20.203125,-83.3671875,-51.5004272461,0,0,0,0,0,0.0
17,00:00.34,20.5234375,-82.7734375,-51.5297851562,0,0,0,0,0,0.0
18,00:00.36,20.8828125,-81.703125,-51.6335754395,0,0,0,0,0,0.0
19,00:00.38,21.296875,-80.2578125,-51.7917785645,0,0,0,0,0,0.0
20,00:00.40,21.8125,-78.6015625,-51.906829834,0,0,0,0,0,0.0
21,00:00.42,22.390625,-76.84375,-51.944152832,0,0,0,0,0,0.0
22,00:00.44,22.9765625,-74.9140625,-51.9432983398,0,0,0,0,0,0.0
23,00:00.46,23.5,-72.84375,-51.9352722168,0,0,0,0,0,0.0
24,00:00.48,23.953125,-70.703125,-51.9468078613,0,0,0,0,0,0.0
25,00:00.50,24.3515625,-68.6171875,-51.9483032227,0,0,0,0,0,0.0
26,00:00.52,24.6953125,-66.625,-51.945892334,0,0,0,0,0,0.0
27,00:00.54,25.0625,-64.75,-51.9751586914,0,0,0,0,0,0.0
28,00:00.56,25.4921875,-63.0,-52.0407409668,0,0,0,0,0,0.0
29,00:00.58,26.046875,-61.359375,-52.135345459,0,0,0,0,0,0.0
30,00:00.60,26.6953125,-59.796875,-52.2804870605,0,0,0,0,0,0.0
31,00:00.62,27.3125,-58.2265625,-52.4832763672,0,0,0,0,0,0.0
32,00:00.64,27.8671875,-56.6640625,-52.7036132812,0,0,0,0,0,0.0
33,00:00.66,28.375,-55.015625,-52.9050292969,0,0,0,0,0,0.0
34,00:00.68,28.7890625,-53.2265625,-53.0690307617,0,0,0,0,0,0.0
35,00:00.70,29.1484375,-51.2734375,-53.1550598145,0,0,0,0,0,0.0
36,00:00.72,29.46875,-49.0859375,-53.1755065918,0,0,0,0,0,0.0
37,00:00.74,29.765625,-46.8125,-53.1385803223,0,0,0,0,0,0.0
38,00:00.76,30.0546875,-44.5234375,-53.0535888672,0,0,0,0,0,0.0
39,00:00.78,30.3359375,-42.2734375,-52.9259338379,0,0,0,0,0,0.0
40,00:00.80,30.5234375,-40.0546875,-52.7862854004,0,0,0,0,0,0.0
41,00:00.82,30.5859375,-37.984375,-52.6233520508,0,0,0,0,0,0.0
42,00:00.84,30.5703125,-36.1484375,-52.4090881348,0,0,0,0,0,0.0
43,00:00.86,30.515625,-34.5390625,-52.2510681152,0,0,0,0,0,0.0
44,00:00.88,30.4921875,-33.125,-52.1885070801,0,0,0,0,0,0.0
45,00:00.90,30.515625,-31.890625,-52.1364135742,0,0,0,0,0,0.0
46,00:00.92,30.59375,-30.7734375,-52.0410461426,0,0,0,0,0,0.0
47,00:00.94,30.71875,-29.6875,-51.9241638184,0,0,0,0,0,0.0
