,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-28.640625,-78.53125,-74.2137145996,0,0,0,0,0,0.0
1,00:00.2,-27.484375,-77.8359375,-74.3510437012,0,0,0,0,0,0.0
2,00:00.4,-26.625,-77.4296875,-74.371307373,0,0,0,0,0,0.0
3,00:00.6,-25.8828125,-77.265625,-74.4239807129,0,0,0,0,0,0.0
4,00:00.8,-25.0703125,-77.3125,-74.5949707031,0,0,0,0,0,0.0
5,00:00.10,-24.2578125,-77.5625,-74.8034362793,0,0,0,0,0,0.0
6,00:00.12,-23.7109375,-78.0234375,-74.773223877,0,0,0,0,0,0.0
7,00:00.14,-23.5078125,-78.5,-74.5239257812,0,0,0,0,0,0.0
8,00:00.16,-23.5859375,-78.7734375,-74.373260498,0,0,0,0,0,0.0
9,00:00.18,-23.8515625,-78.9609375,-74.3070678711,0,0,0,0,0,0.0
10,00:00.20,-23.9375,-79.140625,-74.380859375,0,0,0,0,0,0.0
11,00:00.22,-23.484375,-79.1328125,-74.8744506836,0,0,0,0,0,0.0
12,00:00.24,-22.703125,-79.0234375,-75.4343261719,0,0,0,0,0,0.0
13,00:00.26,-22.1015625,-79.1328125,-75.2948608398,0,0,0,0,0,0.0
14,00:00.28,-21.796875,-79.65625,-74.4055480957,0,0,0,0,0,0.0
15,00:00.30,-21.6796875,-80.3671875,-73.1222229004,0,0,0,0,0,0.0
16,00:00.32,-21.5234375,-80.9296875,-71.933807373,0,0,0,0,0,0.0
17,00:00.34,-20.828125,-81.046875,-71.354095459,0,0,0,0,0,0.0
18,00:00.36,-19.46875,-80.421875,-71.8893432617,0,0,0,0,0,0.0
19,00:00.38,-17.953125,-79.1796875,-73.2506713867,0,0,0,0,0,0.0
20,00:00.40,-16.734375,-78.1015625,-74.335723877,0,0,0,0,0,0.0
21,00:00.42,-15.9375,-77.3984375,-74.785949707,0,0,0,0,0,0.0
22,00:00.44,-15.59375,-76.8515625,-75.0294799805,0,0,0,0,0,0.0
23,00:00.46,-15.5078125,-76.4921875,-75.1291809082,0,0,0,0,0,0.0
24,00:00.48,-15.3515625,-76.5859375,-74.8106384277,0,0,0,0,0,0.0
25,00:00.50,-15.09375,-77.0,-74.2658081055,0,0,0,0,0,0.0
26,00:00.52,-14.375,-77.2578125,-73.8142089844,0,0,0,0,0,0.0
27,00:00.54,-13.25,-77.1015625,-73.4825439453,0,0,0,0,0,0.0
28,00:00.56,-12.21875,-76.453125,-73.1120300293,0,0,0,0,0,0.0
29,00:00.58,-11.46875,-75.171875,-72.7643127441,0,0,0,0,0,0.0
30,00:00.60,-10.96875,-73.265625,-72.4823303223,0,0,0,0,0,0.0
31,00:00.62,-10.5078125,-70.765625,-72.2391967773,0,0,0,0,0,0.0
32,00:00.64,-10.1171875,-67.671875,-72.2612304688,0,0,0,0,0,0.0
33,00:00.66,-10.015625,-64.296875,-72.6047668457,0,0,0,0,0,0.0
34,00:00.68,-10.203125,-61.0546875,-72.9690551758,0,0,0,0,0,0.0
35,00:00.70,-10.171875,-58.1796875,-72.9927062988,0,0,0,0,0,0.0
36,00:00.72,-9.4375,-55.5,-72.736328125,0,0,0,0,0,0.0
37,00:00.74,-8.1953125,-52.8125,-72.600402832,0,0,0,0,0,0.0
38,00:00.76,-6.953125,-50.171875,-72.8945617676,0,0,0,0,0,0.0
