,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,38.4453125,-72.046875,-49.3626098633,0,0,0,0,0,0.0
1,00:00.2,39.0625,-72.890625,-49.4353027344,0,0,0,0,0,0.0
2,00:00.4,39.65625,-73.7890625,-49.5036315918,0,0,0,0,0,0.0
3,00:00.6,40.203125,-74.703125,-49.5710449219,0,0,0,0,0,0.0
4,00:00.8,40.703125,-75.5546875,-49.6458129883,0,0,0,0,0,0.0
5,00:00.10,41.0,-76.2734375,-49.7726745605,0,0,0,0,0,0.0
6,00:00.12,41.1328125,-76.8828125,-49.9255371094,0,0,0,0,0,0.0
7,00:00.14,41.2109375,-77.453125,-50.0477905273,0,0,0,0,0,0.0
8,00:00.16,41.2578125,-77.9921875,-50.1142883301,0,0,0,0,0,0.0
9,00:00.18,41.3359375,-78.46875,-50.151184082,0,0,0,0,0,0.0
10,00:00.20,41.4375,-78.875,-50.1737976074,0,0,0,0,0,0.0
11,00:00.22,41.5859375,-79.2265625,-50.1593933105,0,0,0,0,0,0.0
12,00:00.24,41.828125,-79.5859375,-50.0674743652,0,0,0,0,0,0.0
13,00:00.26,42.171875,-79.796875,-49.9669494629,0,0,0,0,0,0.0
14,00:00.28,42.5546875,-79.8046875,-49.9066467285,0,0,0,0,0,0.0
15,00:00.30,42.921875,-79.5703125,-49.9194641113,0,0,0,0,0,0.0
16,00:00.32,43.3515625,-79.1171875,-49.9607849121,0,0,0,0,0,0.0
17,00:00.34,43.8515625,-78.578125,-49.9315490723,0,0,0,0,0,0.0
18,00:00.36,44.3203125,-77.953125,-49.8459777832,0,0,0,0,0,0.0
19,00:00.38,44.71875,-77.1796875,-49.7723999023,0,0,0,0,0,0.0
20,00:00.40,45.0,-76.2734375,-49.7186584473,0,0,0,0,0,0.0
21,00:00.42,45.109375,-75.34375,-49.6298217773,0,0,0,0,0,0.0
22,00:00.44,45.0234375,-74.46875,-49.5090026855,0,0,0,0,0,0.0
23,00:00.46,44.765625,-73.609375,-49.4017944336,0,0,0,0,0,0.0
24,00:00.48,44.4453125,-72.8046875,-49.3241577148,0,0,0,0,0,0.0
25,00:00.50,44.0625,-72.1328125,-49.2521362305,0,0,0,0,0,0.0
26,00:00.52,43.6171875,-71.625,-49.1666564941,0,0,0,0,0,0.0
27,00:00.54,43.015625,-71.28125,-49.0821533203,0,0,0,0,0,0.0
28,00:00.56,42.2265625,-71.0546875,-49.0260925293,0,0,0,0,0,0.0
29,00:00.58,41.296875,-70.9296875,-49.0285949707,0,0,0,0,0,0.0
30,00:00.60,40.3515625,-71.015625,-49.0253601074,0,0,0,0,0,0.0
31,00:00.62,39.4765625,-71.3125,-49.0240478516,0,0,0,0,0,0.0
32,00:00.64,38.6484375,-71.75,-49.0632324219,0,0,0,0,0,0.0
33,00:00.66,37.8046875,-72.265625,-49.1508789062,0,0,0,0,0,0.0
34,00:00.68,37.0234375,-72.8359375,-49.2564697266,0,0,0,0,0,0.0
35,00:00.70,36.3359375,-73.484375,-49.3289489746,0,0,0,0,0,0.0
36,00:00.72,35.8359375,-74.1328125,-49.3374328613,0,0,0,0,0,0.0
37,00:00.74,35.53125,-74.7265625,-49.2995300293,0,0,0,0,0,0.0
38,00:00.76,35.328125,-75.1796875,-49.2487487793,0,0,0,0,0,0.0
39,00:00.78,35.265625,-75.5078125,-49.1888122559,0,0,0,0,0,0.0
