,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-19.5625,-119.6171875,-63.2783813477,0,0,0,0,0,0.0
1,00:00.2,-19.4765625,-120.6640625,-63.3302612305,0,0,0,0,0,0.0
2,00:00.4,-19.4140625,-121.96875,-63.3910827637,0,0,0,0,0,0.0
3,00:00.6,-19.296875,-123.6171875,-63.4640197754,0,0,0,0,0,0.0
4,00:00.8,-19.078125,-125.625,-63.5627746582,0,0,0,0,0,0.0
5,00:00.10,-18.8671875,-127.8203125,-63.7415466309,0,0,0,0,0,0.0
6,00:00.12,-18.7578125,-129.8828125,-64.096282959,0,0,0,0,0,0.0
7,00:00.14,-18.75,-131.625,-64.5989379883,0,0,0,0,0,0.0
8,00:00.16,-18.9140625,-133.0,-65.1080932617,0,0,0,0,0,0.0
9,00:00.18,-19.4609375,-133.859375,-65.5946960449,0,0,0,0,0,0.0
10,00:00.20,-20.21875,-133.9921875,-66.0507202148,0,0,0,0,0,0.0
11,00:00.22,-21.15625,-133.3359375,-66.3527526855,0,0,0,0,0,0.0
12,00:00.24,-22.234375,-131.890625,-66.3932800293,0,0,0,0,0,0.0
13,00:00.26,-23.203125,-130.0,-66.0888977051,0,0,0,0,0,0.0
14,00:00.28,-24.0,-127.8125,-65.4927062988,0,0,0,0,0,0.0
15,00:00.30,-24.578125,-124.9453125,-64.8362121582,0,0,0,0,0,0.0
16,00:00.32,-24.9296875,-121.3671875,-64.2151794434,0,0,0,0,0,0.0
17,00:00.34,-25.0234375,-117.1640625,-63.674621582,0,0,0,0,0,0.0
18,00:00.36,-24.8515625,-112.390625,-63.2723999023,0,0,0,0,0,0.0
19,00:00.38,-24.4140625,-107.609375,-62.9645996094,0,0,0,0,0,0.0
20,00:00.40,-23.7109375,-103.2421875,-62.8166503906,0,0,0,0,0,0.0
21,00:00.42,-22.6796875,-99.203125,-62.8887329102,0,0,0,0,0,0.0
22,00:00.44,-21.4140625,-95.21875,-63.1483459473,0,0,0,0,0,0.0
23,00:00.46,-19.90625,-91.359375,-63.4410705566,0,0,0,0,0,0.0
24,00:00.48,-18.203125,-87.765625,-63.6239318848,0,0,0,0,0,0.0
25,00:00.50,-16.359375,-84.3046875,-63.722442627,0,0,0,0,0,0.0
26,00:00.52,-14.4921875,-80.6328125,-63.8474121094,0,0,0,0,0,0.0
27,00:00.54,-12.7109375,-76.8203125,-63.9379577637,0,0,0,0,0,0.0
28,00:00.56,-11.203125,-72.96875,-63.9193115234,0,0,0,0,0,0.0
29,00:00.58,-10.1796875,-69.328125,-63.7474365234,0,0,0,0,0,0.0
30,00:00.60,-9.7109375,-66.015625,-63.453918457,0,0,0,0,0,0.0
31,00:00.62,-9.796875,-62.9921875,-63.1542663574,0,0,0,0,0,0.0
32,00:00.64,-10.234375,-60.21875,-62.9474182129,0,0,0,0,0,0.0
33,00:00.66,-10.7578125,-57.75,-62.9513244629,0,0,0,0,0,0.0
34,00:00.68,-11.296875,-55.421875,-63.2937316895,0,0,0,0,0,0.0
35,00:00.70,-12.0390625,-53.2578125,-63.7101135254,0,0,0,0,0,0.0
36,00:00.72,-13.15625,-51.3984375,-63.8349304199,0,0,0,0,0,0.0
37,00:00.74,-14.5,-49.9375,-63.6543884277,0,0,0,0,0,0.0
38,00:00.76,-15.9296875,-48.8671875,-63.2814941406,0,0,0,0,0,0.0
39,00:00.78,-17.1953125,-48.0078125,-62.8663330078,0,0,0,0,0,0.0
40,00:00.80,-18.09375,-47.25,-62.5049133301,0,0,0,0,0,0.0
41,00:00.82,-18.640625,-46.53125,-62.3222045898,0,0,0,0,0,0.0
42,00:00.84,-18.890625,-45.859375,-62.341217041,0,0,0,0,0,0.0
43,00:00.86,-18.8359375,-45.2734375,-62.4316711426,0,0,0,0,0,0.0
44,00:00.88,-18.4375,-44.6484375,-62.3928527832,0,0,0,0,0,0.0
45,00:00.90,-17.8125,-43.8359375,-62.3015136719,0,0,0,0,0,0.0
46,00:00.92,-17.0859375,-42.796875,-62.2173156738,0,0,0,0,0,0.0
47,00:00.94,-16.3828125,-41.6171875,-62.0252075195,0,0,0,0,0,0.0
48,00:00.96,-15.765625,-40.2734375,-61.5945739746,0,0,0,0,0,0.0
49,00:00.98,-15.2109375,-38.8125,-61.1485290527,0,0,0,0,0,0.0
50,00:01.0,-14.671875,-37.546875,-60.9805297852,0,0,0,0,0,0.0
51,00:01.2,-14.046875,-36.71875,-61.2041625977,0,0,0,0,0,0.0
52,00:01.4,-13.4375,-36.359375,-61.5969238281,0,0,0,0,0,0.0
53,00:01.6,-13.03125,-36.4140625,-61.9822387695,0,0,0,0,0,0.0
54,00:01.8,-12.8125,-36.9296875,-62.3332824707,0,0,0,0,0,0.0
55,00:01.10,-12.6484375,-37.859375,-62.6300048828,0,0,0,0,0,0.0
