,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-2.8515625,-87.3203125,-92.9463195801,0,0,0,0,0,0.0
1,00:00.2,-2.4921875,-87.703125,-92.8438720703,0,0,0,0,0,0.0
2,00:00.4,-2.4140625,-87.8203125,-92.6901550293,0,0,0,0,0,0.0
3,00:00.6,-2.5625,-87.6015625,-92.6035461426,0,0,0,0,0,0.0
4,00:00.8,-2.78125,-87.046875,-92.6118774414,0,0,0,0,0,0.0
5,00:00.10,-3.0625,-86.390625,-92.6377563477,0,0,0,0,0,0.0
6,00:00.12,-3.4140625,-85.828125,-92.6572875977,0,0,0,0,0,0.0
7,00:00.14,-3.859375,-85.5234375,-92.5866699219,0,0,0,0,0,0.0
8,00:00.16,-4.3046875,-85.4296875,-92.4122009277,0,0,0,0,0,0.0
9,00:00.18,-4.625,-85.3984375,-92.2282714844,0,0,0,0,0,0.0
10,00:00.20,-4.875,-85.2734375,-92.1145935059,0,0,0,0,0,0.0
11,00:00.22,-5.0859375,-85.0546875,-92.058013916,0,0,0,0,0,0.0
12,00:00.24,-5.390625,-84.8046875,-92.1685791016,0,0,0,0,0,0.0
13,00:00.26,-5.7890625,-84.625,-92.4036254883,0,0,0,0,0,0.0
14,00:00.28,-6.1875,-84.640625,-92.6522216797,0,0,0,0,0,0.0
15,00:00.30,-6.4765625,-84.828125,-92.9305725098,0,0,0,0,0,0.0
16,00:00.32,-6.453125,-85.0,-93.2653198242,0,0,0,0,0,0.0
17,00:00.34,-6.1015625,-85.1484375,-93.4355163574,0,0,0,0,0,0.0
18,00:00.36,-5.5859375,-85.265625,-93.263458252,0,0,0,0,0,0.0
19,00:00.38,-5.03125,-85.3046875,-92.755859375,0,0,0,0,0,0.0
20,00:00.40,-4.5,-85.359375,-92.0076599121,0,0,0,0,0,0.0
21,00:00.42,-3.9140625,-85.4609375,-91.2659606934,0,0,0,0,0,0.0
22,00:00.44,-3.2734375,-85.4375,-90.8806762695,0,0,0,0,0,0.0
23,00:00.46,-2.6875,-85.3359375,-90.8577880859,0,0,0,0,0,0.0
24,00:00.48,-2.234375,-85.375,-90.8603515625,0,0,0,0,0,0.0
25,00:00.50,-1.96875,-85.6171875,-90.7034301758,0,0,0,0,0,0.0
26,00:00.52,-1.9140625,-86.0625,-90.4058532715,0,0,0,0,0,0.0
27,00:00.54,-2.0625,-86.4765625,-90.2597961426,0,0,0,0,0,0.0
28,00:00.56,-2.3359375,-86.6796875,-90.5716552734,0,0,0,0,0,0.0
29,00:00.58,-2.6015625,-86.640625,-91.3084411621,0,0,0,0,0,0.0
30,00:00.60,-2.796875,-86.6875,-91.9134521484,0,0,0,0,0,0.0
31,00:00.62,-2.921875,-86.953125,-92.1524658203,0,0,0,0,0,0.0
32,00:00.64,-2.953125,-87.2578125,-92.1560974121,0,0,0,0,0,0.0
33,00:00.66,-2.9140625,-87.4453125,-91.9852905273,0,0,0,0,0,0.0
34,00:00.68,-2.7578125,-87.5,-91.6769104004,0,0,0,0,0,0.0
35,00:00.70,-2.5390625,-87.4765625,-91.2457580566,0,0,0,0,0,0.0
36,00:00.72,-2.2578125,-87.46875,-90.7313232422,0,0,0,0,0,0.0
37,00:00.74,-1.953125,-87.5,-90.2089233398,0,0,0,0,0,0.0
38,00:00.76,-1.640625,-87.6171875,-89.7113952637,0,0,0,0,0,0.0
39,00:00.78,-1.3359375,-87.671875,-89.4199523926,0,0,0,0,0,0.0
40,00:00.80,-1.09375,-87.578125,-89.5299987793,0,0,0,0,0,0.0
41,00:00.82,-0.9609375,-87.4296875,-89.9852905273,0,0,0,0,0,0.0
