,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-0.921875,-77.078125,-53.3533630371,梦,0,0,0,0,0.0
1,00:00.2,-0.921875,-76.875,-53.3302001953,梦,0,0,0,0,0.0
2,00:00.4,-0.9765625,-76.65625,-53.3215332031,梦,0,0,0,0,0.0
3,00:00.6,-1.0625,-76.46875,-53.3061218262,梦,0,0,0,0,0.0
4,00:00.8,-1.1796875,-76.3203125,-53.3137207031,梦,0,0,0,0,0.0
5,00:00.10,-1.296875,-76.2578125,-53.3062133789,梦,0,0,0,0,0.0
6,00:00.12,-1.453125,-76.2109375,-53.3133544922,梦,0,0,0,0,0.0
7,00:00.14,-1.5859375,-76.2265625,-53.3153991699,梦,0,0,0,0,0.0
8,00:00.16,-1.71875,-76.2890625,-53.3222961426,梦,0,0,0,0,0.0
9,00:00.18,-1.828125,-76.3515625,-53.3380432129,梦,0,0,0,0,0.0
10,00:00.20,-1.890625,-76.390625,-53.3694763184,梦,0,0,0,0,0.0
11,00:00.22,-1.9453125,-76.453125,-53.3753051758,梦,0,0,0,0,0.0
12,00:00.24,-1.9609375,-76.4921875,-53.3666992188,梦,0,0,0,0,0.0
13,00:00.26,-1.96875,-76.5546875,-53.3577880859,梦,0,0,0,0,0.0
14,00:00.28,-1.953125,-76.5625,-53.3579711914,梦,0,0,0,0,0.0
15,00:00.30,-1.9296875,-76.59375,-53.3358154297,梦,0,0,0,0,0.0
16,00:00.32,-1.8828125,-76.5546875,-53.3519287109,梦,0,0,0,0,0.0
17,00:00.34,-1.8359375,-76.5,-53.3623352051,梦,0,0,0,0,0.0
18,00:00.36,-1.796875,-76.4296875,-53.3800354004,梦,0,0,0,0,0.0
19,00:00.38,-1.7734375,-76.3515625,-53.3804931641,梦,0,0,0,0,0.0
20,00:00.40,-1.7578125,-76.2890625,-53.3413391113,梦,0,0,0,0,0.0
21,00:00.42,-1.7734375,-76.203125,-53.2955627441,梦,0,0,0,0,0.0
22,00:00.44,-1.7890625,-76.125,-53.2378540039,梦,0,0,0,0,0.0
23,00:00.46,-1.8046875,-76.0625,-53.202331543,梦,0,0,0,0,0.0
