,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-2.359375,-133.0,-62.398651123,梦,0,0,0,0,0.0
1,00:00.2,-2.34375,-133.0,-62.3803100586,梦,0,0,0,0,0.0
2,00:00.4,-2.34375,-132.9921875,-62.3663024902,梦,0,0,0,0,0.0
3,00:00.6,-2.34375,-132.984375,-62.3627624512,梦,0,0,0,0,0.0
4,00:00.8,-2.3515625,-132.984375,-62.3589172363,梦,0,0,0,0,0.0
5,00:00.10,-2.3515625,-132.9765625,-62.3703918457,梦,0,0,0,0,0.0
6,00:00.12,-2.34375,-132.9609375,-62.3887634277,梦,0,0,0,0,0.0
7,00:00.14,-2.3359375,-132.96875,-62.4001464844,梦,0,0,0,0,0.0
8,00:00.16,-2.3203125,-132.9765625,-62.4039916992,梦,0,0,0,0,0.0
9,00:00.18,-2.3046875,-133.0,-62.3963012695,梦,0,0,0,0,0.0
10,00:00.20,-2.2890625,-133.0234375,-62.3887939453,梦,0,0,0,0,0.0
11,00:00.22,-2.2734375,-133.0390625,-62.3810424805,梦,0,0,0,0,0.0
12,00:00.24,-2.2890625,-133.0625,-62.3807678223,梦,0,0,0,0,0.0
13,00:00.26,-2.2890625,-133.0625,-62.3988342285,梦,0,0,0,0,0.0
14,00:00.28,-2.3125,-133.03125,-62.425201416,梦,0,0,0,0,0.0
15,00:00.30,-2.3359375,-132.96875,-62.4664001465,梦,0,0,0,0,0.0
16,00:00.32,-2.3671875,-132.90625,-62.4968566895,梦,0,0,0,0,0.0
17,00:00.34,-2.40625,-132.90625,-62.4889221191,梦,0,0,0,0,0.0
18,00:00.36,-2.421875,-132.9453125,-62.4477539062,梦,0,0,0,0,0.0
19,00:00.38,-2.4453125,-133.0078125,-62.3768005371,梦,0,0,0,0,0.0
20,00:00.40,-2.46875,-133.046875,-62.3092956543,梦,0,0,0,0,0.0
21,00:00.42,-2.4921875,-133.0390625,-62.2651062012,梦,0,0,0,0,0.0
22,00:00.44,-2.515625,-133.046875,-62.2423400879,梦,0,0,0,0,0.0
23,00:00.46,-2.5234375,-133.0390625,-62.2602233887,梦,0,0,0,0,0.0
24,00:00.48,-2.515625,-132.9921875,-62.3197021484,梦,0,0,0,0,0.0
25,00:00.50,-2.515625,-132.9453125,-62.4014587402,梦,0,0,0,0,0.0
26,00:00.52,-2.5234375,-132.9609375,-62.4599304199,梦,0,0,0,0,0.0
27,00:00.54,-2.53125,-133.0234375,-62.4813537598,梦,0,0,0,0,0.0
28,00:00.56,-2.53125,-133.109375,-62.4694213867,梦,0,0,0,0,0.0
29,00:00.58,-2.53125,-133.2265625,-62.4315185547,梦,0,0,0,0,0.0
30,00:00.60,-2.53125,-133.296875,-62.4013366699,梦,0,0,0,0,0.0
31,00:00.62,-2.515625,-133.375,-62.3717041016,梦,0,0,0,0,0.0
32,00:00.64,-2.5,-133.390625,-62.364440918,梦,0,0,0,0,0.0
33,00:00.66,-2.5,-133.4296875,-62.3673095703,梦,0,0,0,0,0.0
34,00:00.68,-2.4921875,-133.453125,-62.3861083984,梦,0,0,0,0,0.0
35,00:00.70,-2.4921875,-133.46875,-62.4075317383,梦,0,0,0,0,0.0
36,00:00.72,-2.484375,-133.4921875,-62.4295043945,梦,0,0,0,0,0.0
37,00:00.74,-2.46875,-133.5078125,-62.4366149902,梦,0,0,0,0,0.0
38,00:00.76,-2.4765625,-133.546875,-62.4282836914,梦,0,0,0,0,0.0
39,00:00.78,-2.46875,-133.5859375,-62.4093017578,梦,0,0,0,0,0.0
40,00:00.80,-2.4765625,-133.5859375,-62.398223877,梦,0,0,0,0,0.0
41,00:00.82,-2.484375,-133.578125,-62.3948059082,梦,0,0,0,0,0.0
42,00:00.84,-2.484375,-133.5546875,-62.3876037598,梦,0,0,0,0,0.0
43,00:00.86,-2.484375,-133.53125,-62.3878173828,梦,0,0,0,0,0.0
44,00:00.88,-2.484375,-133.53125,-62.3878479004,梦,0,0,0,0,0.0
45,00:00.90,-2.46875,-133.5234375,-62.3918762207,梦,0,0,0,0,0.0
