,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,10.390625,-98.25,-81.4922790527,梦,0,0,0,0,0.0
1,00:00.2,10.3984375,-98.2109375,-81.5469665527,梦,0,0,0,0,0.0
2,00:00.4,10.390625,-98.21875,-81.5387573242,梦,0,0,0,0,0.0
3,00:00.6,10.40625,-98.2421875,-81.4965820312,梦,0,0,0,0,0.0
4,00:00.8,10.4375,-98.2265625,-81.4607543945,梦,0,0,0,0,0.0
5,00:00.10,10.46875,-98.1875,-81.4202270508,梦,0,0,0,0,0.0
6,00:00.12,10.4765625,-98.140625,-81.3830871582,梦,0,0,0,0,0.0
7,00:00.14,10.46875,-98.140625,-81.3348999023,梦,0,0,0,0,0.0
8,00:00.16,10.4609375,-98.15625,-81.313293457,梦,0,0,0,0,0.0
9,00:00.18,10.4765625,-98.1484375,-81.3310852051,梦,0,0,0,0,0.0
10,00:00.20,10.4921875,-98.109375,-81.3886413574,梦,0,0,0,0,0.0
11,00:00.22,10.4921875,-98.109375,-81.4284057617,梦,0,0,0,0,0.0
12,00:00.24,10.4921875,-98.1171875,-81.4680786133,梦,0,0,0,0,0.0
13,00:00.26,10.4765625,-98.1640625,-81.479309082,梦,0,0,0,0,0.0
14,00:00.28,10.4453125,-98.2578125,-81.4774780273,梦,0,0,0,0,0.0
15,00:00.30,10.4296875,-98.3359375,-81.4805297852,梦,0,0,0,0,0.0
16,00:00.32,10.4140625,-98.40625,-81.4842529297,梦,0,0,0,0,0.0
17,00:00.34,10.390625,-98.4453125,-81.4947814941,梦,0,0,0,0,0.0
18,00:00.36,10.3671875,-98.4921875,-81.4931335449,梦,0,0,0,0,0.0
19,00:00.38,10.3359375,-98.5390625,-81.4921875,梦,0,0,0,0,0.0
20,00:00.40,10.3203125,-98.5703125,-81.4896240234,梦,0,0,0,0,0.0
21,00:00.42,10.3203125,-98.59375,-81.5010986328,梦,0,0,0,0,0.0
22,00:00.44,10.328125,-98.59375,-81.5141296387,梦,0,0,0,0,0.0
23,00:00.46,10.3125,-98.578125,-81.5311889648,梦,0,0,0,0,0.0
24,00:00.48,10.3046875,-98.578125,-81.5184631348,梦,0,0,0,0,0.0
25,00:00.50,10.296875,-98.5390625,-81.5203857422,梦,0,0,0,0,0.0
26,00:00.52,10.296875,-98.515625,-81.5054321289,梦,0,0,0,0,0.0
27,00:00.54,10.296875,-98.5,-81.4707336426,梦,0,0,0,0,0.0
28,00:00.56,10.3125,-98.484375,-81.4500427246,梦,0,0,0,0,0.0
29,00:00.58,10.3203125,-98.4609375,-81.4273071289,梦,0,0,0,0,0.0
30,00:00.60,10.3359375,-98.4296875,-81.42578125,梦,0,0,0,0,0.0
31,00:00.62,10.359375,-98.4140625,-81.4115905762,梦,0,0,0,0,0.0
32,00:00.64,10.3671875,-98.40625,-81.3990783691,梦,0,0,0,0,0.0
33,00:00.66,10.3828125,-98.3828125,-81.4099121094,梦,0,0,0,0,0.0
34,00:00.68,10.390625,-98.3671875,-81.4231872559,梦,0,0,0,0,0.0
35,00:00.70,10.3828125,-98.359375,-81.4290771484,梦,0,0,0,0,0.0
36,00:00.72,10.3671875,-98.3359375,-81.4611816406,梦,0,0,0,0,0.0
37,00:00.74,10.34375,-98.2890625,-81.5152893066,梦,0,0,0,0,0.0
38,00:00.76,10.3125,-98.2734375,-81.5231933594,梦,0,0,0,0,0.0
39,00:00.78,10.3046875,-98.296875,-81.4822387695,梦,0,0,0,0,0.0
40,00:00.80,10.296875,-98.328125,-81.4132385254,梦,0,0,0,0,0.0
41,00:00.82,10.296875,-98.3046875,-81.361328125,梦,0,0,0,0,0.0
42,00:00.84,10.2890625,-98.2734375,-81.3379211426,梦,0,0,0,0,0.0
43,00:00.86,10.265625,-98.25,-81.3148803711,梦,0,0,0,0,0.0
44,00:00.88,10.2578125,-98.2578125,-81.3055725098,梦,0,0,0,0,0.0
45,00:00.90,10.265625,-98.28125,-81.3280944824,梦,0,0,0,0,0.0
46,00:00.92,10.2890625,-98.3046875,-81.367767334,梦,0,0,0,0,0.0
47,00:00.94,10.3125,-98.328125,-81.4244384766,梦,0,0,0,0,0.0
48,00:00.96,10.3359375,-98.3671875,-81.4698181152,梦,0,0,0,0,0.0
49,00:00.98,10.359375,-98.4140625,-81.5167541504,梦,0,0,0,0,0.0
50,00:01.0,10.3984375,-98.484375,-81.5317993164,梦,0,0,0,0,0.0
51,00:01.2,10.4296875,-98.6015625,-81.5100097656,梦,0,0,0,0,0.0
52,00:01.4,10.4609375,-98.671875,-81.5145263672,梦,0,0,0,0,0.0
53,00:01.6,10.484375,-98.71875,-81.5124816895,梦,0,0,0,0,0.0
54,00:01.8,10.515625,-98.734375,-81.5235290527,梦,0,0,0,0,0.0
55,00:01.10,10.53125,-98.7578125,-81.5197143555,梦,0,0,0,0,0.0
56,00:01.12,10.5390625,-98.765625,-81.5084228516,梦,0,0,0,0,0.0
57,00:01.14,10.5546875,-98.75,-81.5097351074,梦,0,0,0,0,0.0
58,00:01.16,10.5546875,-98.734375,-81.5007629395,梦,0,0,0,0,0.0
59,00:01.18,10.546875,-98.703125,-81.489654541,梦,0,0,0,0,0.0
60,00:01.20,10.5390625,-98.671875,-81.4782409668,梦,0,0,0,0,0.0
61,00:01.22,10.53125,-98.6171875,-81.4677734375,梦,0,0,0,0,0.0
62,00:01.24,10.5234375,-98.59375,-81.447845459,梦,0,0,0,0,0.0
63,00:01.26,10.5234375,-98.5625,-81.4292602539,梦,0,0,0,0,0.0
64,00:01.28,10.5390625,-98.5625,-81.3980712891,梦,0,0,0,0,0.0
65,00:01.30,10.5390625,-98.546875,-81.3925170898,梦,0,0,0,0,0.0
66,00:01.32,10.546875,-98.5234375,-81.4084777832,梦,0,0,0,0,0.0
67,00:01.34,10.5546875,-98.5,-81.4384765625,梦,0,0,0,0,0.0
68,00:01.36,10.5625,-98.4921875,-81.4597167969,梦,0,0,0,0,0.0
69,00:01.38,10.5703125,-98.484375,-81.4734802246,梦,0,0,0,0,0.0
70,00:01.40,10.5859375,-98.5,-81.466583252,梦,0,0,0,0,0.0
71,00:01.42,10.5625,-98.4921875,-81.4600524902,梦,0,0,0,0,0.0
72,00:01.44,10.53125,-98.46875,-81.4596252441,梦,0,0,0,0,0.0
73,00:01.46,10.4765625,-98.4765625,-81.4311828613,梦,0,0,0,0,0.0
74,00:01.48,10.4296875,-98.4375,-81.4298706055,梦,0,0,0,0,0.0
75,00:01.50,10.375,-98.3671875,-81.4781494141,梦,0,0,0,0,0.0
76,00:01.52,10.3046875,-98.3203125,-81.503112793,梦,0,0,0,0,0.0
77,00:01.54,10.2578125,-98.3515625,-81.4772033691,梦,0,0,0,0,0.0
78,00:01.56,10.2109375,-98.390625,-81.4226379395,梦,0,0,0,0,0.0
79,00:01.58,10.1875,-98.3515625,-81.3915405273,梦,0,0,0,0,0.0
80,00:01.60,10.1640625,-98.28125,-81.372253418,梦,0,0,0,0,0.0
81,00:01.62,10.109375,-98.25,-81.3394775391,梦,0,0,0,0,0.0
82,00:01.64,10.0625,-98.2421875,-81.3005371094,梦,0,0,0,0,0.0
83,00:01.66,10.046875,-98.2421875,-81.3073730469,梦,0,0,0,0,0.0
84,00:01.68,10.0625,-98.21875,-81.358581543,梦,0,0,0,0,0.0
85,00:01.70,10.078125,-98.1796875,-81.4387512207,梦,0,0,0,0,0.0
86,00:01.72,10.09375,-98.171875,-81.5,梦,0,0,0,0,0.0
87,00:01.74,10.1015625,-98.203125,-81.5388793945,梦,0,0,0,0,0.0
88,00:01.76,10.1171875,-98.2578125,-81.5497741699,梦,0,0,0,0,0.0
89,00:01.78,10.140625,-98.3515625,-81.5123596191,梦,0,0,0,0,0.0
90,00:01.80,10.1875,-98.421875,-81.468536377,梦,0,0,0,0,0.0
91,00:01.82,10.2421875,-98.4140625,-81.4566345215,梦,0,0,0,0,0.0
92,00:01.84,10.265625,-98.421875,-81.4480285645,梦,0,0,0,0,0.0
93,00:01.86,10.2734375,-98.4140625,-81.4495849609,梦,0,0,0,0,0.0
94,00:01.88,10.2734375,-98.4375,-81.455291748,梦,0,0,0,0,0.0
95,00:01.90,10.28125,-98.453125,-81.4604797363,梦,0,0,0,0,0.0
96,00:01.92,10.296875,-98.4375,-81.4730834961,梦,0,0,0,0,0.0
97,00:01.94,10.3125,-98.390625,-81.4936523438,梦,0,0,0,0,0.0
