,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,3.234375,-85.703125,-49.2749328613,梦,0,0,0,0,0.0
1,00:00.2,3.2109375,-85.71875,-49.2661437988,梦,0,0,0,0,0.0
2,00:00.4,3.203125,-85.734375,-49.2577209473,梦,0,0,0,0,0.0
3,00:00.6,3.2109375,-85.7578125,-49.2496948242,梦,0,0,0,0,0.0
4,00:00.8,3.2421875,-85.7578125,-49.2631530762,梦,0,0,0,0,0.0
5,00:00.10,3.265625,-85.7421875,-49.2803344727,梦,0,0,0,0,0.0
6,00:00.12,3.3125,-85.7109375,-49.323059082,梦,0,0,0,0,0.0
7,00:00.14,3.3515625,-85.7109375,-49.3274841309,梦,0,0,0,0,0.0
8,00:00.16,3.4140625,-85.75,-49.3049926758,梦,0,0,0,0,0.0
9,00:00.18,3.421875,-85.7734375,-49.2623596191,梦,0,0,0,0,0.0
10,00:00.20,3.421875,-85.765625,-49.2300720215,梦,0,0,0,0,0.0
11,00:00.22,3.421875,-85.7734375,-49.2132873535,梦,0,0,0,0,0.0
12,00:00.24,3.4296875,-85.765625,-49.2215881348,梦,0,0,0,0,0.0
13,00:00.26,3.4375,-85.796875,-49.229309082,梦,0,0,0,0,0.0
14,00:00.28,3.4609375,-85.8125,-49.2644348145,梦,0,0,0,0,0.0
15,00:00.30,3.4375,-85.828125,-49.296295166,梦,0,0,0,0,0.0
16,00:00.32,3.40625,-85.859375,-49.3140258789,梦,0,0,0,0,0.0
17,00:00.34,3.3671875,-85.953125,-49.3057250977,梦,0,0,0,0,0.0
18,00:00.36,3.359375,-86.03125,-49.2893981934,梦,0,0,0,0,0.0
19,00:00.38,3.359375,-86.125,-49.2734985352,梦,0,0,0,0,0.0
20,00:00.40,3.3671875,-86.1640625,-49.2740478516,梦,0,0,0,0,0.0
21,00:00.42,3.3828125,-86.203125,-49.2783203125,梦,0,0,0,0,0.0
22,00:00.44,3.3984375,-86.2265625,-49.2919311523,梦,0,0,0,0,0.0
23,00:00.46,3.3984375,-86.2578125,-49.2991943359,梦,0,0,0,0,0.0
24,00:00.48,3.3984375,-86.28125,-49.2922058105,梦,0,0,0,0,0.0
25,00:00.50,3.390625,-86.265625,-49.2835693359,梦,0,0,0,0,0.0
26,00:00.52,3.40625,-86.2578125,-49.2704467773,梦,0,0,0,0,0.0
27,00:00.54,3.421875,-86.2265625,-49.266998291,梦,0,0,0,0,0.0
28,00:00.56,3.4453125,-86.1953125,-49.2637634277,梦,0,0,0,0,0.0
29,00:00.58,3.4375,-86.1640625,-49.2716674805,梦,0,0,0,0,0.0
30,00:00.60,3.421875,-86.1484375,-49.2699584961,梦,0,0,0,0,0.0
31,00:00.62,3.40625,-86.1171875,-49.2730407715,梦,0,0,0,0,0.0
32,00:00.64,3.390625,-86.078125,-49.2855834961,梦,0,0,0,0,0.0
33,00:00.66,3.375,-86.0546875,-49.2815246582,梦,0,0,0,0,0.0
34,00:00.68,3.359375,-86.046875,-49.2726135254,梦,0,0,0,0,0.0
35,00:00.70,3.34375,-86.0625,-49.2557983398,梦,0,0,0,0,0.0
36,00:00.72,3.3203125,-86.0625,-49.2505493164,梦,0,0,0,0,0.0
37,00:00.74,3.3046875,-86.0625,-49.2539672852,梦,0,0,0,0,0.0
38,00:00.76,3.3125,-86.0625,-49.2589111328,梦,0,0,0,0,0.0
39,00:00.78,3.3203125,-86.1015625,-49.255645752,梦,0,0,0,0,0.0
40,00:00.80,3.3359375,-86.109375,-49.2680358887,梦,0,0,0,0,0.0
41,00:00.82,3.3359375,-86.1328125,-49.2645568848,梦,0,0,0,0,0.0
42,00:00.84,3.34375,-86.140625,-49.2696228027,梦,0,0,0,0,0.0
43,00:00.86,3.3515625,-86.1640625,-49.2651367188,梦,0,0,0,0,0.0
44,00:00.88,3.3515625,-86.171875,-49.2652282715,梦,0,0,0,0,0.0
45,00:00.90,3.3515625,-86.203125,-49.2618408203,梦,0,0,0,0,0.0
46,00:00.92,3.3515625,-86.2109375,-49.2619628906,梦,0,0,0,0,0.0
47,00:00.94,3.3359375,-86.2421875,-49.2655029297,梦,0,0,0,0,0.0
48,00:00.96,3.3359375,-86.2578125,-49.2655944824,梦,0,0,0,0,0.0
49,00:00.98,3.3359375,-86.28125,-49.2658081055,梦,0,0,0,0,0.0
50,00:01.0,3.34375,-86.296875,-49.2707519531,梦,0,0,0,0,0.0
51,00:01.2,3.3359375,-86.3203125,-49.2791748047,梦,0,0,0,0,0.0
52,00:01.4,3.3359375,-86.3359375,-49.2864990234,梦,0,0,0,0,0.0
