,time,X,Y,Z,stad,Profit,TP,LP,Sum,TH
0,00:00.0,-7.4140625,-114.2578125,-76.1347961426,梦,0,0,0,0,0.0
1,00:00.2,-7.4375,-114.3046875,-76.1063537598,梦,0,0,0,0,0.0
2,00:00.4,-7.421875,-114.296875,-76.1154174805,梦,0,0,0,0,0.0
3,00:00.6,-7.3984375,-114.1875,-76.1846618652,梦,0,0,0,0,0.0
4,00:00.8,-7.375,-114.0859375,-76.2321472168,梦,0,0,0,0,0.0
5,00:00.10,-7.3984375,-114.0546875,-76.2038879395,梦,0,0,0,0,0.0
6,00:00.12,-7.421875,-114.0625,-76.1374206543,梦,0,0,0,0,0.0
7,00:00.14,-7.4296875,-114.078125,-76.0385742188,梦,0,0,0,0,0.0
8,00:00.16,-7.40625,-114.0546875,-75.9556884766,梦,0,0,0,0,0.0
9,00:00.18,-7.40625,-114.0546875,-75.8703308105,梦,0,0,0,0,0.0
10,00:00.20,-7.4140625,-114.0234375,-75.8519897461,梦,0,0,0,0,0.0
11,00:00.22,-7.3984375,-113.984375,-75.8904418945,梦,0,0,0,0,0.0
12,00:00.24,-7.3515625,-113.9140625,-75.9859313965,梦,0,0,0,0,0.0
13,00:00.26,-7.3046875,-113.8671875,-76.0903930664,梦,0,0,0,0,0.0
14,00:00.28,-7.28125,-113.890625,-76.1471252441,梦,0,0,0,0,0.0
15,00:00.30,-7.2734375,-113.9375,-76.1817626953,梦,0,0,0,0,0.0
16,00:00.32,-7.2578125,-114.046875,-76.1618652344,梦,0,0,0,0,0.0
17,00:00.34,-7.234375,-114.1640625,-76.1161804199,梦,0,0,0,0,0.0
18,00:00.36,-7.2109375,-114.2578125,-76.0737304688,梦,0,0,0,0,0.0
19,00:00.38,-7.1796875,-114.28125,-76.0604248047,梦,0,0,0,0,0.0
20,00:00.40,-7.1640625,-114.2734375,-76.0695800781,梦,0,0,0,0,0.0
21,00:00.42,-7.1484375,-114.25,-76.0884399414,梦,0,0,0,0,0.0
22,00:00.44,-7.15625,-114.2421875,-76.0924072266,梦,0,0,0,0,0.0
23,00:00.46,-7.171875,-114.2734375,-76.0740356445,梦,0,0,0,0,0.0
24,00:00.48,-7.1875,-114.28125,-76.0718383789,梦,0,0,0,0,0.0
25,00:00.50,-7.21875,-114.2421875,-76.1014709473,梦,0,0,0,0,0.0
26,00:00.52,-7.25,-114.1640625,-76.1335449219,梦,0,0,0,0,0.0
27,00:00.54,-7.2890625,-114.1796875,-76.0955810547,梦,0,0,0,0,0.0
