items,proizv,korob,nalich,price,steklo,mat,pokr,karkas,color,tolsh,tip,img-href
"Дверь Троя ДО, белая эмаль, мателюкс с фрезеровкой",Эмалит,699,328,8313,,,Покрытие: Эмаль,Каркас: Сращенный брус сосны,Цвет двери: Белая эмаль,Толщина полотна: 35 мм,null,http://yurkasdoors.ru/upload/shop_1/2/8/1/item_2813/shop_items_catalog_image2813.png
"Дверь Классика Люкс ДО, орех - шпон",Эмалит,699,328,5404,,Материалы:,Покрытие: Шпон,Каркас: Сращенный брус сосны,Цвет двери: Орех,Толщина полотна: 35 мм,,http://yurkasdoors.ru/upload/shop_1/2/8/1/item_2819/shop_items_catalog_image2819.png
"Дверь Дакар ДО, черный шелк, ПВХ",Эмалит,699,328,5740,Стекло: черный рис.125,Материалы:,Покрытие:  Пленка ПВХ,Каркас: Сращенный брус сосны,Цвет двери: Черный шелк,Толщина полотна: 40 мм,Тип двери: Остекленная,http://yurkasdoors.ru/upload/shop_1/2/7/9/item_2791/shop_items_catalog_image2791.png
"Дверь Премьер ДО, белая эмаль, патина золото, мателюкс с фрезеровкой",Эмалит,699,328,7473,,,Покрытие: Эмаль,Каркас: Сращенный брус сосны,Цвет двери: Белая эмаль,Толщина полотна: 35 мм,null,http://yurkasdoors.ru/upload/shop_1/2/8/0/item_2809/shop_items_catalog_image2809.png
"Дверь Танго ДГ, белая эмаль",Эмалит,699,328,4847,,,Покрытие: Эмаль,Каркас: Сращенный брус сосны,Цвет двери: Белая эмаль,Толщина полотна: 35 мм,null,http://yurkasdoors.ru/upload/shop_1/2/8/1/item_2810/shop_items_catalog_image2810.png
"Дверь Ветразь ДГ, орех - шпон",Эмалит,699,328,6558,,Материалы:,Покрытие: Шпон,Каркас: Сращенный брус сосны,Цвет двери: Орех,Толщина полотна: 35 мм,Тип двери: Глухая,http://yurkasdoors.ru/upload/shop_1/2/8/1/item_2817/shop_items_catalog_image2817.png
"Дверь Ветразь ДО, дуб - шпон",Эмалит,699,328,7770,Стекло: матовое,Материалы:,Покрытие: Шпон,Каркас: Сращенный брус сосны,Цвет двери: Дуб,Толщина полотна: 35 мм,Тип двери: Остекленная,http://yurkasdoors.ru/upload/shop_1/2/8/1/item_2814/shop_items_catalog_image2814.png
"Дверь Классика Люкс ДГ, дуб - шпон",Эмалит,699,328,4144,,Материалы:,Покрытие: Шпон,Каркас: Сращенный брус сосны,Цвет двери: Дуб,Толщина полотна: 35 мм,Тип двери: Глухая,http://yurkasdoors.ru/upload/shop_1/2/8/2/item_2820/shop_items_catalog_image2820.png
"Дверь Ветразь ДГ, дуб - шпон",Эмалит,699,328,6558,,Материалы:,Покрытие: Шпон,Каркас: Сращенный брус сосны,Цвет двери: Дуб,Толщина полотна: 35 мм,Тип двери: Глухая,http://yurkasdoors.ru/upload/shop_1/2/8/1/item_2815/shop_items_catalog_image2815.png
"Дверь Граффити 3, ДГ, белая эмаль",Эмалит,699,328,4550,,,Покрытие: Эмаль,Каркас: Сращенный брус сосны,Цвет двери: Белая эмаль,Толщина полотна: 35 мм,null,http://yurkasdoors.ru/upload/shop_1/2/8/0/item_2800/shop_items_catalog_image2800.png
